instant,holiday,Predicted Y
1,0,0.024507700820885436
2,0,0.02450819140141315
3,0,0.024508681981940863
4,0,0.024509172562468574
5,0,0.02450966314299629
6,0,0.024510153723524
7,0,0.024510644304051712
8,0,0.024511134884579427
9,0,0.02451162546510714
10,0,0.02451211604563485
11,0,0.024512606626162566
12,0,0.024513097206690277
13,0,0.02451358778721799
14,0,0.024514078367745704
15,0,0.024514568948273415
16,0,0.024515059528801127
17,0,0.02451555010932884
18,0,0.024516040689856553
19,0,0.024516531270384265
20,0,0.02451702185091198
21,0,0.02451751243143969
22,0,0.024518003011967403
23,0,0.024518493592495118
24,0,0.02451898417302283
25,0,0.02451947475355054
26,0,0.024519965334078256
27,0,0.024520455914605967
28,0,0.02452094649513368
29,0,0.024521437075661394
30,0,0.024521927656189105
31,0,0.024522418236716817
32,0,0.024522908817244532
33,0,0.024523399397772244
34,0,0.024523889978299955
35,0,0.02452438055882767
36,0,0.02452487113935538
37,0,0.024525361719883093
38,0,0.024525852300410808
39,0,0.02452634288093852
40,0,0.02452683346146623
41,0,0.024527324041993946
42,0,0.024527814622521658
43,0,0.02452830520304937
44,0,0.024528795783577084
45,0,0.024529286364104796
46,0,0.024529776944632507
47,0,0.024530267525160222
48,0,0.024530758105687934
49,0,0.024531248686215645
50,0,0.02453173926674336
51,0,0.024532229847271072
52,0,0.024532720427798783
53,0,0.0245332110083265
54,0,0.02453370158885421
55,0,0.02453419216938192
56,0,0.024534682749909636
57,0,0.024535173330437348
58,0,0.02453566391096506
59,0,0.024536154491492775
60,0,0.024536645072020486
61,0,0.024537135652548198
62,0,0.024537626233075913
63,0,0.024538116813603624
64,0,0.024538607394131336
65,0,0.02453909797465905
66,0,0.024539588555186762
67,0,0.024540079135714474
68,0,0.02454056971624219
69,0,0.0245410602967699
70,0,0.024541550877297612
71,0,0.024542041457825327
72,0,0.02454253203835304
73,0,0.02454302261888075
74,0,0.024543513199408465
75,0,0.024544003779936176
76,0,0.024544494360463888
77,0,0.024544984940991603
78,0,0.024545475521519314
79,0,0.024545966102047026
80,0,0.02454645668257474
81,0,0.024546947263102453
82,0,0.024547437843630164
83,0,0.02454792842415788
84,0,0.02454841900468559
85,0,0.024548909585213302
86,0,0.024549400165741017
87,0,0.02454989074626873
88,0,0.02455038132679644
89,0,0.024550871907324155
90,0,0.024551362487851867
91,0,0.024551853068379578
92,0,0.024552343648907293
93,0,0.024552834229435005
94,0,0.024553324809962716
95,0,0.02455381539049043
96,0,0.024554305971018143
97,0,0.024554796551545854
98,0,0.02455528713207357
99,0,0.02455577771260128
100,0,0.024556268293128992
101,0,0.024556758873656707
102,0,0.02455724945418442
103,0,0.02455774003471213
104,0,0.024558230615239846
105,0,0.024558721195767557
106,0,0.02455921177629527
107,0,0.024559702356822984
108,0,0.024560192937350695
109,0,0.024560683517878407
110,0,0.02456117409840612
111,0,0.024561664678933833
112,0,0.024562155259461545
113,0,0.02456264583998926
114,0,0.02456313642051697
115,0,0.024563627001044683
116,0,0.024564117581572398
117,0,0.02456460816210011
118,0,0.02456509874262782
119,0,0.024565589323155536
120,0,0.024566079903683247
