yr,instant,Predicted Y
0,1,4323.000000000001
0,2,4323.000000000001
0,3,4323.000000000001
0,4,4323.000000000001
0,5,4323.000000000001
0,6,4323.000000000001
0,7,4323.000000000001
0,8,4323.000000000001
0,9,4323.000000000001
0,10,4323.000000000001
0,11,4323.000000000001
0,12,4323.000000000001
0,13,4323.000000000001
0,14,4323.000000000001
0,15,4323.000000000001
0,16,4323.000000000001
0,17,4323.000000000001
0,18,4323.000000000001
0,19,4323.000000000001
0,20,4323.000000000001
0,21,4323.000000000001
0,22,4323.000000000001
0,23,4323.000000000001
0,24,4323.000000000001
0,25,4323.000000000001
0,26,4323.000000000001
0,27,4323.000000000001
0,28,4323.000000000001
0,29,4323.000000000001
0,30,4323.000000000001
0,31,4323.000000000001
0,32,4323.000000000001
0,33,4323.000000000001
0,34,4323.000000000001
0,35,4323.000000000001
0,36,4323.000000000001
0,37,4323.000000000001
0,38,4323.000000000001
0,39,4323.000000000001
0,40,4323.000000000001
0,41,4323.000000000001
0,42,4323.000000000001
0,43,4323.000000000001
0,44,4323.000000000001
0,45,4323.000000000001
0,46,4323.000000000001
0,47,4323.000000000001
0,48,4323.000000000001
0,49,4323.000000000001
0,50,4323.000000000001
0,51,4323.000000000001
0,52,4323.000000000001
0,53,4323.000000000001
0,54,4323.000000000001
0,55,4323.000000000001
0,56,4323.000000000001
0,57,4323.000000000001
0,58,4323.000000000001
0,59,4323.000000000001
0,60,4323.000000000001
0,61,4323.000000000001
0,62,4323.000000000001
0,63,4323.000000000001
0,64,4323.000000000001
0,65,4323.000000000001
0,66,4323.000000000001
0,67,4323.000000000001
0,68,4323.000000000001
0,69,4323.000000000001
0,70,4323.000000000001
0,71,4323.000000000001
0,72,4323.000000000001
0,73,4323.000000000001
0,74,4323.000000000001
0,75,4323.000000000001
0,76,4323.000000000001
0,77,4323.000000000001
0,78,4323.000000000001
0,79,4323.000000000001
0,80,4323.000000000001
0,81,4323.000000000001
0,82,4323.000000000001
0,83,4323.000000000001
0,84,4323.000000000001
0,85,4323.000000000001
0,86,4323.000000000001
0,87,4323.000000000001
0,88,4323.000000000001
0,89,4323.000000000001
0,90,4323.000000000001
0,91,4323.000000000001
0,92,4323.000000000001
0,93,4323.000000000001
0,94,4323.000000000001
0,95,4323.000000000001
0,96,4323.000000000001
0,97,4323.000000000001
0,98,4323.000000000001
0,99,4323.000000000001
0,100,4323.000000000001
0,101,4323.000000000001
0,102,4323.000000000001
0,103,4323.000000000001
0,104,4323.000000000001
0,105,4323.000000000001
0,106,4323.000000000001
0,107,4323.000000000001
0,108,4323.000000000001
0,109,4323.000000000001
0,110,4323.000000000001
0,111,4323.000000000001
0,112,4323.000000000001
0,113,4323.000000000001
0,114,4323.000000000001
0,115,4323.000000000001
0,116,4323.000000000001
0,117,4323.000000000001
0,118,4323.000000000001
0,119,4323.000000000001
0,120,4323.000000000001
0,121,4323.000000000001
0,122,4323.000000000001
0,123,4323.000000000001
0,124,4323.000000000001
0,125,4323.000000000001
0,126,4323.000000000001
0,127,4323.000000000001
0,128,4323.000000000001
0,129,4323.000000000001
0,130,4323.000000000001
0,131,4323.000000000001
0,132,4323.000000000001
0,133,4323.000000000001
0,134,4323.000000000001
0,135,4323.000000000001
0,136,4323.000000000001
0,137,4323.000000000001
0,138,4323.000000000001
0,139,4323.000000000001
0,140,4323.000000000001
0,141,4323.000000000001
0,142,4323.000000000001
0,143,4323.000000000001
0,144,4323.000000000001
0,145,4323.000000000001
0,146,4323.000000000001
0,147,4323.000000000001
0,148,4323.000000000001
0,149,4323.000000000001
0,150,4323.000000000001
0,151,4323.000000000001
0,152,4323.000000000001
0,153,4323.000000000001
0,154,4323.000000000001
0,155,4323.000000000001
0,156,4323.000000000001
0,157,4323.000000000001
0,158,4323.000000000001
0,159,4323.000000000001
0,160,4323.000000000001
0,161,4323.000000000001
0,162,4323.000000000001
0,163,4323.000000000001
0,164,4323.000000000001
0,165,4323.000000000001
0,166,4323.000000000001
0,167,4323.000000000001
0,168,4323.000000000001
0,169,4323.000000000001
0,170,4323.000000000001
0,171,4323.000000000001
0,172,4323.000000000001
0,173,4323.000000000001
