hum,atemp,Predicted Y
0.81,0.2879,0.46732282416313126
0.8,0.2727,0.46778527556651783
0.8,0.2727,0.46778527556651783
0.75,0.2879,0.4700975325834507
0.75,0.2879,0.4700975325834507
0.75,0.2576,0.4700975325834507
0.8,0.2727,0.46778527556651783
0.86,0.2576,0.4650105671461984
0.75,0.2879,0.4700975325834507
0.76,0.3485,0.46963508118006414
0.76,0.3939,0.46963508118006414
0.81,0.3333,0.46732282416313126
0.77,0.4242,0.46917262977667756
0.72,0.4545,0.47148488679361045
0.72,0.4545,0.47148488679361045
0.77,0.4394,0.46917262977667756
0.82,0.4242,0.4668603727597447
0.82,0.4394,0.4668603727597447
0.88,0.4242,0.4640856643394252
0.88,0.4242,0.4640856643394252
0.87,0.4091,0.4645481157428118
0.87,0.4091,0.4645481157428118
0.94,0.4091,0.46131095591910576
0.88,0.4545,0.4640856643394252
0.88,0.4545,0.4640856643394252
0.94,0.4394,0.46131095591910576
1.0,0.4242,0.45853624749878624
0.94,0.4545,0.46131095591910576
0.94,0.4545,0.46131095591910576
0.77,0.4242,0.46917262977667756
0.76,0.4091,0.46963508118006414
0.71,0.4091,0.4719473381969971
0.76,0.3939,0.46963508118006414
0.81,0.3485,0.46732282416313126
0.71,0.3333,0.4719473381969971
0.66,0.3333,0.47425959521392996
0.66,0.3485,0.47425959521392996
0.76,0.3485,0.46963508118006414
0.81,0.3333,0.46732282416313126
0.71,0.3333,0.4719473381969971
0.57,0.3333,0.47842165784440915
0.46,0.3333,0.48350862328166155
0.42,0.2879,0.48535842889520786
0.39,0.2727,0.4867457831053676
0.44,0.2273,0.4844335260884347
0.44,0.2121,0.4844335260884347
0.47,0.2273,0.483046171878275
0.44,0.197,0.4844335260884347
0.44,0.1667,0.4844335260884347
0.47,0.1364,0.483046171878275
0.47,0.1364,0.483046171878275
0.5,0.1061,0.48165881766811525
0.5,0.1364,0.48165881766811525
0.5,0.1212,0.48165881766811525
0.43,0.1364,0.4848959774918213
0.43,0.1667,0.4848959774918213
0.4,0.1818,0.486283331701981
0.35,0.2121,0.4885955887189139
0.35,0.2121,0.4885955887189139
0.3,0.2424,0.49090784573584684
0.3,0.2424,0.49090784573584684
0.3,0.2424,0.49090784573584684
0.3,0.2273,0.49090784573584684
0.32,0.2576,0.48998294292907363
0.47,0.2576,0.483046171878275
0.47,0.2273,0.483046171878275
0.64,0.197,0.4751844980207031
0.69,0.1515,0.47287224100377023
0.55,0.2121,0.4793465606511823
0.55,0.1818,0.4793465606511823
0.59,0.1818,0.477496755037636
0.63,0.1515,0.4756469494240897
0.63,0.1818,0.4756469494240897
0.68,0.1515,0.4733346924071568
0.74,0.1515,0.4705599839868373
0.74,0.1515,0.4705599839868373
0.69,0.1515,0.47287224100377023
0.64,0.1515,0.4751844980207031
0.69,0.1364,0.47287224100377023
0.51,0.2121,0.4811963662647286
0.51,0.2273,0.4811963662647286
0.56,0.2273,0.47888410924779573
0.52,0.2576,0.48073391486134204
0.52,0.2727,0.48073391486134204
0.49,0.2879,0.4821212690715018
0.48,0.2727,0.4825837204748884
0.48,0.2576,0.4825837204748884
0.48,0.2576,0.4825837204748884
0.48,0.2576,0.4825837204748884
0.64,0.2727,0.4751844980207031
0.64,0.2576,0.4751844980207031
0.69,0.2273,0.47287224100377023
0.64,0.2576,0.4751844980207031
0.74,0.197,0.4705599839868373
0.74,0.197,0.4705599839868373
0.48,0.2273,0.4825837204748884
0.47,0.2273,0.483046171878275
0.47,0.197,0.483046171878275
0.43,0.1818,0.4848959774918213
0.4,0.1818,0.486283331701981
0.37,0.197,0.48767068591214074
0.37,0.197,0.48767068591214074
0.33,0.2273,0.48952049152568705
0.33,0.2273,0.48952049152568705
