workingday,casual,Predicted Y
0,3,57.44142183532824
0,8,57.44142183532824
0,5,57.44142183532824
0,3,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,2,57.44142183532824
0,1,57.44142183532824
0,1,57.44142183532824
0,8,57.44142183532824
0,12,57.44142183532824
0,26,57.44142183532824
0,29,57.44142183532824
0,47,57.44142183532824
0,35,57.44142183532824
0,40,57.44142183532824
0,41,57.44142183532824
0,15,57.44142183532824
0,9,57.44142183532824
0,6,57.44142183532824
0,11,57.44142183532824
0,3,57.44142183532824
0,11,57.44142183532824
0,15,57.44142183532824
0,4,57.44142183532824
0,1,57.44142183532824
0,1,57.44142183532824
0,2,57.44142183532824
0,2,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,1,57.44142183532824
0,7,57.44142183532824
0,16,57.44142183532824
0,20,57.44142183532824
0,11,57.44142183532824
0,4,57.44142183532824
0,19,57.44142183532824
0,9,57.44142183532824
0,7,57.44142183532824
0,10,57.44142183532824
0,1,57.44142183532824
0,5,57.44142183532824
0,11,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,1,25.561314791403284
1,1,25.561314791403284
1,7,25.561314791403284
1,11,25.561314791403284
1,10,25.561314791403284
1,13,25.561314791403284
1,8,25.561314791403284
1,11,25.561314791403284
1,14,25.561314791403284
1,9,25.561314791403284
1,11,25.561314791403284
1,9,25.561314791403284
1,8,25.561314791403284
1,3,25.561314791403284
1,3,25.561314791403284
1,0,25.561314791403284
1,1,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,2,25.561314791403284
1,2,25.561314791403284
1,2,25.561314791403284
1,5,25.561314791403284
1,7,25.561314791403284
1,12,25.561314791403284
1,18,25.561314791403284
1,9,25.561314791403284
1,17,25.561314791403284
1,15,25.561314791403284
1,10,25.561314791403284
1,3,25.561314791403284
1,2,25.561314791403284
1,1,25.561314791403284
1,0,25.561314791403284
1,1,25.561314791403284
1,2,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,1,25.561314791403284
1,3,25.561314791403284
1,6,25.561314791403284
1,4,25.561314791403284
1,12,25.561314791403284
1,5,25.561314791403284
1,6,25.561314791403284
1,10,25.561314791403284
1,7,25.561314791403284
1,4,25.561314791403284
1,4,25.561314791403284
1,3,25.561314791403284
1,5,25.561314791403284
1,7,25.561314791403284
1,3,25.561314791403284
1,1,25.561314791403284
1,1,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,3,25.561314791403284
1,6,25.561314791403284
1,3,25.561314791403284
1,2,25.561314791403284
1,6,25.561314791403284
1,12,25.561314791403284
1,11,25.561314791403284
1,8,25.561314791403284
1,12,25.561314791403284
1,9,25.561314791403284
1,5,25.561314791403284
1,3,25.561314791403284
1,3,25.561314791403284
1,0,25.561314791403284
1,1,25.561314791403284
1,4,25.561314791403284
1,4,25.561314791403284
1,2,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,0,25.561314791403284
1,8,25.561314791403284
1,8,25.561314791403284
1,20,25.561314791403284
1,9,25.561314791403284
1,16,25.561314791403284
1,19,25.561314791403284
1,9,25.561314791403284
1,9,25.561314791403284
1,7,25.561314791403284
1,9,25.561314791403284
1,5,25.561314791403284
1,9,25.561314791403284
1,7,25.561314791403284
1,3,25.561314791403284
1,1,25.561314791403284
1,0,25.561314791403284
1,2,25.561314791403284
1,1,25.561314791403284
0,1,57.44142183532824
0,1,57.44142183532824
0,3,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,1,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,5,57.44142183532824
0,2,57.44142183532824
0,8,57.44142183532824
0,7,57.44142183532824
0,12,57.44142183532824
0,5,57.44142183532824
0,8,57.44142183532824
0,5,57.44142183532824
0,3,57.44142183532824
0,4,57.44142183532824
0,0,57.44142183532824
0,2,57.44142183532824
0,1,57.44142183532824
0,0,57.44142183532824
0,1,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,1,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,0,57.44142183532824
0,2,57.44142183532824
0,4,57.44142183532824
0,6,57.44142183532824
0,8,57.44142183532824
0,5,57.44142183532824
0,13,57.44142183532824
0,3,57.44142183532824
0,4,57.44142183532824
0,1,57.44142183532824
0,0,57.44142183532824
0,1,57.44142183532824
0,5,57.44142183532824
0,0,57.44142183532824
1,2,25.561314791403284
1,1,25.561314791403284
