casual,weathersit,Predicted Y
3,1,1.4899556105289347
8,1,1.4800596945309918
5,1,1.4859972441297575
3,1,1.4899556105289347
0,1,1.4958931601277003
0,2,1.4958931601277003
2,1,1.4919347937285232
1,1,1.4939139769281118
1,1,1.4939139769281118
8,1,1.4800596945309918
12,1,1.4721429617326376
26,1,1.4444343969383977
29,1,1.438496847339632
47,2,1.4028715497470376
35,2,1.4266217481421004
40,2,1.4167258321441576
41,2,1.414746648944569
15,2,1.466205412133872
9,3,1.4780805113314033
6,3,1.484018060930169
11,2,1.4741221449322262
3,2,1.4899556105289347
11,2,1.4741221449322262
15,2,1.466205412133872
4,2,1.487976427329346
1,2,1.4939139769281118
1,2,1.4939139769281118
2,2,1.4919347937285232
2,2,1.4919347937285232
0,3,1.4958931601277003
0,2,1.4958931601277003
0,3,1.4958931601277003
1,2,1.4939139769281118
7,2,1.4820388777305804
16,2,1.4642262289342833
20,2,1.456309496135929
11,2,1.4741221449322262
4,3,1.487976427329346
19,3,1.4582886793355176
9,3,1.4780805113314033
7,1,1.4820388777305804
10,2,1.4761013281318147
1,1,1.4939139769281118
5,1,1.4859972441297575
11,1,1.4741221449322262
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
1,1,1.4939139769281118
1,1,1.4939139769281118
7,1,1.4820388777305804
11,1,1.4741221449322262
10,1,1.4761013281318147
13,1,1.470163778533049
8,1,1.4800596945309918
11,1,1.4741221449322262
14,1,1.4681845953334605
9,1,1.4780805113314033
11,1,1.4741221449322262
9,1,1.4780805113314033
8,1,1.4800596945309918
3,1,1.4899556105289347
3,1,1.4899556105289347
0,1,1.4958931601277003
1,1,1.4939139769281118
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
0,1,1.4958931601277003
2,1,1.4919347937285232
2,1,1.4919347937285232
2,1,1.4919347937285232
5,2,1.4859972441297575
7,1,1.4820388777305804
12,1,1.4721429617326376
18,1,1.4602678625351062
9,1,1.4780805113314033
17,1,1.4622470457346948
