hum,weathersit,Predicted Y
0.81,1,1.6785414563571501
0.8,1,1.6646848901716464
0.8,1,1.6646848901716464
0.75,1,1.595402059244128
0.75,1,1.595402059244128
0.75,2,1.595402059244128
0.8,1,1.6646848901716464
0.86,1,1.747824287284668
0.75,1,1.595402059244128
0.76,1,1.6092586254296317
0.76,1,1.6092586254296317
0.81,1,1.6785414563571501
0.77,1,1.6231151916151354
0.72,2,1.5538323606876172
0.72,2,1.5538323606876172
0.77,2,1.6231151916151354
0.82,2,1.6923980225426536
0.82,2,1.6923980225426536
0.88,3,1.7755374196556755
0.88,3,1.7755374196556755
0.87,2,1.7616808534701718
0.87,2,1.7616808534701718
0.94,2,1.8586768167686971
0.88,2,1.7755374196556755
0.88,2,1.7755374196556755
0.94,2,1.8586768167686971
1.0,2,1.941816213881719
0.94,2,1.8586768167686971
0.94,2,1.8586768167686971
0.77,3,1.6231151916151354
0.76,2,1.6092586254296317
0.71,3,1.5399757945021135
0.76,2,1.6092586254296317
0.81,2,1.6785414563571501
0.71,2,1.5399757945021135
0.66,2,1.4706929635745953
0.66,2,1.4706929635745953
0.76,3,1.6092586254296317
0.81,3,1.6785414563571501
0.71,3,1.5399757945021135
0.57,1,1.3459838679050626
0.46,2,1.1935616398645228
0.42,1,1.1381353751225083
0.39,1,1.0965656765659975
0.44,1,1.1658485074935157
0.44,1,1.1658485074935157
0.47,1,1.2074182060500265
0.44,1,1.1658485074935157
0.44,1,1.1658485074935157
0.47,1,1.2074182060500265
0.47,1,1.2074182060500265
0.5,1,1.2489879046065373
0.5,1,1.2489879046065373
0.5,1,1.2489879046065373
0.43,1,1.1519919413080117
0.43,1,1.1519919413080117
0.4,1,1.110422242751501
0.35,1,1.0411394118239827
0.35,1,1.0411394118239827
0.3,1,0.9718565808964645
0.3,1,0.9718565808964645
0.3,1,0.9718565808964645
0.3,1,0.9718565808964645
0.32,1,0.9995697132674719
0.47,1,1.2074182060500265
0.47,1,1.2074182060500265
0.64,1,1.4429798312035882
0.69,1,1.5122626621311062
0.55,1,1.3182707355340555
0.55,1,1.3182707355340555
0.59,1,1.37369700027607
0.63,1,1.4291232650180845
0.63,1,1.4291232650180845
0.68,1,1.4984060959456027
0.74,1,1.5815454930586246
0.74,1,1.5815454930586246
0.69,1,1.5122626621311062
0.64,1,1.4429798312035882
0.69,2,1.5122626621311062
0.51,1,1.262844470792041
