season,cnt,Predicted Y
1,16,145.64899249928163
1,40,145.64899249928163
1,32,145.64899249928163
1,13,145.64899249928163
1,1,145.64899249928163
1,1,145.64899249928163
1,2,145.64899249928163
1,3,145.64899249928163
1,8,145.64899249928163
1,14,145.64899249928163
1,36,145.64899249928163
1,56,145.64899249928163
1,84,145.64899249928163
1,94,145.64899249928163
1,106,145.64899249928163
1,110,145.64899249928163
1,93,145.64899249928163
1,67,145.64899249928163
1,35,145.64899249928163
1,37,145.64899249928163
1,36,145.64899249928163
1,34,145.64899249928163
1,28,145.64899249928163
1,39,145.64899249928163
1,17,145.64899249928163
1,17,145.64899249928163
1,9,145.64899249928163
1,6,145.64899249928163
1,3,145.64899249928163
1,2,145.64899249928163
1,1,145.64899249928163
1,8,145.64899249928163
1,20,145.64899249928163
1,53,145.64899249928163
1,70,145.64899249928163
1,93,145.64899249928163
1,75,145.64899249928163
1,59,145.64899249928163
1,74,145.64899249928163
1,76,145.64899249928163
1,65,145.64899249928163
1,53,145.64899249928163
1,30,145.64899249928163
1,22,145.64899249928163
1,31,145.64899249928163
1,9,145.64899249928163
1,8,145.64899249928163
1,5,145.64899249928163
1,2,145.64899249928163
1,1,145.64899249928163
1,3,145.64899249928163
1,30,145.64899249928163
1,64,145.64899249928163
1,154,145.64899249928163
1,88,145.64899249928163
1,44,145.64899249928163
1,51,145.64899249928163
1,61,145.64899249928163
1,61,145.64899249928163
1,77,145.64899249928163
1,72,145.64899249928163
1,76,145.64899249928163
1,157,145.64899249928163
1,157,145.64899249928163
1,110,145.64899249928163
1,52,145.64899249928163
1,52,145.64899249928163
1,20,145.64899249928163
1,12,145.64899249928163
1,5,145.64899249928163
1,2,145.64899249928163
1,1,145.64899249928163
1,2,145.64899249928163
1,4,145.64899249928163
1,36,145.64899249928163
1,94,145.64899249928163
1,179,145.64899249928163
1,100,145.64899249928163
1,42,145.64899249928163
1,57,145.64899249928163
1,78,145.64899249928163
1,97,145.64899249928163
1,63,145.64899249928163
1,65,145.64899249928163
1,83,145.64899249928163
1,212,145.64899249928163
1,182,145.64899249928163
1,112,145.64899249928163
1,54,145.64899249928163
1,48,145.64899249928163
1,35,145.64899249928163
1,11,145.64899249928163
1,6,145.64899249928163
1,6,145.64899249928163
1,2,145.64899249928163
1,2,145.64899249928163
1,3,145.64899249928163
1,33,145.64899249928163
1,88,145.64899249928163
1,195,145.64899249928163
1,115,145.64899249928163
1,57,145.64899249928163
1,46,145.64899249928163
1,79,145.64899249928163
1,71,145.64899249928163
1,62,145.64899249928163
1,62,145.64899249928163
1,89,145.64899249928163
1,190,145.64899249928163
1,169,145.64899249928163
1,132,145.64899249928163
1,89,145.64899249928163
1,43,145.64899249928163
1,42,145.64899249928163
1,19,145.64899249928163
1,11,145.64899249928163
1,4,145.64899249928163
1,2,145.64899249928163
1,1,145.64899249928163
1,4,145.64899249928163
1,36,145.64899249928163
1,95,145.64899249928163
1,219,145.64899249928163
1,122,145.64899249928163
1,45,145.64899249928163
1,59,145.64899249928163
1,84,145.64899249928163
1,67,145.64899249928163
1,70,145.64899249928163
1,62,145.64899249928163
1,86,145.64899249928163
1,172,145.64899249928163
1,163,145.64899249928163
1,112,145.64899249928163
1,69,145.64899249928163
1,48,145.64899249928163
1,52,145.64899249928163
1,23,145.64899249928163
1,17,145.64899249928163
1,7,145.64899249928163
1,1,145.64899249928163
1,1,145.64899249928163
1,5,145.64899249928163
1,34,145.64899249928163
1,84,145.64899249928163
1,210,145.64899249928163
1,134,145.64899249928163
1,63,145.64899249928163
1,67,145.64899249928163
1,59,145.64899249928163
1,73,145.64899249928163
1,50,145.64899249928163
1,72,145.64899249928163
1,87,145.64899249928163
1,187,145.64899249928163
1,123,145.64899249928163
1,95,145.64899249928163
1,51,145.64899249928163
1,39,145.64899249928163
1,36,145.64899249928163
1,15,145.64899249928163
1,25,145.64899249928163
1,16,145.64899249928163
1,16,145.64899249928163
1,7,145.64899249928163
1,1,145.64899249928163
1,5,145.64899249928163
1,2,145.64899249928163
1,9,145.64899249928163
1,15,145.64899249928163
1,20,145.64899249928163
1,61,145.64899249928163
1,62,145.64899249928163
1,98,145.64899249928163
1,102,145.64899249928163
1,95,145.64899249928163
1,74,145.64899249928163
1,76,145.64899249928163
1,69,145.64899249928163
1,55,145.64899249928163
1,30,145.64899249928163
1,28,145.64899249928163
1,37,145.64899249928163
1,34,145.64899249928163
1,22,145.64899249928163
1,25,145.64899249928163
1,12,145.64899249928163
1,11,145.64899249928163
1,4,145.64899249928163
1,1,145.64899249928163
1,1,145.64899249928163
1,1,145.64899249928163
1,6,145.64899249928163
1,10,145.64899249928163
1,19,145.64899249928163
1,49,145.64899249928163
1,49,145.64899249928163
1,83,145.64899249928163
1,75,145.64899249928163
1,72,145.64899249928163
1,82,145.64899249928163
1,92,145.64899249928163
1,62,145.64899249928163
1,48,145.64899249928163
1,41,145.64899249928163
1,38,145.64899249928163
1,20,145.64899249928163
1,15,145.64899249928163
1,6,145.64899249928163
1,5,145.64899249928163
1,1,145.64899249928163
1,3,145.64899249928163
1,1,145.64899249928163
1,3,145.64899249928163
1,3,145.64899249928163
1,31,145.64899249928163
1,77,145.64899249928163
1,188,145.64899249928163
1,94,145.64899249928163
1,31,145.64899249928163
1,30,145.64899249928163
1,52,145.64899249928163
1,54,145.64899249928163
1,47,145.64899249928163
1,45,145.64899249928163
1,74,145.64899249928163
1,178,145.64899249928163
1,155,145.64899249928163
1,95,145.64899249928163
1,74,145.64899249928163
1,38,145.64899249928163
1,24,145.64899249928163
1,18,145.64899249928163
1,12,145.64899249928163
1,3,145.64899249928163
1,3,145.64899249928163
1,6,145.64899249928163
1,27,145.64899249928163
1,99,145.64899249928163
1,217,145.64899249928163
1,130,145.64899249928163
1,54,145.64899249928163
1,35,145.64899249928163
1,57,145.64899249928163
1,52,145.64899249928163
1,63,145.64899249928163
1,47,145.64899249928163
1,76,145.64899249928163
1,136,145.64899249928163
1,95,145.64899249928163
1,51,145.64899249928163
1,32,145.64899249928163
1,20,145.64899249928163
1,29,145.64899249928163
1,19,145.64899249928163
1,7,145.64899249928163
1,6,145.64899249928163
1,1,145.64899249928163
1,5,145.64899249928163
1,16,145.64899249928163
1,54,145.64899249928163
1,128,145.64899249928163
1,81,145.64899249928163
1,39,145.64899249928163
1,35,145.64899249928163
1,55,145.64899249928163
1,49,145.64899249928163
1,44,145.64899249928163
1,49,145.64899249928163
1,68,145.64899249928163
1,139,145.64899249928163
1,137,145.64899249928163
1,83,145.64899249928163
1,56,145.64899249928163
1,57,145.64899249928163
1,33,145.64899249928163
1,20,145.64899249928163
1,7,145.64899249928163
1,2,145.64899249928163
1,2,145.64899249928163
1,3,145.64899249928163
1,4,145.64899249928163
1,3,145.64899249928163
1,28,145.64899249928163
1,72,145.64899249928163
1,202,145.64899249928163
1,139,145.64899249928163
1,38,145.64899249928163
1,37,145.64899249928163
1,52,145.64899249928163
1,83,145.64899249928163
1,42,145.64899249928163
1,60,145.64899249928163
1,78,145.64899249928163
1,162,145.64899249928163
1,144,145.64899249928163
1,99,145.64899249928163
1,64,145.64899249928163
1,40,145.64899249928163
1,30,145.64899249928163
1,15,145.64899249928163
1,14,145.64899249928163
1,5,145.64899249928163
1,1,145.64899249928163
1,1,145.64899249928163
1,8,145.64899249928163
1,17,145.64899249928163
1,70,145.64899249928163
1,158,145.64899249928163
1,117,145.64899249928163
1,44,145.64899249928163
1,53,145.64899249928163
1,61,145.64899249928163
1,77,145.64899249928163
1,64,145.64899249928163
1,68,145.64899249928163
1,90,145.64899249928163
