temp,windspeed,Predicted Y
0.24,0.0,0.19387341575191683
0.22,0.0,0.194167267734383
0.22,0.0,0.194167267734383
0.24,0.0,0.19387341575191683
0.24,0.0,0.19387341575191683
0.24,0.0896,0.19387341575191683
0.22,0.0,0.194167267734383
0.2,0.0,0.1944611197168492
0.24,0.0,0.19387341575191683
0.32,0.0,0.19269800782205213
0.38,0.2537,0.19181645187465357
0.36,0.2836,0.19211030385711975
0.42,0.2836,0.19122874790972122
0.46,0.2985,0.19064104394478887
0.46,0.2836,0.19064104394478887
0.44,0.2985,0.19093489592725504
0.42,0.2985,0.19122874790972122
0.44,0.2836,0.19093489592725504
0.42,0.2537,0.19122874790972122
0.42,0.2537,0.19122874790972122
0.4,0.2537,0.1915225998921874
0.4,0.194,0.1915225998921874
0.4,0.2239,0.1915225998921874
0.46,0.2985,0.19064104394478887
0.46,0.2985,0.19064104394478887
0.44,0.2537,0.19093489592725504
0.42,0.2836,0.19122874790972122
0.46,0.194,0.19064104394478887
0.46,0.194,0.19064104394478887
0.42,0.2985,0.19122874790972122
0.4,0.194,0.1915225998921874
0.4,0.2239,0.1915225998921874
0.38,0.2239,0.19181645187465357
0.36,0.2239,0.19211030385711975
0.36,0.2537,0.19211030385711975
0.36,0.2985,0.19211030385711975
0.36,0.1343,0.19211030385711975
0.36,0.194,0.19211030385711975
0.34,0.1642,0.19240415583958592
0.34,0.1642,0.19240415583958592
0.34,0.194,0.19240415583958592
0.36,0.3284,0.19211030385711975
0.32,0.4478,0.19269800782205213
0.3,0.3582,0.1929918598045183
0.26,0.3284,0.19357956376945065
0.24,0.2985,0.19387341575191683
0.22,0.1642,0.194167267734383
0.22,0.3582,0.194167267734383
0.2,0.4179,0.1944611197168492
0.16,0.3881,0.19504882368178156
0.16,0.2836,0.19504882368178156
0.14,0.3881,0.19534267566424773
0.14,0.194,0.19534267566424773
0.14,0.2836,0.19534267566424773
0.16,0.3881,0.19504882368178156
0.18,0.2537,0.19475497169931538
0.2,0.3284,0.1944611197168492
0.22,0.2985,0.194167267734383
0.24,0.2836,0.19387341575191683
0.26,0.2836,0.19357956376945065
0.26,0.2537,0.19357956376945065
0.26,0.2537,0.19357956376945065
0.24,0.2239,0.19387341575191683
0.24,0.1045,0.19387341575191683
0.2,0.0,0.1944611197168492
0.2,0.1045,0.1944611197168492
0.18,0.1343,0.19475497169931538
0.14,0.1343,0.19534267566424773
0.18,0.1045,0.19475497169931538
0.16,0.1045,0.19504882368178156
0.16,0.1045,0.19504882368178156
0.14,0.1343,0.19534267566424773
0.14,0.0896,0.19534267566424773
0.12,0.1045,0.1956365276467139
0.12,0.1045,0.1956365276467139
0.12,0.1343,0.1956365276467139
0.14,0.1642,0.19534267566424773
0.16,0.2239,0.19504882368178156
0.16,0.3284,0.19504882368178156
0.22,0.2985,0.194167267734383
0.22,0.1642,0.194167267734383
0.24,0.194,0.19387341575191683
0.26,0.2239,0.19357956376945065
0.28,0.2537,0.19328571178698448
0.3,0.2537,0.1929918598045183
0.28,0.2239,0.19328571178698448
0.26,0.194,0.19357956376945065
0.24,0.1045,0.19387341575191683
0.24,0.1045,0.19387341575191683
0.22,0.0,0.194167267734383
0.22,0.0896,0.194167267734383
0.2,0.0896,0.1944611197168492
0.2,0.0,0.1944611197168492
0.16,0.0896,0.19504882368178156
0.16,0.0896,0.19504882368178156
0.24,0.2239,0.19387341575191683
0.22,0.1642,0.194167267734383
0.2,0.2239,0.1944611197168492
0.18,0.194,0.19475497169931538
0.2,0.2985,0.1944611197168492
0.22,0.3284,0.194167267734383
0.22,0.3284,0.194167267734383
0.26,0.3284,0.19357956376945065
0.26,0.3284,0.19357956376945065
0.28,0.2985,0.19328571178698448
0.3,0.194,0.1929918598045183
0.3,0.194,0.1929918598045183
0.3,0.0896,0.1929918598045183
0.24,0.194,0.19387341575191683
0.24,0.1343,0.19387341575191683
0.24,0.1045,0.19387341575191683
0.22,0.1642,0.194167267734383
0.2,0.194,0.1944611197168492
0.18,0.1343,0.19475497169931538
0.2,0.0,0.1944611197168492
0.18,0.0,0.19475497169931538
0.16,0.0,0.19504882368178156
0.16,0.0,0.19504882368178156
0.16,0.0896,0.19504882368178156
0.14,0.0896,0.19534267566424773
0.14,0.1045,0.19534267566424773
0.16,0.0,0.19504882368178156
0.16,0.0,0.19504882368178156
0.18,0.0,0.19475497169931538
0.2,0.0,0.1944611197168492
0.22,0.0896,0.194167267734383
0.26,0.0,0.19357956376945065
0.26,0.1045,0.19357956376945065
0.28,0.1642,0.19328571178698448
0.28,0.0,0.19328571178698448
0.26,0.1642,0.19357956376945065
0.22,0.1642,0.194167267734383
0.22,0.1343,0.194167267734383
0.22,0.0896,0.194167267734383
0.2,0.1642,0.1944611197168492
0.22,0.2239,0.194167267734383
0.22,0.2836,0.194167267734383
0.2,0.194,0.1944611197168492
0.2,0.194,0.1944611197168492
0.2,0.2239,0.1944611197168492
0.2,0.2239,0.1944611197168492
0.2,0.1343,0.1944611197168492
0.22,0.0,0.194167267734383
0.2,0.0,0.1944611197168492
0.2,0.1343,0.1944611197168492
0.2,0.2537,0.1944611197168492
0.2,0.2985,0.1944611197168492
0.22,0.3284,0.194167267734383
0.2,0.2239,0.1944611197168492
0.2,0.2537,0.1944611197168492
0.2,0.2836,0.1944611197168492
0.2,0.2537,0.1944611197168492
0.2,0.1642,0.1944611197168492
0.2,0.1642,0.1944611197168492
0.2,0.0,0.1944611197168492
0.2,0.0896,0.1944611197168492
0.16,0.0896,0.19504882368178156
0.18,0.1045,0.19475497169931538
0.18,0.1343,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.18,0.0896,0.19475497169931538
0.18,0.0,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.16,0.1642,0.19504882368178156
0.16,0.1642,0.19504882368178156
0.16,0.1045,0.19504882368178156
0.16,0.1045,0.19504882368178156
0.16,0.1045,0.19504882368178156
0.18,0.1642,0.19475497169931538
0.2,0.3881,0.1944611197168492
0.2,0.3582,0.1944611197168492
0.2,0.3284,0.1944611197168492
0.2,0.4925,0.1944611197168492
0.2,0.4478,0.1944611197168492
0.18,0.4478,0.19475497169931538
0.16,0.5522,0.19504882368178156
0.14,0.2985,0.19534267566424773
0.14,0.2537,0.19534267566424773
0.12,0.2537,0.1956365276467139
0.12,0.3582,0.1956365276467139
0.12,0.3881,0.1956365276467139
0.1,0.4478,0.19593037962918008
0.1,0.3881,0.19593037962918008
0.1,0.4627,0.19593037962918008
0.1,0.4627,0.19593037962918008
0.1,0.4179,0.19593037962918008
0.08,0.194,0.19622423161164626
0.08,0.194,0.19622423161164626
0.1,0.2836,0.19593037962918008
0.08,0.194,0.19622423161164626
0.1,0.2836,0.19593037962918008
0.12,0.5224,0.1956365276467139
0.14,0.3881,0.19534267566424773
0.16,0.5224,0.19504882368178156
0.18,0.4478,0.19475497169931538
0.2,0.4478,0.1944611197168492
0.22,0.4627,0.194167267734383
0.22,0.3582,0.194167267734383
0.2,0.4478,0.1944611197168492
0.18,0.3881,0.19475497169931538
0.16,0.3284,0.19504882368178156
0.16,0.3284,0.19504882368178156
0.14,0.2537,0.19534267566424773
0.14,0.4179,0.19534267566424773
0.14,0.2985,0.19534267566424773
0.12,0.194,0.1956365276467139
0.12,0.2836,0.1956365276467139
0.12,0.2836,0.1956365276467139
0.12,0.2239,0.1956365276467139
0.12,0.2239,0.1956365276467139
0.1,0.1343,0.19593037962918008
0.1,0.2537,0.19593037962918008
0.12,0.2836,0.1956365276467139
0.12,0.2239,0.1956365276467139
0.12,0.2836,0.1956365276467139
0.14,0.2537,0.19534267566424773
0.14,0.2985,0.19534267566424773
0.16,0.2836,0.19504882368178156
0.2,0.2836,0.1944611197168492
0.2,0.2836,0.1944611197168492
0.2,0.2239,0.1944611197168492
0.2,0.2239,0.1944611197168492
0.2,0.1343,0.1944611197168492
0.2,0.1045,0.1944611197168492
0.2,0.2239,0.1944611197168492
0.16,0.1642,0.19504882368178156
0.16,0.1642,0.19504882368178156
0.14,0.194,0.19534267566424773
0.14,0.1642,0.19534267566424773
0.14,0.1642,0.19534267566424773
0.14,0.1045,0.19534267566424773
0.14,0.1642,0.19534267566424773
0.16,0.194,0.19504882368178156
0.16,0.1343,0.19504882368178156
0.16,0.1343,0.19504882368178156
0.16,0.0,0.19504882368178156
0.18,0.0896,0.19475497169931538
0.18,0.1642,0.19475497169931538
0.2,0.1642,0.1944611197168492
0.2,0.1343,0.1944611197168492
0.2,0.1045,0.1944611197168492
0.2,0.0896,0.1944611197168492
0.2,0.0896,0.1944611197168492
0.16,0.0896,0.19504882368178156
0.16,0.2239,0.19504882368178156
0.16,0.2239,0.19504882368178156
0.16,0.1045,0.19504882368178156
