hum,temp,Predicted Y
0.81,0.24,0.4842396059373252
0.8,0.22,0.48493706621731447
0.8,0.22,0.48493706621731447
0.75,0.24,0.4884243676172609
0.75,0.24,0.4884243676172609
0.75,0.24,0.4884243676172609
0.8,0.22,0.48493706621731447
0.86,0.2,0.4807523045373788
0.75,0.24,0.4884243676172609
0.76,0.32,0.4877269073372716
0.76,0.38,0.4877269073372716
0.81,0.36,0.4842396059373252
0.77,0.42,0.4870294470572823
0.72,0.46,0.4905167484572287
0.72,0.46,0.4905167484572287
0.77,0.44,0.4870294470572823
0.82,0.42,0.48354214565733594
0.82,0.44,0.48354214565733594
0.88,0.42,0.4793573839774003
0.88,0.42,0.4793573839774003
0.87,0.4,0.48005484425738953
0.87,0.4,0.48005484425738953
0.94,0.4,0.4751726222974646
0.88,0.46,0.4793573839774003
0.88,0.46,0.4793573839774003
0.94,0.44,0.4751726222974646
1.0,0.42,0.47098786061752895
0.94,0.46,0.4751726222974646
0.94,0.46,0.4751726222974646
0.77,0.42,0.4870294470572823
0.76,0.4,0.4877269073372716
0.71,0.4,0.491214208737218
0.76,0.38,0.4877269073372716
0.81,0.36,0.4842396059373252
0.71,0.36,0.491214208737218
0.66,0.36,0.49470151013716435
0.66,0.36,0.49470151013716435
0.76,0.36,0.4877269073372716
0.81,0.34,0.4842396059373252
0.71,0.34,0.491214208737218
0.57,0.34,0.5009786526570679
0.46,0.36,0.5086507157369499
0.42,0.32,0.5114405568569069
0.39,0.3,0.5135329376968748
0.44,0.26,0.5100456362969285
0.44,0.24,0.5100456362969285
0.47,0.22,0.5079532554569606
0.44,0.22,0.5100456362969285
0.44,0.2,0.5100456362969285
0.47,0.16,0.5079532554569606
0.47,0.16,0.5079532554569606
0.5,0.14,0.5058608746169928
0.5,0.14,0.5058608746169928
0.5,0.14,0.5058608746169928
0.43,0.16,0.5107430965769177
0.43,0.18,0.5107430965769177
0.4,0.2,0.5128354774168855
0.35,0.22,0.5163227788168319
0.35,0.24,0.5163227788168319
0.3,0.26,0.5198100802167783
0.3,0.26,0.5198100802167783
0.3,0.26,0.5198100802167783
0.3,0.24,0.5198100802167783
0.32,0.24,0.5184151596567997
0.47,0.2,0.5079532554569606
0.47,0.2,0.5079532554569606
0.64,0.18,0.4960964306971429
0.69,0.14,0.4926091292971965
0.55,0.18,0.5023735732170463
0.55,0.16,0.5023735732170463
0.59,0.16,0.4995837320970893
0.63,0.14,0.49679389097713217
0.63,0.14,0.49679389097713217
0.68,0.12,0.49330658957718576
0.74,0.12,0.4891218278972501
0.74,0.12,0.4891218278972501
0.69,0.14,0.4926091292971965
0.64,0.16,0.4960964306971429
0.69,0.16,0.4926091292971965
0.51,0.22,0.5051634143370035
0.51,0.22,0.5051634143370035
0.56,0.24,0.501676112937057
0.52,0.26,0.5044659540570142
0.52,0.28,0.5044659540570142
0.49,0.3,0.506558334896982
0.48,0.28,0.5072557951769713
0.48,0.26,0.5072557951769713
0.48,0.24,0.5072557951769713
0.48,0.24,0.5072557951769713
0.64,0.22,0.4960964306971429
0.64,0.22,0.4960964306971429
0.69,0.2,0.4926091292971965
0.64,0.2,0.4960964306971429
0.74,0.16,0.4891218278972501
0.74,0.16,0.4891218278972501
0.48,0.24,0.5072557951769713
0.47,0.22,0.5079532554569606
0.47,0.2,0.5079532554569606
0.43,0.18,0.5107430965769177
0.4,0.2,0.5128354774168855
0.37,0.22,0.5149278582568534
0.37,0.22,0.5149278582568534
0.33,0.26,0.5177176993768104
0.33,0.26,0.5177176993768104
0.3,0.28,0.5198100802167783
0.28,0.3,0.5212050007767568
0.28,0.3,0.5212050007767568
0.28,0.3,0.5212050007767568
0.38,0.24,0.5142303979768641
0.38,0.24,0.5142303979768641
0.38,0.24,0.5142303979768641
0.47,0.22,0.5079532554569606
0.51,0.2,0.5051634143370035
0.55,0.18,0.5023735732170463
0.47,0.2,0.5079532554569606
0.55,0.18,0.5023735732170463
0.64,0.16,0.4960964306971429
0.64,0.16,0.4960964306971429
0.64,0.16,0.4960964306971429
0.69,0.14,0.4926091292971965
0.63,0.14,0.49679389097713217
0.59,0.16,0.4995837320970893
0.59,0.16,0.4995837320970893
0.51,0.18,0.5051634143370035
0.47,0.2,0.5079532554569606
0.44,0.22,0.5100456362969285
0.35,0.26,0.5163227788168319
0.35,0.26,0.5163227788168319
0.36,0.28,0.5156253185368426
0.36,0.28,0.5156253185368426
0.38,0.26,0.5142303979768641
0.51,0.22,0.5051634143370035
0.51,0.22,0.5051634143370035
0.55,0.22,0.5023735732170463
0.51,0.2,0.5051634143370035
0.55,0.22,0.5023735732170463
0.51,0.22,0.5051634143370035
0.59,0.2,0.4995837320970893
0.64,0.2,0.4960964306971429
0.69,0.2,0.4926091292971965
0.69,0.2,0.4926091292971965
0.69,0.2,0.4926091292971965
