temp,hr,Predicted Y
0.24,0,10.276942855243421
0.22,1,10.17812010238203
0.22,2,10.17812010238203
0.24,3,10.276942855243421
0.24,4,10.276942855243421
0.24,5,10.276942855243421
0.22,6,10.17812010238203
0.2,7,10.079297349520639
0.24,8,10.276942855243421
0.32,9,10.67223386668899
0.38,10,10.968702125273165
0.36,11,10.869879372411773
0.42,12,11.166347630995949
0.46,13,11.363993136718733
0.46,14,11.363993136718733
0.44,15,11.26517038385734
0.42,16,11.166347630995949
0.44,17,11.26517038385734
0.42,18,11.166347630995949
0.42,19,11.166347630995949
0.4,20,11.067524878134556
0.4,21,11.067524878134556
0.4,22,11.067524878134556
0.46,23,11.363993136718733
0.46,0,11.363993136718733
0.44,1,11.26517038385734
0.42,2,11.166347630995949
0.46,3,11.363993136718733
0.46,4,11.363993136718733
0.42,6,11.166347630995949
0.4,7,11.067524878134556
0.4,8,11.067524878134556
0.38,9,10.968702125273165
0.36,10,10.869879372411773
0.36,11,10.869879372411773
0.36,12,10.869879372411773
0.36,13,10.869879372411773
0.36,14,10.869879372411773
0.34,15,10.77105661955038
0.34,16,10.77105661955038
0.34,17,10.77105661955038
0.36,18,10.869879372411773
0.32,19,10.67223386668899
0.3,20,10.573411113827596
0.26,21,10.375765608104814
0.24,22,10.276942855243421
0.22,23,10.17812010238203
0.22,0,10.17812010238203
0.2,1,10.079297349520639
0.16,4,9.881651843797854
0.16,5,9.881651843797854
0.14,6,9.782829090936463
0.14,7,9.782829090936463
0.14,8,9.782829090936463
0.16,9,9.881651843797854
0.18,10,9.980474596659246
0.2,11,10.079297349520639
0.22,12,10.17812010238203
0.24,13,10.276942855243421
0.26,14,10.375765608104814
0.26,15,10.375765608104814
0.26,16,10.375765608104814
0.24,17,10.276942855243421
0.24,18,10.276942855243421
0.2,19,10.079297349520639
0.2,20,10.079297349520639
0.18,21,9.980474596659246
0.14,22,9.782829090936463
0.18,23,9.980474596659246
0.16,0,9.881651843797854
0.16,1,9.881651843797854
0.14,2,9.782829090936463
0.14,4,9.782829090936463
0.12,5,9.68400633807507
0.12,6,9.68400633807507
0.12,7,9.68400633807507
0.14,8,9.782829090936463
0.16,9,9.881651843797854
0.16,10,9.881651843797854
0.22,11,10.17812010238203
0.22,12,10.17812010238203
0.24,13,10.276942855243421
0.26,14,10.375765608104814
0.28,15,10.474588360966205
0.3,16,10.573411113827596
0.28,17,10.474588360966205
0.26,18,10.375765608104814
0.24,19,10.276942855243421
0.24,20,10.276942855243421
0.22,21,10.17812010238203
0.22,22,10.17812010238203
0.2,23,10.079297349520639
0.2,0,10.079297349520639
0.16,1,9.881651843797854
0.16,2,9.881651843797854
0.24,4,10.276942855243421
0.22,5,10.17812010238203
0.2,6,10.079297349520639
0.18,7,9.980474596659246
0.2,8,10.079297349520639
0.22,9,10.17812010238203
0.22,10,10.17812010238203
0.26,11,10.375765608104814
0.26,12,10.375765608104814
0.28,13,10.474588360966205
0.3,14,10.573411113827596
0.3,15,10.573411113827596
0.3,16,10.573411113827596
0.24,17,10.276942855243421
0.24,18,10.276942855243421
0.24,19,10.276942855243421
0.22,20,10.17812010238203
0.2,21,10.079297349520639
0.18,22,9.980474596659246
0.2,23,10.079297349520639
