temp,hum,Predicted Y
0.24,0.81,0.645222314296831
0.22,0.8,0.6466226546331567
0.22,0.8,0.6466226546331567
0.24,0.75,0.645222314296831
0.24,0.75,0.645222314296831
0.24,0.75,0.645222314296831
0.22,0.8,0.6466226546331567
0.2,0.86,0.6480229949694825
0.24,0.75,0.645222314296831
0.32,0.76,0.6396209529515282
0.38,0.76,0.6354199319425511
0.36,0.81,0.6368202722788767
0.42,0.77,0.6326192512698996
0.46,0.72,0.6298185705972482
0.46,0.72,0.6298185705972482
0.44,0.77,0.631218910933574
0.42,0.82,0.6326192512698996
0.44,0.82,0.631218910933574
0.42,0.88,0.6326192512698996
0.42,0.88,0.6326192512698996
0.4,0.87,0.6340195916062253
0.4,0.87,0.6340195916062253
0.4,0.94,0.6340195916062253
0.46,0.88,0.6298185705972482
0.46,0.88,0.6298185705972482
0.44,0.94,0.631218910933574
0.42,1.0,0.6326192512698996
0.46,0.94,0.6298185705972482
0.46,0.94,0.6298185705972482
0.42,0.77,0.6326192512698996
0.4,0.76,0.6340195916062253
0.4,0.71,0.6340195916062253
0.38,0.76,0.6354199319425511
0.36,0.81,0.6368202722788767
0.36,0.71,0.6368202722788767
0.36,0.66,0.6368202722788767
0.36,0.66,0.6368202722788767
0.36,0.76,0.6368202722788767
0.34,0.81,0.6382206126152025
0.34,0.71,0.6382206126152025
0.34,0.57,0.6382206126152025
0.36,0.46,0.6368202722788767
0.32,0.42,0.6396209529515282
0.3,0.39,0.6410212932878538
0.26,0.44,0.6438219739605053
0.24,0.44,0.645222314296831
0.22,0.47,0.6466226546331567
0.22,0.44,0.6466226546331567
0.2,0.44,0.6480229949694825
0.16,0.47,0.6508236756421338
0.16,0.47,0.6508236756421338
0.14,0.5,0.6522240159784595
0.14,0.5,0.6522240159784595
0.14,0.5,0.6522240159784595
0.16,0.43,0.6508236756421338
0.18,0.43,0.6494233353058081
0.2,0.4,0.6480229949694825
0.22,0.35,0.6466226546331567
0.24,0.35,0.645222314296831
0.26,0.3,0.6438219739605053
0.26,0.3,0.6438219739605053
0.26,0.3,0.6438219739605053
0.24,0.3,0.645222314296831
0.24,0.32,0.645222314296831
0.2,0.47,0.6480229949694825
0.2,0.47,0.6480229949694825
0.18,0.64,0.6494233353058081
0.14,0.69,0.6522240159784595
0.18,0.55,0.6494233353058081
0.16,0.55,0.6508236756421338
0.16,0.59,0.6508236756421338
0.14,0.63,0.6522240159784595
0.14,0.63,0.6522240159784595
0.12,0.68,0.6536243563147852
0.12,0.74,0.6536243563147852
0.12,0.74,0.6536243563147852
0.14,0.69,0.6522240159784595
0.16,0.64,0.6508236756421338
0.16,0.69,0.6508236756421338
0.22,0.51,0.6466226546331567
0.22,0.51,0.6466226546331567
0.24,0.56,0.645222314296831
0.26,0.52,0.6438219739605053
0.28,0.52,0.6424216336241796
0.3,0.49,0.6410212932878538
0.28,0.48,0.6424216336241796
0.26,0.48,0.6438219739605053
0.24,0.48,0.645222314296831
0.24,0.48,0.645222314296831
0.22,0.64,0.6466226546331567
0.22,0.64,0.6466226546331567
0.2,0.69,0.6480229949694825
0.2,0.64,0.6480229949694825
0.16,0.74,0.6508236756421338
0.16,0.74,0.6508236756421338
0.24,0.48,0.645222314296831
0.22,0.47,0.6466226546331567
0.2,0.47,0.6480229949694825
0.18,0.43,0.6494233353058081
0.2,0.4,0.6480229949694825
0.22,0.37,0.6466226546331567
0.22,0.37,0.6466226546331567
0.26,0.33,0.6438219739605053
0.26,0.33,0.6438219739605053
0.28,0.3,0.6424216336241796
0.3,0.28,0.6410212932878538
0.3,0.28,0.6410212932878538
0.3,0.28,0.6410212932878538
0.24,0.38,0.645222314296831
0.24,0.38,0.645222314296831
0.24,0.38,0.645222314296831
0.22,0.47,0.6466226546331567
0.2,0.51,0.6480229949694825
0.18,0.55,0.6494233353058081
0.2,0.47,0.6480229949694825
0.18,0.55,0.6494233353058081
0.16,0.64,0.6508236756421338
0.16,0.64,0.6508236756421338
0.16,0.64,0.6508236756421338
0.14,0.69,0.6522240159784595
0.14,0.63,0.6522240159784595
0.16,0.59,0.6508236756421338
0.16,0.59,0.6508236756421338
0.18,0.51,0.6494233353058081
0.2,0.47,0.6480229949694825
0.22,0.44,0.6466226546331567
0.26,0.35,0.6438219739605053
0.26,0.35,0.6438219739605053
0.28,0.36,0.6424216336241796
0.28,0.36,0.6424216336241796
0.26,0.38,0.6438219739605053
0.22,0.51,0.6466226546331567
0.22,0.51,0.6466226546331567
0.22,0.55,0.6466226546331567
0.2,0.51,0.6480229949694825
0.22,0.55,0.6466226546331567
0.22,0.51,0.6466226546331567
0.2,0.59,0.6480229949694825
0.2,0.64,0.6480229949694825
0.2,0.69,0.6480229949694825
0.2,0.69,0.6480229949694825
0.2,0.69,0.6480229949694825
0.22,0.55,0.6466226546331567
0.2,0.69,0.6480229949694825
0.2,0.69,0.6480229949694825
0.2,0.51,0.6480229949694825
0.2,0.47,0.6480229949694825
0.22,0.37,0.6466226546331567
0.2,0.4,0.6480229949694825
0.2,0.37,0.6480229949694825
0.2,0.37,0.6480229949694825
0.2,0.4,0.6480229949694825
0.2,0.37,0.6480229949694825
0.2,0.37,0.6480229949694825
0.2,0.37,0.6480229949694825
0.2,0.4,0.6480229949694825
0.16,0.55,0.6508236756421338
