hr,temp,Predicted Y
0,0.24,0.4527393562490368
1,0.22,0.4565714133362491
2,0.22,0.4604034704234615
3,0.24,0.4642355275106739
4,0.24,0.4680675845978863
5,0.24,0.4718996416850986
6,0.22,0.47573169877231103
7,0.2,0.4795637558595234
8,0.24,0.4833958129467358
9,0.32,0.48722787003394813
10,0.38,0.49105992712116053
11,0.36,0.4948919842083729
12,0.42,0.4987240412955853
13,0.46,0.5025560983827977
14,0.46,0.50638815547001
15,0.44,0.5102202125572224
16,0.42,0.5140522696444347
17,0.44,0.5178843267316472
18,0.42,0.5217163838188595
19,0.42,0.5255484409060719
20,0.4,0.5293804979932842
21,0.4,0.5332125550804967
22,0.4,0.537044612167709
23,0.46,0.5408766692549214
0,0.46,0.4527393562490368
1,0.44,0.4565714133362491
2,0.42,0.4604034704234615
3,0.46,0.4642355275106739
4,0.46,0.4680675845978863
6,0.42,0.47573169877231103
7,0.4,0.4795637558595234
8,0.4,0.4833958129467358
9,0.38,0.48722787003394813
10,0.36,0.49105992712116053
11,0.36,0.4948919842083729
12,0.36,0.4987240412955853
13,0.36,0.5025560983827977
14,0.36,0.50638815547001
15,0.34,0.5102202125572224
16,0.34,0.5140522696444347
17,0.34,0.5178843267316472
18,0.36,0.5217163838188595
19,0.32,0.5255484409060719
20,0.3,0.5293804979932842
21,0.26,0.5332125550804967
22,0.24,0.537044612167709
23,0.22,0.5408766692549214
0,0.22,0.4527393562490368
1,0.2,0.4565714133362491
4,0.16,0.4680675845978863
5,0.16,0.4718996416850986
6,0.14,0.47573169877231103
7,0.14,0.4795637558595234
8,0.14,0.4833958129467358
9,0.16,0.48722787003394813
10,0.18,0.49105992712116053
11,0.2,0.4948919842083729
12,0.22,0.4987240412955853
13,0.24,0.5025560983827977
14,0.26,0.50638815547001
15,0.26,0.5102202125572224
16,0.26,0.5140522696444347
17,0.24,0.5178843267316472
18,0.24,0.5217163838188595
19,0.2,0.5255484409060719
20,0.2,0.5293804979932842
21,0.18,0.5332125550804967
22,0.14,0.537044612167709
23,0.18,0.5408766692549214
0,0.16,0.4527393562490368
1,0.16,0.4565714133362491
2,0.14,0.4604034704234615
4,0.14,0.4680675845978863
5,0.12,0.4718996416850986
6,0.12,0.47573169877231103
7,0.12,0.4795637558595234
8,0.14,0.4833958129467358
9,0.16,0.48722787003394813
10,0.16,0.49105992712116053
11,0.22,0.4948919842083729
12,0.22,0.4987240412955853
13,0.24,0.5025560983827977
14,0.26,0.50638815547001
15,0.28,0.5102202125572224
16,0.3,0.5140522696444347
17,0.28,0.5178843267316472
18,0.26,0.5217163838188595
19,0.24,0.5255484409060719
20,0.24,0.5293804979932842
21,0.22,0.5332125550804967
22,0.22,0.537044612167709
23,0.2,0.5408766692549214
0,0.2,0.4527393562490368
1,0.16,0.4565714133362491
2,0.16,0.4604034704234615
4,0.24,0.4680675845978863
5,0.22,0.4718996416850986
6,0.2,0.47573169877231103
7,0.18,0.4795637558595234
8,0.2,0.4833958129467358
9,0.22,0.48722787003394813
10,0.22,0.49105992712116053
11,0.26,0.4948919842083729
12,0.26,0.4987240412955853
13,0.28,0.5025560983827977
14,0.3,0.50638815547001
15,0.3,0.5102202125572224
16,0.3,0.5140522696444347
17,0.24,0.5178843267316472
18,0.24,0.5217163838188595
19,0.24,0.5255484409060719
20,0.22,0.5293804979932842
21,0.2,0.5332125550804967
22,0.18,0.537044612167709
23,0.2,0.5408766692549214
0,0.18,0.4527393562490368
1,0.16,0.4565714133362491
2,0.16,0.4604034704234615
4,0.16,0.4680675845978863
5,0.14,0.4718996416850986
6,0.14,0.47573169877231103
7,0.16,0.4795637558595234
8,0.16,0.4833958129467358
9,0.18,0.48722787003394813
10,0.2,0.49105992712116053
11,0.22,0.4948919842083729
12,0.26,0.4987240412955853
13,0.26,0.5025560983827977
14,0.28,0.50638815547001
15,0.28,0.5102202125572224
16,0.26,0.5140522696444347
17,0.22,0.5178843267316472
18,0.22,0.5217163838188595
19,0.22,0.5255484409060719
20,0.2,0.5293804979932842
21,0.22,0.5332125550804967
22,0.22,0.537044612167709
23,0.2,0.5408766692549214
0,0.2,0.4527393562490368
1,0.2,0.4565714133362491
2,0.2,0.4604034704234615
4,0.2,0.4680675845978863
5,0.22,0.4718996416850986
6,0.2,0.47573169877231103
7,0.2,0.4795637558595234
8,0.2,0.4833958129467358
9,0.2,0.48722787003394813
10,0.22,0.49105992712116053
11,0.2,0.4948919842083729
12,0.2,0.4987240412955853
13,0.2,0.5025560983827977
14,0.2,0.50638815547001
15,0.2,0.5102202125572224
16,0.2,0.5140522696444347
17,0.2,0.5178843267316472
18,0.2,0.5217163838188595
19,0.16,0.5255484409060719
20,0.18,0.5293804979932842
21,0.18,0.5332125550804967
22,0.18,0.537044612167709
23,0.18,0.5408766692549214
0,0.18,0.4527393562490368
1,0.18,0.4565714133362491
2,0.18,0.4604034704234615
3,0.18,0.4642355275106739
4,0.18,0.4680675845978863
5,0.16,0.4718996416850986
6,0.16,0.47573169877231103
7,0.16,0.4795637558595234
8,0.16,0.4833958129467358
9,0.16,0.48722787003394813
10,0.18,0.49105992712116053
11,0.2,0.4948919842083729
12,0.2,0.4987240412955853
13,0.2,0.5025560983827977
14,0.2,0.50638815547001
15,0.2,0.5102202125572224
16,0.18,0.5140522696444347
17,0.16,0.5178843267316472
18,0.14,0.5217163838188595
19,0.14,0.5255484409060719
20,0.12,0.5293804979932842
21,0.12,0.5332125550804967
22,0.12,0.537044612167709
23,0.1,0.5408766692549214
0,0.1,0.4527393562490368
1,0.1,0.4565714133362491
2,0.1,0.4604034704234615
3,0.1,0.4642355275106739
4,0.08,0.4680675845978863
5,0.08,0.4718996416850986
6,0.1,0.47573169877231103
7,0.08,0.4795637558595234
8,0.1,0.4833958129467358
9,0.12,0.48722787003394813
10,0.14,0.49105992712116053
11,0.16,0.4948919842083729
12,0.18,0.4987240412955853
13,0.2,0.5025560983827977
14,0.22,0.50638815547001
15,0.22,0.5102202125572224
16,0.2,0.5140522696444347
17,0.18,0.5178843267316472
18,0.16,0.5217163838188595
19,0.16,0.5255484409060719
20,0.14,0.5293804979932842
21,0.14,0.5332125550804967
22,0.14,0.537044612167709
23,0.12,0.5408766692549214
0,0.12,0.4527393562490368
1,0.12,0.4565714133362491
2,0.12,0.4604034704234615
3,0.12,0.4642355275106739
4,0.1,0.4680675845978863
5,0.1,0.4718996416850986
6,0.12,0.47573169877231103
7,0.12,0.4795637558595234
8,0.12,0.4833958129467358
9,0.14,0.48722787003394813
10,0.14,0.49105992712116053
11,0.16,0.4948919842083729
12,0.2,0.4987240412955853
13,0.2,0.5025560983827977
14,0.2,0.50638815547001
15,0.2,0.5102202125572224
16,0.2,0.5140522696444347
17,0.2,0.5178843267316472
18,0.2,0.5217163838188595
19,0.16,0.5255484409060719
20,0.16,0.5293804979932842
21,0.14,0.5332125550804967
22,0.14,0.537044612167709
23,0.14,0.5408766692549214
0,0.14,0.4527393562490368
1,0.14,0.4565714133362491
2,0.16,0.4604034704234615
5,0.16,0.4718996416850986
6,0.16,0.47573169877231103
7,0.16,0.4795637558595234
8,0.18,0.4833958129467358
9,0.18,0.48722787003394813
10,0.2,0.49105992712116053
11,0.2,0.4948919842083729
12,0.2,0.4987240412955853
13,0.2,0.5025560983827977
14,0.2,0.50638815547001
15,0.16,0.5102202125572224
16,0.16,0.5140522696444347
17,0.16,0.5178843267316472
18,0.16,0.5217163838188595
19,0.16,0.5255484409060719
20,0.16,0.5293804979932842
21,0.16,0.5332125550804967
22,0.16,0.537044612167709
23,0.16,0.5408766692549214
0,0.16,0.4527393562490368
1,0.16,0.4565714133362491
2,0.14,0.4604034704234615
5,0.14,0.4718996416850986
6,0.12,0.47573169877231103
7,0.14,0.4795637558595234
8,0.16,0.4833958129467358
9,0.16,0.48722787003394813
10,0.18,0.49105992712116053
11,0.2,0.4948919842083729
12,0.2,0.4987240412955853
13,0.22,0.5025560983827977
14,0.2,0.50638815547001
15,0.2,0.5102202125572224
16,0.22,0.5140522696444347
17,0.2,0.5178843267316472
18,0.2,0.5217163838188595
19,0.18,0.5255484409060719
20,0.16,0.5293804979932842
21,0.16,0.5332125550804967
22,0.16,0.537044612167709
23,0.14,0.5408766692549214
0,0.14,0.4527393562490368
1,0.14,0.4565714133362491
2,0.14,0.4604034704234615
3,0.14,0.4642355275106739
4,0.14,0.4680675845978863
5,0.14,0.4718996416850986
6,0.12,0.47573169877231103
7,0.12,0.4795637558595234
8,0.14,0.4833958129467358
9,0.14,0.48722787003394813
10,0.16,0.49105992712116053
11,0.2,0.4948919842083729
12,0.2,0.4987240412955853
13,0.22,0.5025560983827977
14,0.22,0.50638815547001
15,0.24,0.5102202125572224
16,0.24,0.5140522696444347
17,0.2,0.5178843267316472
18,0.2,0.5217163838188595
19,0.16,0.5255484409060719
20,0.16,0.5293804979932842
21,0.14,0.5332125550804967
22,0.14,0.537044612167709
23,0.12,0.5408766692549214
0,0.12,0.4527393562490368
1,0.1,0.4565714133362491
2,0.1,0.4604034704234615
3,0.1,0.4642355275106739
5,0.1,0.4718996416850986
6,0.1,0.47573169877231103
7,0.1,0.4795637558595234
8,0.12,0.4833958129467358
9,0.14,0.48722787003394813
10,0.18,0.49105992712116053
11,0.18,0.4948919842083729
12,0.2,0.4987240412955853
13,0.22,0.5025560983827977
14,0.22,0.50638815547001
15,0.24,0.5102202125572224
16,0.22,0.5140522696444347
17,0.22,0.5178843267316472
18,0.2,0.5217163838188595
19,0.16,0.5255484409060719
20,0.18,0.5293804979932842
21,0.16,0.5332125550804967
22,0.16,0.537044612167709
23,0.18,0.5408766692549214
0,0.18,0.4527393562490368
1,0.16,0.4565714133362491
2,0.16,0.4604034704234615
3,0.16,0.4642355275106739
4,0.16,0.4680675845978863
5,0.16,0.4718996416850986
6,0.14,0.47573169877231103
7,0.14,0.4795637558595234
8,0.14,0.4833958129467358
9,0.16,0.48722787003394813
10,0.18,0.49105992712116053
11,0.2,0.4948919842083729
12,0.24,0.4987240412955853
13,0.28,0.5025560983827977
14,0.3,0.50638815547001
15,0.32,0.5102202125572224
16,0.34,0.5140522696444347
17,0.32,0.5178843267316472
18,0.3,0.5217163838188595
19,0.32,0.5255484409060719
20,0.32,0.5293804979932842
21,0.32,0.5332125550804967
22,0.3,0.537044612167709
23,0.3,0.5408766692549214
0,0.26,0.4527393562490368
1,0.26,0.4565714133362491
2,0.26,0.4604034704234615
3,0.22,0.4642355275106739
4,0.26,0.4680675845978863
5,0.26,0.4718996416850986
6,0.26,0.47573169877231103
7,0.24,0.4795637558595234
8,0.22,0.4833958129467358
9,0.22,0.48722787003394813
10,0.22,0.49105992712116053
11,0.24,0.4948919842083729
12,0.24,0.4987240412955853
13,0.26,0.5025560983827977
14,0.28,0.50638815547001
15,0.26,0.5102202125572224
16,0.24,0.5140522696444347
17,0.22,0.5178843267316472
18,0.2,0.5217163838188595
19,0.18,0.5255484409060719
20,0.18,0.5293804979932842
21,0.18,0.5332125550804967
22,0.2,0.537044612167709
23,0.2,0.5408766692549214
0,0.2,0.4527393562490368
1,0.2,0.4565714133362491
2,0.18,0.4604034704234615
3,0.18,0.4642355275106739
4,0.18,0.4680675845978863
5,0.18,0.4718996416850986
6,0.18,0.47573169877231103
7,0.16,0.4795637558595234
8,0.16,0.4833958129467358
9,0.16,0.48722787003394813
10,0.16,0.49105992712116053
11,0.16,0.4948919842083729
12,0.18,0.4987240412955853
13,0.18,0.5025560983827977
14,0.18,0.50638815547001
15,0.2,0.5102202125572224
16,0.2,0.5140522696444347
17,0.2,0.5178843267316472
18,0.18,0.5217163838188595
19,0.18,0.5255484409060719
20,0.16,0.5293804979932842
21,0.16,0.5332125550804967
22,0.14,0.537044612167709
23,0.16,0.5408766692549214
12,0.2,0.4987240412955853
13,0.2,0.5025560983827977
14,0.22,0.50638815547001
15,0.22,0.5102202125572224
16,0.22,0.5140522696444347
17,0.22,0.5178843267316472
18,0.22,0.5217163838188595
19,0.22,0.5255484409060719
20,0.22,0.5293804979932842
21,0.22,0.5332125550804967
22,0.22,0.537044612167709
23,0.22,0.5408766692549214
0,0.22,0.4527393562490368
1,0.22,0.4565714133362491
2,0.22,0.4604034704234615
4,0.22,0.4680675845978863
5,0.22,0.4718996416850986
6,0.22,0.47573169877231103
7,0.24,0.4795637558595234
8,0.24,0.4833958129467358
9,0.24,0.48722787003394813
10,0.26,0.49105992712116053
11,0.28,0.4948919842083729
12,0.3,0.4987240412955853
13,0.4,0.5025560983827977
14,0.4,0.50638815547001
15,0.4,0.5102202125572224
16,0.38,0.5140522696444347
17,0.36,0.5178843267316472
18,0.34,0.5217163838188595
19,0.32,0.5255484409060719
20,0.32,0.5293804979932842
21,0.32,0.5332125550804967
22,0.3,0.537044612167709
23,0.3,0.5408766692549214
0,0.26,0.4527393562490368
1,0.26,0.4565714133362491
2,0.26,0.4604034704234615
3,0.26,0.4642355275106739
4,0.26,0.4680675845978863
5,0.24,0.4718996416850986
6,0.22,0.47573169877231103
7,0.22,0.4795637558595234
8,0.22,0.4833958129467358
9,0.24,0.48722787003394813
10,0.26,0.49105992712116053
11,0.28,0.4948919842083729
12,0.3,0.4987240412955853
13,0.28,0.5025560983827977
14,0.3,0.50638815547001
15,0.32,0.5102202125572224
16,0.3,0.5140522696444347
17,0.3,0.5178843267316472
18,0.26,0.5217163838188595
19,0.26,0.5255484409060719
20,0.26,0.5293804979932842
21,0.24,0.5332125550804967
22,0.24,0.537044612167709
23,0.24,0.5408766692549214
0,0.24,0.4527393562490368
1,0.24,0.4565714133362491
2,0.24,0.4604034704234615
3,0.22,0.4642355275106739
4,0.22,0.4680675845978863
5,0.24,0.4718996416850986
6,0.22,0.47573169877231103
7,0.2,0.4795637558595234
8,0.2,0.4833958129467358
9,0.2,0.48722787003394813
10,0.2,0.49105992712116053
11,0.22,0.4948919842083729
12,0.22,0.4987240412955853
13,0.2,0.5025560983827977
14,0.2,0.50638815547001
15,0.16,0.5102202125572224
16,0.16,0.5140522696444347
17,0.14,0.5178843267316472
18,0.12,0.5217163838188595
19,0.12,0.5255484409060719
20,0.1,0.5293804979932842
21,0.08,0.5332125550804967
22,0.06,0.537044612167709
23,0.06,0.5408766692549214
0,0.04,0.4527393562490368
1,0.04,0.4565714133362491
2,0.04,0.4604034704234615
3,0.04,0.4642355275106739
4,0.02,0.4680675845978863
6,0.02,0.47573169877231103
7,0.02,0.4795637558595234
8,0.02,0.4833958129467358
9,0.04,0.48722787003394813
10,0.04,0.49105992712116053
11,0.06,0.4948919842083729
12,0.06,0.4987240412955853
13,0.08,0.5025560983827977
14,0.1,0.50638815547001
15,0.12,0.5102202125572224
16,0.12,0.5140522696444347
17,0.12,0.5178843267316472
18,0.08,0.5217163838188595
19,0.08,0.5255484409060719
20,0.06,0.5293804979932842
21,0.06,0.5332125550804967
22,0.06,0.537044612167709
23,0.04,0.5408766692549214
0,0.04,0.4527393562490368
1,0.04,0.4565714133362491
2,0.02,0.4604034704234615
3,0.02,0.4642355275106739
5,0.04,0.4718996416850986
6,0.04,0.47573169877231103
