windspeed,season,Predicted Y
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0896,1,2.6378266245052355
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.2537,1,2.415450782603581
0.2836,1,2.374932576187618
0.2836,1,2.374932576187618
0.2985,1,2.354741229177657
0.2836,1,2.374932576187618
0.2985,1,2.354741229177657
0.2985,1,2.354741229177657
0.2836,1,2.374932576187618
0.2537,1,2.415450782603581
0.2537,1,2.415450782603581
0.2537,1,2.415450782603581
0.194,1,2.496351683039466
0.2239,1,2.4558334766235035
0.2985,1,2.354741229177657
0.2985,1,2.354741229177657
0.2537,1,2.415450782603581
0.2836,1,2.374932576187618
0.194,1,2.496351683039466
0.194,1,2.496351683039466
0.2985,1,2.354741229177657
0.194,1,2.496351683039466
0.2239,1,2.4558334766235035
0.2239,1,2.4558334766235035
0.2239,1,2.4558334766235035
0.2537,1,2.415450782603581
0.2985,1,2.354741229177657
0.1343,1,2.5772525834753517
0.194,1,2.496351683039466
0.1642,1,2.536734377059389
0.1642,1,2.536734377059389
0.194,1,2.496351683039466
0.3284,1,2.314223022761694
0.4478,1,2.1524212218899232
0.3582,1,2.2738403287417714
0.3284,1,2.314223022761694
0.2985,1,2.354741229177657
0.1642,1,2.536734377059389
0.3582,1,2.2738403287417714
0.4179,1,2.192939428305886
0.3881,1,2.233322122325809
0.2836,1,2.374932576187618
0.3881,1,2.233322122325809
0.194,1,2.496351683039466
0.2836,1,2.374932576187618
0.3881,1,2.233322122325809
0.2537,1,2.415450782603581
0.3284,1,2.314223022761694
0.2985,1,2.354741229177657
0.2836,1,2.374932576187618
0.2836,1,2.374932576187618
0.2537,1,2.415450782603581
0.2537,1,2.415450782603581
0.2239,1,2.4558334766235035
0.1045,1,2.6176352774952742
0.0,1,2.7592457313570837
0.1045,1,2.6176352774952742
0.1343,1,2.5772525834753517
0.1343,1,2.5772525834753517
0.1045,1,2.6176352774952742
0.1045,1,2.6176352774952742
0.1045,1,2.6176352774952742
0.1343,1,2.5772525834753517
0.0896,1,2.6378266245052355
0.1045,1,2.6176352774952742
0.1045,1,2.6176352774952742
0.1343,1,2.5772525834753517
0.1642,1,2.536734377059389
0.2239,1,2.4558334766235035
0.3284,1,2.314223022761694
0.2985,1,2.354741229177657
0.1642,1,2.536734377059389
0.194,1,2.496351683039466
0.2239,1,2.4558334766235035
0.2537,1,2.415450782603581
0.2537,1,2.415450782603581
0.2239,1,2.4558334766235035
0.194,1,2.496351683039466
0.1045,1,2.6176352774952742
0.1045,1,2.6176352774952742
0.0,1,2.7592457313570837
0.0896,1,2.6378266245052355
0.0896,1,2.6378266245052355
0.0,1,2.7592457313570837
0.0896,1,2.6378266245052355
0.0896,1,2.6378266245052355
0.2239,1,2.4558334766235035
0.1642,1,2.536734377059389
0.2239,1,2.4558334766235035
0.194,1,2.496351683039466
0.2985,1,2.354741229177657
0.3284,1,2.314223022761694
0.3284,1,2.314223022761694
0.3284,1,2.314223022761694
0.3284,1,2.314223022761694
0.2985,1,2.354741229177657
0.194,1,2.496351683039466
0.194,1,2.496351683039466
0.0896,1,2.6378266245052355
0.194,1,2.496351683039466
0.1343,1,2.5772525834753517
0.1045,1,2.6176352774952742
0.1642,1,2.536734377059389
0.194,1,2.496351683039466
0.1343,1,2.5772525834753517
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0,1,2.7592457313570837
0.0896,1,2.6378266245052355
0.0896,1,2.6378266245052355
0.1045,1,2.6176352774952742
0.0,1,2.7592457313570837
