windspeed,instant,Predicted Y
0.0,1,9270.813565586053
0.0,2,9270.813565586053
0.0,3,9270.813565586053
0.0,4,9270.813565586053
0.0,5,9270.813565586053
0.0896,6,8997.054750377127
0.0,7,9270.813565586053
0.0,8,9270.813565586053
0.0,9,9270.813565586053
0.0,10,9270.813565586053
0.2537,11,8495.672813147385
0.2836,12,8404.318029947084
0.2836,13,8404.318029947084
0.2985,14,8358.793405542921
0.2836,15,8404.318029947084
0.2985,16,8358.793405542921
0.2985,17,8358.793405542921
0.2836,18,8404.318029947084
0.2537,19,8495.672813147385
0.2537,20,8495.672813147385
0.2537,21,8495.672813147385
0.194,22,8678.07684515601
0.2239,23,8586.72206195571
0.2985,24,8358.793405542921
0.2985,25,8358.793405542921
0.2537,26,8495.672813147385
0.2836,27,8404.318029947084
0.194,28,8678.07684515601
0.194,29,8678.07684515601
0.2985,30,8358.793405542921
0.194,31,8678.07684515601
0.2239,32,8586.72206195571
0.2239,33,8586.72206195571
0.2239,34,8586.72206195571
0.2537,35,8495.672813147385
0.2985,36,8358.793405542921
0.1343,37,8860.480877164637
0.194,38,8678.07684515601
0.1642,39,8769.126093964336
0.1642,40,8769.126093964336
0.194,41,8678.07684515601
0.3284,42,8267.43862234262
0.4478,43,7902.630558325368
0.3582,44,8176.3893735342945
0.3284,45,8267.43862234262
0.2985,46,8358.793405542921
0.1642,47,8769.126093964336
0.3582,48,8176.3893735342945
0.4179,49,7993.985341525668
0.3881,50,8085.034590333995
0.2836,51,8404.318029947084
0.3881,52,8085.034590333995
0.194,53,8678.07684515601
0.2836,54,8404.318029947084
0.3881,55,8085.034590333995
0.2537,56,8495.672813147385
0.3284,57,8267.43862234262
0.2985,58,8358.793405542921
0.2836,59,8404.318029947084
0.2836,60,8404.318029947084
0.2537,61,8495.672813147385
0.2537,62,8495.672813147385
0.2239,63,8586.72206195571
0.1045,64,8951.530125972964
0.0,65,9270.813565586053
0.1045,66,8951.530125972964
0.1343,67,8860.480877164637
0.1343,68,8860.480877164637
0.1045,69,8951.530125972964
0.1045,70,8951.530125972964
0.1045,71,8951.530125972964
0.1343,72,8860.480877164637
0.0896,73,8997.054750377127
0.1045,74,8951.530125972964
0.1045,75,8951.530125972964
0.1343,76,8860.480877164637
0.1642,77,8769.126093964336
0.2239,78,8586.72206195571
0.3284,79,8267.43862234262
0.2985,80,8358.793405542921
0.1642,81,8769.126093964336
0.194,82,8678.07684515601
0.2239,83,8586.72206195571
0.2537,84,8495.672813147385
0.2537,85,8495.672813147385
0.2239,86,8586.72206195571
0.194,87,8678.07684515601
0.1045,88,8951.530125972964
0.1045,89,8951.530125972964
0.0,90,9270.813565586053
0.0896,91,8997.054750377127
0.0896,92,8997.054750377127
0.0,93,9270.813565586053
0.0896,94,8997.054750377127
0.0896,95,8997.054750377127
0.2239,96,8586.72206195571
0.1642,97,8769.126093964336
0.2239,98,8586.72206195571
0.194,99,8678.07684515601
0.2985,100,8358.793405542921
0.3284,101,8267.43862234262
0.3284,102,8267.43862234262
0.3284,103,8267.43862234262
0.3284,104,8267.43862234262
0.2985,105,8358.793405542921
0.194,106,8678.07684515601
0.194,107,8678.07684515601
0.0896,108,8997.054750377127
0.194,109,8678.07684515601
0.1343,110,8860.480877164637
0.1045,111,8951.530125972964
0.1642,112,8769.126093964336
0.194,113,8678.07684515601
0.1343,114,8860.480877164637
0.0,115,9270.813565586053
0.0,116,9270.813565586053
0.0,117,9270.813565586053
0.0,118,9270.813565586053
0.0896,119,8997.054750377127
0.0896,120,8997.054750377127
0.1045,121,8951.530125972964
0.0,122,9270.813565586053
0.0,123,9270.813565586053
0.0,124,9270.813565586053
0.0,125,9270.813565586053
0.0896,126,8997.054750377127
0.0,127,9270.813565586053
0.1045,128,8951.530125972964
0.1642,129,8769.126093964336
0.0,130,9270.813565586053
0.1642,131,8769.126093964336
0.1642,132,8769.126093964336
0.1343,133,8860.480877164637
0.0896,134,8997.054750377127
0.1642,135,8769.126093964336
0.2239,136,8586.72206195571
0.2836,137,8404.318029947084
0.194,138,8678.07684515601
0.194,139,8678.07684515601
0.2239,140,8586.72206195571
0.2239,141,8586.72206195571
0.1343,142,8860.480877164637
0.0,143,9270.813565586053
0.0,144,9270.813565586053
0.1343,145,8860.480877164637
0.2537,146,8495.672813147385
0.2985,147,8358.793405542921
0.3284,148,8267.43862234262
0.2239,149,8586.72206195571
0.2537,150,8495.672813147385
0.2836,151,8404.318029947084
0.2537,152,8495.672813147385
0.1642,153,8769.126093964336
0.1642,154,8769.126093964336
0.0,155,9270.813565586053
0.0896,156,8997.054750377127
0.0896,157,8997.054750377127
0.1045,158,8951.530125972964
0.1343,159,8860.480877164637
0.1642,160,8769.126093964336
0.1642,161,8769.126093964336
0.1642,162,8769.126093964336
0.0896,163,8997.054750377127
0.0,164,9270.813565586053
0.1642,165,8769.126093964336
0.1642,166,8769.126093964336
0.1642,167,8769.126093964336
0.1642,168,8769.126093964336
0.1045,169,8951.530125972964
0.1045,170,8951.530125972964
0.1045,171,8951.530125972964
0.1642,172,8769.126093964336
0.3881,173,8085.034590333995
0.3582,174,8176.3893735342945
0.3284,175,8267.43862234262
0.4925,176,7766.056685112879
0.4478,177,7902.630558325368
0.4478,178,7902.630558325368
0.5522,179,7583.652653104253
0.2985,180,8358.793405542921
0.2537,181,8495.672813147385
0.2537,182,8495.672813147385
0.3582,183,8176.3893735342945
0.3881,184,8085.034590333995
0.4478,185,7902.630558325368
0.3881,186,8085.034590333995
0.4627,187,7857.105933921205
0.4627,188,7857.105933921205
0.4179,189,7993.985341525668
0.194,190,8678.07684515601
0.194,191,8678.07684515601
0.2836,192,8404.318029947084
0.194,193,8678.07684515601
0.2836,194,8404.318029947084
0.5224,195,7674.701901912578
0.3881,196,8085.034590333995
0.5224,197,7674.701901912578
0.4478,198,7902.630558325368
0.4478,199,7902.630558325368
0.4627,200,7857.105933921205
0.3582,201,8176.3893735342945
0.4478,202,7902.630558325368
0.3881,203,8085.034590333995
0.3284,204,8267.43862234262
0.3284,205,8267.43862234262
0.2537,206,8495.672813147385
0.4179,207,7993.985341525668
0.2985,208,8358.793405542921
0.194,209,8678.07684515601
0.2836,210,8404.318029947084
0.2836,211,8404.318029947084
0.2239,212,8586.72206195571
0.2239,213,8586.72206195571
0.1343,214,8860.480877164637
0.2537,215,8495.672813147385
0.2836,216,8404.318029947084
0.2239,217,8586.72206195571
0.2836,218,8404.318029947084
0.2537,219,8495.672813147385
0.2985,220,8358.793405542921
0.2836,221,8404.318029947084
0.2836,222,8404.318029947084
0.2836,223,8404.318029947084
0.2239,224,8586.72206195571
0.2239,225,8586.72206195571
0.1343,226,8860.480877164637
0.1045,227,8951.530125972964
0.2239,228,8586.72206195571
0.1642,229,8769.126093964336
0.1642,230,8769.126093964336
0.194,231,8678.07684515601
0.1642,232,8769.126093964336
0.1642,233,8769.126093964336
0.1045,234,8951.530125972964
0.1642,235,8769.126093964336
0.194,236,8678.07684515601
0.1343,237,8860.480877164637
0.1343,238,8860.480877164637
0.0,239,9270.813565586053
0.0896,240,8997.054750377127
0.1642,241,8769.126093964336
0.1642,242,8769.126093964336
0.1343,243,8860.480877164637
0.1045,244,8951.530125972964
0.0896,245,8997.054750377127
0.0896,246,8997.054750377127
0.0896,247,8997.054750377127
0.2239,248,8586.72206195571
0.2239,249,8586.72206195571
0.1045,250,8951.530125972964
0.0,251,9270.813565586053
0.194,252,8678.07684515601
0.0896,253,8997.054750377127
0.1045,254,8951.530125972964
0.0896,255,8997.054750377127
0.0896,256,8997.054750377127
0.1045,257,8951.530125972964
0.1343,258,8860.480877164637
0.1642,259,8769.126093964336
0.1343,260,8860.480877164637
0.1343,261,8860.480877164637
0.1642,262,8769.126093964336
0.3284,263,8267.43862234262
0.2239,264,8586.72206195571
0.3881,265,8085.034590333995
0.5821,266,7492.297869903952
0.3582,267,8176.3893735342945
0.3284,268,8267.43862234262
0.4179,269,7993.985341525668
0.3284,270,8267.43862234262
0.3582,271,8176.3893735342945
0.5224,272,7674.701901912578
0.4179,273,7993.985341525668
0.3284,274,8267.43862234262
0.3284,275,8267.43862234262
0.4478,276,7902.630558325368
0.4179,277,7993.985341525668
0.2836,278,8404.318029947084
0.2836,279,8404.318029947084
0.3582,280,8176.3893735342945
0.3284,281,8267.43862234262
0.2537,282,8495.672813147385
0.2985,283,8358.793405542921
0.1343,284,8860.480877164637
0.1343,285,8860.480877164637
0.194,286,8678.07684515601
0.3284,287,8267.43862234262
0.3582,288,8176.3893735342945
0.4478,289,7902.630558325368
0.4179,290,7993.985341525668
0.4478,291,7902.630558325368
0.3881,292,8085.034590333995
0.2985,293,8358.793405542921
0.3582,294,8176.3893735342945
0.2836,295,8404.318029947084
0.3284,296,8267.43862234262
0.2537,297,8495.672813147385
0.2239,298,8586.72206195571
0.2985,299,8358.793405542921
0.3284,300,8267.43862234262
0.194,301,8678.07684515601
0.194,302,8678.07684515601
0.1642,303,8769.126093964336
0.1343,304,8860.480877164637
0.1045,305,8951.530125972964
0.0896,306,8997.054750377127
0.0,307,9270.813565586053
0.1642,308,8769.126093964336
0.0,309,9270.813565586053
0.1343,310,8860.480877164637
0.194,311,8678.07684515601
0.2836,312,8404.318029947084
0.2537,313,8495.672813147385
0.3881,314,8085.034590333995
0.2836,315,8404.318029947084
0.1642,316,8769.126093964336
0.1045,317,8951.530125972964
0.1642,318,8769.126093964336
0.0,319,9270.813565586053
0.0896,320,8997.054750377127
0.0,321,9270.813565586053
0.0,322,9270.813565586053
0.0,323,9270.813565586053
0.0,324,9270.813565586053
0.0,325,9270.813565586053
0.0896,326,8997.054750377127
0.0896,327,8997.054750377127
0.0,328,9270.813565586053
0.0,329,9270.813565586053
0.0,330,9270.813565586053
0.1045,331,8951.530125972964
0.0,332,9270.813565586053
0.1343,333,8860.480877164637
0.1343,334,8860.480877164637
0.1642,335,8769.126093964336
0.2239,336,8586.72206195571
0.2239,337,8586.72206195571
0.2985,338,8358.793405542921
0.2836,339,8404.318029947084
0.194,340,8678.07684515601
0.194,341,8678.07684515601
0.2836,342,8404.318029947084
0.2537,343,8495.672813147385
0.2537,344,8495.672813147385
0.2537,345,8495.672813147385
0.2239,346,8586.72206195571
0.1045,347,8951.530125972964
0.2836,348,8404.318029947084
0.0,349,9270.813565586053
0.1343,350,8860.480877164637
0.0896,351,8997.054750377127
0.0,352,9270.813565586053
0.1642,353,8769.126093964336
0.1642,354,8769.126093964336
