instant,temp,Predicted Y
1,0.24,0.45157340986182093
2,0.22,0.45157863644238944
3,0.22,0.45158386302295794
4,0.24,0.4515890896035265
5,0.24,0.451594316184095
6,0.24,0.4515995427646635
7,0.22,0.451604769345232
8,0.2,0.45160999592580053
9,0.24,0.45161522250636904
10,0.32,0.4516204490869376
11,0.38,0.4516256756675061
12,0.36,0.4516309022480746
13,0.42,0.4516361288286431
14,0.46,0.45164135540921163
15,0.46,0.45164658198978014
16,0.44,0.4516518085703487
17,0.42,0.4516570351509172
18,0.44,0.4516622617314857
19,0.42,0.4516674883120542
20,0.42,0.45167271489262273
21,0.4,0.45167794147319124
22,0.4,0.4516831680537598
23,0.4,0.4516883946343283
24,0.46,0.4516936212148968
25,0.46,0.4516988477954653
26,0.44,0.4517040743760338
27,0.42,0.45170930095660233
28,0.46,0.4517145275371709
29,0.46,0.4517197541177394
30,0.42,0.4517249806983079
31,0.4,0.4517302072788764
32,0.4,0.4517354338594449
33,0.38,0.45174066044001343
34,0.36,0.451745887020582
35,0.36,0.4517511136011505
36,0.36,0.451756340181719
37,0.36,0.4517615667622875
38,0.36,0.451766793342856
39,0.34,0.45177201992342453
40,0.34,0.4517772465039931
41,0.34,0.4517824730845616
42,0.36,0.4517876996651301
43,0.32,0.4517929262456986
44,0.3,0.4517981528262671
45,0.26,0.4518033794068356
46,0.24,0.4518086059874042
47,0.22,0.4518138325679727
48,0.22,0.4518190591485412
49,0.2,0.4518242857291097
50,0.16,0.4518295123096782
51,0.16,0.4518347388902467
52,0.14,0.4518399654708153
53,0.14,0.4518451920513838
54,0.14,0.4518504186319523
55,0.16,0.4518556452125208
56,0.18,0.4518608717930893
57,0.2,0.4518660983736578
58,0.22,0.4518713249542264
59,0.24,0.4518765515347949
60,0.26,0.4518817781153634
61,0.26,0.4518870046959319
62,0.26,0.4518922312765004
63,0.24,0.4518974578570689
64,0.24,0.4519026844376375
65,0.2,0.451907911018206
66,0.2,0.4519131375987745
67,0.18,0.451918364179343
68,0.14,0.4519235907599115
69,0.18,0.45192881734048
70,0.16,0.4519340439210486
71,0.16,0.4519392705016171
72,0.14,0.4519444970821856
73,0.14,0.4519497236627541
74,0.12,0.4519549502433226
75,0.12,0.4519601768238911
76,0.12,0.4519654034044597
77,0.14,0.4519706299850282
78,0.16,0.4519758565655967
79,0.16,0.4519810831461652
80,0.22,0.4519863097267337
81,0.22,0.4519915363073022
82,0.24,0.4519967628878708
83,0.26,0.4520019894684393
84,0.28,0.4520072160490078
85,0.3,0.4520124426295763
86,0.28,0.4520176692101448
87,0.26,0.4520228957907133
88,0.24,0.45202812237128187
89,0.24,0.4520333489518504
90,0.22,0.4520385755324189
91,0.22,0.4520438021129874
92,0.2,0.4520490286935559
93,0.2,0.4520542552741244
94,0.16,0.45205948185469297
95,0.16,0.4520647084352615
96,0.24,0.45206993501583
97,0.22,0.4520751615963985
98,0.2,0.452080388176967
99,0.18,0.4520856147575355
100,0.2,0.45209084133810407
101,0.22,0.4520960679186726
102,0.22,0.4521012944992411
103,0.26,0.4521065210798096
104,0.26,0.4521117476603781
105,0.28,0.4521169742409466
106,0.3,0.45212220082151516
107,0.3,0.45212742740208367
108,0.3,0.4521326539826522
109,0.24,0.4521378805632207
110,0.24,0.4521431071437892
111,0.24,0.4521483337243577
112,0.22,0.45215356030492626
113,0.2,0.45215878688549477
114,0.18,0.4521640134660633
115,0.2,0.4521692400466318
116,0.18,0.4521744666272003
117,0.16,0.4521796932077688
118,0.16,0.45218491978833736
119,0.16,0.45219014636890587
120,0.14,0.4521953729494744
121,0.14,0.4522005995300429
122,0.16,0.4522058261106114
123,0.16,0.4522110526911799
124,0.18,0.45221627927174846
125,0.2,0.45222150585231696
126,0.22,0.45222673243288547
127,0.26,0.452231959013454
128,0.26,0.4522371855940225
129,0.28,0.452242412174591
130,0.28,0.45224763875515955
131,0.26,0.45225286533572806
132,0.22,0.45225809191629657
133,0.22,0.4522633184968651
134,0.22,0.4522685450774336
135,0.2,0.4522737716580021
136,0.22,0.45227899823857065
137,0.22,0.45228422481913916
138,0.2,0.45228945139970766
139,0.2,0.45229467798027617
140,0.2,0.4522999045608447
141,0.2,0.4523051311414132
142,0.2,0.45231035772198175
143,0.22,0.45231558430255026
144,0.2,0.45232081088311876
145,0.2,0.45232603746368727
146,0.2,0.4523312640442558
147,0.2,0.4523364906248243
148,0.22,0.45234171720539285
149,0.2,0.45234694378596135
150,0.2,0.45235217036652986
151,0.2,0.45235739694709837
152,0.2,0.4523626235276669
153,0.2,0.4523678501082354
154,0.2,0.45237307668880394
155,0.2,0.45237830326937245
156,0.2,0.45238352984994096
157,0.16,0.45238875643050946
158,0.18,0.45239398301107797
159,0.18,0.4523992095916465
160,0.18,0.45240443617221504
161,0.18,0.45240966275278355
162,0.18,0.45241488933335205
163,0.18,0.45242011591392056
164,0.18,0.45242534249448907
165,0.18,0.4524305690750576
166,0.18,0.45243579565562614
167,0.16,0.45244102223619465
168,0.16,0.45244624881676315
169,0.16,0.45245147539733166
170,0.16,0.45245670197790017
171,0.16,0.4524619285584687
172,0.18,0.45246715513903724
173,0.2,0.45247238171960574
174,0.2,0.45247760830017425
175,0.2,0.45248283488074276
176,0.2,0.45248806146131126
177,0.2,0.45249328804187977
178,0.18,0.45249851462244833
179,0.16,0.45250374120301684
180,0.14,0.45250896778358535
181,0.14,0.45251419436415385
182,0.12,0.45251942094472236
183,0.12,0.45252464752529087
184,0.12,0.45252987410585943
185,0.1,0.45253510068642794
186,0.1,0.45254032726699644
187,0.1,0.45254555384756495
188,0.1,0.45255078042813346
189,0.1,0.45255600700870197
190,0.08,0.45256123358927053
191,0.08,0.45256646016983904
192,0.1,0.45257168675040754
193,0.08,0.45257691333097605
194,0.1,0.45258213991154456
195,0.12,0.45258736649211306
196,0.14,0.4525925930726816
197,0.16,0.45259781965325013
198,0.18,0.45260304623381864
199,0.2,0.45260827281438715
200,0.22,0.45261349939495565
201,0.22,0.45261872597552416
202,0.2,0.4526239525560927
203,0.18,0.45262917913666123
204,0.16,0.45263440571722974
205,0.16,0.45263963229779824
206,0.14,0.45264485887836675
207,0.14,0.45265008545893526
208,0.14,0.4526553120395038
209,0.12,0.45266053862007233
210,0.12,0.45266576520064083
211,0.12,0.45267099178120934
212,0.12,0.45267621836177785
213,0.12,0.45268144494234636
214,0.1,0.4526866715229149
215,0.1,0.4526918981034834
216,0.12,0.45269712468405193
217,0.12,0.45270235126462044
218,0.12,0.45270757784518895
219,0.14,0.45271280442575745
220,0.14,0.452718031006326
221,0.16,0.4527232575868945
222,0.2,0.45272848416746303
223,0.2,0.45273371074803154
224,0.2,0.45273893732860004
225,0.2,0.45274416390916855
226,0.2,0.4527493904897371
227,0.2,0.4527546170703056
228,0.2,0.4527598436508741
229,0.16,0.45276507023144263
230,0.16,0.45277029681201114
231,0.14,0.45277552339257965
232,0.14,0.4527807499731482
233,0.14,0.4527859765537167
234,0.14,0.4527912031342852
235,0.14,0.45279642971485373
236,0.16,0.45280165629542224
237,0.16,0.45280688287599075
238,0.16,0.4528121094565593
239,0.16,0.4528173360371278
240,0.18,0.4528225626176963
241,0.18,0.45282778919826483
242,0.2,0.45283301577883334
243,0.2,0.45283824235940184
244,0.2,0.4528434689399704
245,0.2,0.4528486955205389
246,0.2,0.4528539221011074
247,0.16,0.4528591486816759
248,0.16,0.45286437526224443
249,0.16,0.45286960184281294
250,0.16,0.4528748284233815
251,0.16,0.45288005500395
252,0.16,0.4528852815845185
253,0.16,0.452890508165087
254,0.16,0.45289573474565553
255,0.16,0.45290096132622404
256,0.16,0.4529061879067926
257,0.16,0.4529114144873611
258,0.14,0.4529166410679296
259,0.14,0.4529218676484981
260,0.12,0.45292709422906663
261,0.14,0.45293232080963514
262,0.16,0.4529375473902037
263,0.16,0.4529427739707722
264,0.18,0.4529480005513407
265,0.2,0.4529532271319092
266,0.2,0.4529584537124777
267,0.22,0.45296368029304623
268,0.2,0.4529689068736148
269,0.2,0.4529741334541833
270,0.22,0.4529793600347518
271,0.2,0.4529845866153203
272,0.2,0.4529898131958888
273,0.18,0.45299503977645733
274,0.16,0.4530002663570259
275,0.16,0.4530054929375944
276,0.16,0.4530107195181629
277,0.14,0.4530159460987314
278,0.14,0.4530211726792999
279,0.14,0.45302639925986843
280,0.14,0.453031625840437
281,0.14,0.4530368524210055
