temp,casual,Predicted Y
0.24,3,5.432154682377313
0.22,8,3.0784135265127297
0.22,5,3.0784135265127297
0.24,3,5.432154682377313
0.24,0,5.432154682377313
0.24,0,5.432154682377313
0.22,2,3.0784135265127297
0.2,1,0.7246723706481504
0.24,1,5.432154682377313
0.32,8,14.84711930583564
0.38,12,21.90834277342939
0.36,26,19.554601617564806
0.42,29,26.615825085158555
0.46,47,31.32330739688772
0.46,35,31.32330739688772
0.44,40,28.969566241023138
0.42,41,26.615825085158555
0.44,15,28.969566241023138
0.42,9,26.615825085158555
0.42,6,26.615825085158555
0.4,11,24.26208392929398
0.4,3,24.26208392929398
0.4,11,24.26208392929398
0.46,15,31.32330739688772
0.46,4,31.32330739688772
0.44,1,28.969566241023138
0.42,1,26.615825085158555
0.46,2,31.32330739688772
0.46,2,31.32330739688772
0.42,0,26.615825085158555
0.4,0,24.26208392929398
0.4,0,24.26208392929398
0.38,1,21.90834277342939
0.36,7,19.554601617564806
0.36,16,19.554601617564806
0.36,20,19.554601617564806
0.36,11,19.554601617564806
0.36,4,19.554601617564806
0.34,19,17.20086046170023
0.34,9,17.20086046170023
0.34,7,17.20086046170023
0.36,10,19.554601617564806
0.32,1,14.84711930583564
0.3,5,12.493378149971058
0.26,11,7.7858958382418955
0.24,0,5.432154682377313
0.22,0,3.0784135265127297
0.22,0,3.0784135265127297
0.2,0,0.7246723706481504
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.14,0,-6.336551096945598
0.14,1,-6.336551096945598
0.14,1,-6.336551096945598
0.16,7,-3.982809941081019
0.18,11,-1.629068785216436
0.2,10,0.7246723706481504
0.22,13,3.0784135265127297
0.24,8,5.432154682377313
0.26,11,7.7858958382418955
0.26,14,7.7858958382418955
0.26,9,7.7858958382418955
0.24,11,5.432154682377313
0.24,9,5.432154682377313
0.2,8,0.7246723706481504
0.2,3,0.7246723706481504
0.18,3,-1.629068785216436
0.14,0,-6.336551096945598
0.18,1,-1.629068785216436
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.12,0,-8.690292252810183
0.12,0,-8.690292252810183
0.12,2,-8.690292252810183
0.14,2,-6.336551096945598
0.16,2,-3.982809941081019
0.16,5,-3.982809941081019
0.22,7,3.0784135265127297
0.22,12,3.0784135265127297
0.24,18,5.432154682377313
0.26,9,7.7858958382418955
0.28,17,10.139636994106482
0.3,15,12.493378149971058
0.28,10,10.139636994106482
0.26,3,7.7858958382418955
0.24,2,5.432154682377313
0.24,1,5.432154682377313
0.22,0,3.0784135265127297
0.22,1,3.0784135265127297
0.2,2,0.7246723706481504
0.2,0,0.7246723706481504
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.24,0,5.432154682377313
0.22,0,3.0784135265127297
0.2,0,0.7246723706481504
0.18,1,-1.629068785216436
0.2,3,0.7246723706481504
0.22,6,3.0784135265127297
0.22,4,3.0784135265127297
0.26,12,7.7858958382418955
0.26,5,7.7858958382418955
0.28,6,10.139636994106482
0.3,10,12.493378149971058
0.3,7,12.493378149971058
0.3,4,12.493378149971058
0.24,4,5.432154682377313
0.24,3,5.432154682377313
0.24,5,5.432154682377313
0.22,7,3.0784135265127297
0.2,3,0.7246723706481504
0.18,1,-1.629068785216436
0.2,1,0.7246723706481504
0.18,0,-1.629068785216436
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.16,0,-3.982809941081019
0.16,3,-3.982809941081019
0.18,6,-1.629068785216436
0.2,3,0.7246723706481504
0.22,2,3.0784135265127297
0.26,6,7.7858958382418955
0.26,12,7.7858958382418955
0.28,11,10.139636994106482
0.28,8,10.139636994106482
0.26,12,7.7858958382418955
0.22,9,3.0784135265127297
0.22,5,3.0784135265127297
0.22,3,3.0784135265127297
0.2,3,0.7246723706481504
0.22,0,3.0784135265127297
0.22,1,3.0784135265127297
0.2,4,0.7246723706481504
0.2,4,0.7246723706481504
0.2,2,0.7246723706481504
0.2,0,0.7246723706481504
0.2,0,0.7246723706481504
0.22,0,3.0784135265127297
0.2,8,0.7246723706481504
0.2,8,0.7246723706481504
0.2,20,0.7246723706481504
0.2,9,0.7246723706481504
0.22,16,3.0784135265127297
0.2,19,0.7246723706481504
0.2,9,0.7246723706481504
0.2,9,0.7246723706481504
0.2,7,0.7246723706481504
0.2,9,0.7246723706481504
0.2,5,0.7246723706481504
0.2,9,0.7246723706481504
0.2,7,0.7246723706481504
0.16,3,-3.982809941081019
0.18,1,-1.629068785216436
0.18,0,-1.629068785216436
0.18,2,-1.629068785216436
0.18,1,-1.629068785216436
0.18,1,-1.629068785216436
0.18,1,-1.629068785216436
0.18,3,-1.629068785216436
0.18,0,-1.629068785216436
0.18,0,-1.629068785216436
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,1,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.18,5,-1.629068785216436
0.2,2,0.7246723706481504
0.2,8,0.7246723706481504
0.2,7,0.7246723706481504
0.2,12,0.7246723706481504
0.2,5,0.7246723706481504
0.18,8,-1.629068785216436
0.16,5,-3.982809941081019
0.14,3,-6.336551096945598
0.14,4,-6.336551096945598
0.12,0,-8.690292252810183
0.12,2,-8.690292252810183
0.12,1,-8.690292252810183
0.1,0,-11.044033408674764
0.1,1,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.08,0,-13.397774564539349
0.08,0,-13.397774564539349
0.1,0,-11.044033408674764
0.08,1,-13.397774564539349
0.1,0,-11.044033408674764
0.12,0,-8.690292252810183
0.14,0,-6.336551096945598
0.16,2,-3.982809941081019
0.18,4,-1.629068785216436
0.2,6,0.7246723706481504
0.22,8,3.0784135265127297
0.22,5,3.0784135265127297
0.2,13,0.7246723706481504
0.18,3,-1.629068785216436
0.16,4,-3.982809941081019
0.16,1,-3.982809941081019
0.14,0,-6.336551096945598
0.14,1,-6.336551096945598
0.14,5,-6.336551096945598
0.12,0,-8.690292252810183
0.12,2,-8.690292252810183
0.12,1,-8.690292252810183
0.12,0,-8.690292252810183
0.12,0,-8.690292252810183
0.1,1,-11.044033408674764
0.1,0,-11.044033408674764
0.12,0,-8.690292252810183
0.12,2,-8.690292252810183
0.12,4,-8.690292252810183
0.14,2,-6.336551096945598
0.14,0,-6.336551096945598
0.16,2,-3.982809941081019
0.2,5,0.7246723706481504
0.2,4,0.7246723706481504
0.2,0,0.7246723706481504
0.2,2,0.7246723706481504
0.2,4,0.7246723706481504
0.2,4,0.7246723706481504
0.2,1,0.7246723706481504
0.16,3,-3.982809941081019
0.16,1,-3.982809941081019
0.14,1,-6.336551096945598
0.14,2,-6.336551096945598
0.14,0,-6.336551096945598
0.14,2,-6.336551096945598
0.14,0,-6.336551096945598
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,2,-3.982809941081019
0.18,3,-1.629068785216436
0.18,3,-1.629068785216436
0.2,3,0.7246723706481504
0.2,4,0.7246723706481504
0.2,2,0.7246723706481504
0.2,6,0.7246723706481504
0.2,3,0.7246723706481504
0.16,2,-3.982809941081019
0.16,4,-3.982809941081019
0.16,6,-3.982809941081019
0.16,1,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.16,1,-3.982809941081019
0.16,1,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.12,0,-8.690292252810183
0.14,0,-6.336551096945598
0.16,3,-3.982809941081019
0.16,3,-3.982809941081019
0.18,0,-1.629068785216436
0.2,3,0.7246723706481504
0.2,3,0.7246723706481504
0.22,0,3.0784135265127297
0.2,0,0.7246723706481504
0.2,1,0.7246723706481504
0.22,5,3.0784135265127297
0.2,0,0.7246723706481504
0.2,2,0.7246723706481504
0.18,1,-1.629068785216436
0.16,2,-3.982809941081019
0.16,0,-3.982809941081019
0.16,1,-3.982809941081019
0.14,1,-6.336551096945598
0.14,1,-6.336551096945598
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.12,0,-8.690292252810183
0.12,0,-8.690292252810183
0.14,5,-6.336551096945598
0.14,2,-6.336551096945598
0.16,2,-3.982809941081019
0.2,4,0.7246723706481504
0.2,3,0.7246723706481504
0.22,2,3.0784135265127297
0.22,3,3.0784135265127297
0.24,5,5.432154682377313
0.24,2,5.432154682377313
0.2,4,0.7246723706481504
0.2,3,0.7246723706481504
0.16,1,-3.982809941081019
0.16,0,-3.982809941081019
0.14,0,-6.336551096945598
0.14,0,-6.336551096945598
0.12,1,-8.690292252810183
0.12,0,-8.690292252810183
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.1,0,-11.044033408674764
0.12,2,-8.690292252810183
0.14,0,-6.336551096945598
0.18,4,-1.629068785216436
0.18,6,-1.629068785216436
0.2,2,0.7246723706481504
0.22,4,3.0784135265127297
0.22,5,3.0784135265127297
0.24,9,5.432154682377313
0.22,3,3.0784135265127297
0.22,4,3.0784135265127297
0.2,5,0.7246723706481504
0.16,3,-3.982809941081019
0.18,0,-1.629068785216436
0.16,4,-3.982809941081019
0.16,2,-3.982809941081019
0.18,1,-1.629068785216436
0.18,3,-1.629068785216436
0.16,2,-3.982809941081019
0.16,0,-3.982809941081019
0.16,1,-3.982809941081019
0.16,0,-3.982809941081019
0.16,0,-3.982809941081019
0.14,1,-6.336551096945598
0.14,1,-6.336551096945598
0.14,1,-6.336551096945598
0.16,2,-3.982809941081019
0.18,2,-1.629068785216436
0.2,18,0.7246723706481504
0.24,15,5.432154682377313
0.28,21,10.139636994106482
0.3,26,12.493378149971058
0.32,21,14.84711930583564
0.34,33,17.20086046170023
0.32,29,14.84711930583564
0.3,15,12.493378149971058
0.32,14,14.84711930583564
0.32,6,14.84711930583564
0.32,6,14.84711930583564
0.3,0,12.493378149971058
0.3,5,12.493378149971058
0.26,6,7.7858958382418955
0.26,4,7.7858958382418955
0.26,3,7.7858958382418955
0.22,9,3.0784135265127297
0.26,0,7.7858958382418955
0.26,1,7.7858958382418955
0.26,0,7.7858958382418955
0.24,0,5.432154682377313
0.22,0,3.0784135265127297
0.22,3,3.0784135265127297
0.22,8,3.0784135265127297
0.24,23,5.432154682377313
0.24,29,5.432154682377313
0.26,23,7.7858958382418955
0.28,22,10.139636994106482
0.26,35,7.7858958382418955
0.24,22,5.432154682377313
0.22,23,3.0784135265127297
0.2,11,0.7246723706481504
0.18,14,-1.629068785216436
0.18,7,-1.629068785216436
0.18,6,-1.629068785216436
0.2,2,0.7246723706481504
0.2,0,0.7246723706481504
0.2,1,0.7246723706481504
0.2,1,0.7246723706481504
0.18,0,-1.629068785216436
0.18,0,-1.629068785216436
0.18,1,-1.629068785216436
0.18,0,-1.629068785216436
0.18,0,-1.629068785216436
0.16,4,-3.982809941081019
0.16,3,-3.982809941081019
0.16,8,-3.982809941081019
