windspeed,mnth,Predicted Y
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.2537,1,6.295737887250663
0.2836,1,6.181954057935338
0.2836,1,6.181954057935338
0.2985,1,6.125252417239741
0.2836,1,6.181954057935338
0.2985,1,6.125252417239741
0.2985,1,6.125252417239741
0.2836,1,6.181954057935338
0.2537,1,6.295737887250663
0.2537,1,6.295737887250663
0.2537,1,6.295737887250663
0.194,1,6.5229249979571815
0.2239,1,6.409141168641856
0.2985,1,6.125252417239741
0.2985,1,6.125252417239741
0.2537,1,6.295737887250663
0.2836,1,6.181954057935338
0.194,1,6.5229249979571815
0.194,1,6.5229249979571815
0.2985,1,6.125252417239741
0.194,1,6.5229249979571815
0.2239,1,6.409141168641856
0.2239,1,6.409141168641856
0.2239,1,6.409141168641856
0.2537,1,6.295737887250663
0.2985,1,6.125252417239741
0.1343,1,6.7501121086637
0.194,1,6.5229249979571815
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.194,1,6.5229249979571815
0.3284,1,6.011468587924416
0.4478,1,5.557094366511379
0.3582,1,5.898065306533223
0.3284,1,6.011468587924416
0.2985,1,6.125252417239741
0.1642,1,6.636328279348374
0.3582,1,5.898065306533223
0.4179,1,5.670878195826703
0.3881,1,5.784281477217897
0.2836,1,6.181954057935338
0.3881,1,5.784281477217897
0.194,1,6.5229249979571815
0.2836,1,6.181954057935338
0.3881,1,5.784281477217897
0.2537,1,6.295737887250663
0.3284,1,6.011468587924416
0.2985,1,6.125252417239741
0.2836,1,6.181954057935338
0.2836,1,6.181954057935338
0.2537,1,6.295737887250663
0.2537,1,6.295737887250663
0.2239,1,6.409141168641856
0.1045,1,6.863515390054894
0.0,1,7.261187970772334
0.1045,1,6.863515390054894
0.1343,1,6.7501121086637
0.1343,1,6.7501121086637
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.1343,1,6.7501121086637
0.0896,1,6.92021703075049
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.1343,1,6.7501121086637
0.1642,1,6.636328279348374
0.2239,1,6.409141168641856
0.3284,1,6.011468587924416
0.2985,1,6.125252417239741
0.1642,1,6.636328279348374
0.194,1,6.5229249979571815
0.2239,1,6.409141168641856
0.2537,1,6.295737887250663
0.2537,1,6.295737887250663
0.2239,1,6.409141168641856
0.194,1,6.5229249979571815
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0896,1,6.92021703075049
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0896,1,6.92021703075049
0.2239,1,6.409141168641856
0.1642,1,6.636328279348374
0.2239,1,6.409141168641856
0.194,1,6.5229249979571815
0.2985,1,6.125252417239741
0.3284,1,6.011468587924416
0.3284,1,6.011468587924416
0.3284,1,6.011468587924416
0.3284,1,6.011468587924416
0.2985,1,6.125252417239741
0.194,1,6.5229249979571815
0.194,1,6.5229249979571815
0.0896,1,6.92021703075049
0.194,1,6.5229249979571815
0.1343,1,6.7501121086637
0.1045,1,6.863515390054894
0.1642,1,6.636328279348374
0.194,1,6.5229249979571815
0.1343,1,6.7501121086637
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0896,1,6.92021703075049
0.1045,1,6.863515390054894
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0,1,7.261187970772334
0.1045,1,6.863515390054894
0.1642,1,6.636328279348374
0.0,1,7.261187970772334
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.1343,1,6.7501121086637
0.0896,1,6.92021703075049
0.1642,1,6.636328279348374
0.2239,1,6.409141168641856
0.2836,1,6.181954057935338
0.194,1,6.5229249979571815
0.194,1,6.5229249979571815
0.2239,1,6.409141168641856
0.2239,1,6.409141168641856
0.1343,1,6.7501121086637
0.0,1,7.261187970772334
0.0,1,7.261187970772334
0.1343,1,6.7501121086637
0.2537,1,6.295737887250663
0.2985,1,6.125252417239741
0.3284,1,6.011468587924416
0.2239,1,6.409141168641856
0.2537,1,6.295737887250663
0.2836,1,6.181954057935338
0.2537,1,6.295737887250663
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.0,1,7.261187970772334
0.0896,1,6.92021703075049
0.0896,1,6.92021703075049
0.1045,1,6.863515390054894
0.1343,1,6.7501121086637
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.0896,1,6.92021703075049
0.0,1,7.261187970772334
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.1642,1,6.636328279348374
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.1045,1,6.863515390054894
0.1642,1,6.636328279348374
0.3881,1,5.784281477217897
0.3582,1,5.898065306533223
0.3284,1,6.011468587924416
0.4925,1,5.386989444424588
0.4478,1,5.557094366511379
0.4478,1,5.557094366511379
0.5522,1,5.159802333718069
0.2985,1,6.125252417239741
0.2537,1,6.295737887250663
0.2537,1,6.295737887250663
0.3582,1,5.898065306533223
0.3881,1,5.784281477217897
0.4478,1,5.557094366511379
0.3881,1,5.784281477217897
0.4627,1,5.500392725815781
0.4627,1,5.500392725815781
0.4179,1,5.670878195826703
0.194,1,6.5229249979571815
0.194,1,6.5229249979571815
