instant,mnth,Predicted Y
1,1,3.6245014898673724
2,1,3.62483677286729
3,1,3.625172055867207
4,1,3.6255073388671244
5,1,3.625842621867042
6,1,3.6261779048669593
7,1,3.6265131878668764
8,1,3.626848470866794
9,1,3.6271837538667113
10,1,3.627519036866629
11,1,3.627854319866546
12,1,3.6281896028664633
13,1,3.628524885866381
14,1,3.6288601688662983
15,1,3.6291954518662153
16,1,3.6295307348661328
17,1,3.6298660178660502
18,1,3.6302013008659677
19,1,3.6305365838658847
20,1,3.630871866865802
21,1,3.6312071498657197
22,1,3.631542432865637
23,1,3.631877715865554
24,1,3.6322129988654717
25,1,3.632548281865389
26,1,3.6328835648653066
27,1,3.6332188478652236
28,1,3.633554130865141
29,1,3.6338894138650586
30,1,3.634224696864976
31,1,3.6345599798648935
32,1,3.6348952628648106
33,1,3.635230545864728
34,1,3.6355658288646455
35,1,3.635901111864563
36,1,3.63623639486448
37,1,3.6365716778643975
38,1,3.636906960864315
39,1,3.6372422438642324
40,1,3.6375775268641495
41,1,3.637912809864067
42,1,3.6382480928639844
43,1,3.638583375863902
44,1,3.638918658863819
45,1,3.6392539418637364
46,1,3.639589224863654
47,1,3.6399245078635714
48,1,3.6402597908634884
49,1,3.640595073863406
50,1,3.6409303568633233
51,1,3.641265639863241
52,1,3.641600922863158
53,1,3.6419362058630753
54,1,3.642271488862993
55,1,3.6426067718629103
56,1,3.6429420548628273
57,1,3.6432773378627448
58,1,3.6436126208626622
59,1,3.6439479038625797
60,1,3.644283186862497
61,1,3.6446184698624142
62,1,3.6449537528623317
63,1,3.645289035862249
64,1,3.6456243188621666
65,1,3.6459596018620837
66,1,3.646294884862001
67,1,3.6466301678619186
68,1,3.646965450861836
69,1,3.647300733861753
70,1,3.6476360168616706
71,1,3.647971299861588
72,1,3.6483065828615056
73,1,3.6486418658614226
74,1,3.64897714886134
75,1,3.6493124318612575
76,1,3.649647714861175
77,1,3.649982997861092
78,1,3.6503182808610095
79,1,3.650653563860927
80,1,3.6509888468608445
81,1,3.6513241298607615
82,1,3.651659412860679
83,1,3.6519946958605964
84,1,3.652329978860514
85,1,3.652665261860431
86,1,3.6530005448603484
87,1,3.653335827860266
88,1,3.6536711108601834
89,1,3.654006393860101
90,1,3.654341676860018
91,1,3.6546769598599353
92,1,3.655012242859853
93,1,3.6553475258597703
94,1,3.6556828088596873
95,1,3.656018091859605
96,1,3.6563533748595223
97,1,3.6566886578594398
98,1,3.657023940859357
99,1,3.6573592238592743
100,1,3.6576945068591917
101,1,3.658029789859109
102,1,3.6583650728590262
103,1,3.6587003558589437
104,1,3.659035638858861
105,1,3.6593709218587787
106,1,3.6597062048586957
107,1,3.660041487858613
108,1,3.6603767708585306
109,1,3.660712053858448
110,1,3.661047336858365
111,1,3.6613826198582826
112,1,3.6617179028582
113,1,3.6620531858581176
114,1,3.6623884688580346
115,1,3.662723751857952
116,1,3.6630590348578695
117,1,3.663394317857787
118,1,3.663729600857704
