mnth,hr,Predicted Y
1,0,11.611021453328302
1,1,11.611021453328302
1,2,11.611021453328302
1,3,11.611021453328302
1,4,11.611021453328302
1,5,11.611021453328302
1,6,11.611021453328302
1,7,11.611021453328302
1,8,11.611021453328302
1,9,11.611021453328302
1,10,11.611021453328302
1,11,11.611021453328302
1,12,11.611021453328302
1,13,11.611021453328302
1,14,11.611021453328302
1,15,11.611021453328302
1,16,11.611021453328302
1,17,11.611021453328302
1,18,11.611021453328302
1,19,11.611021453328302
1,20,11.611021453328302
1,21,11.611021453328302
1,22,11.611021453328302
1,23,11.611021453328302
1,0,11.611021453328302
1,1,11.611021453328302
1,2,11.611021453328302
1,3,11.611021453328302
1,4,11.611021453328302
1,6,11.611021453328302
1,7,11.611021453328302
1,8,11.611021453328302
1,9,11.611021453328302
1,10,11.611021453328302
1,11,11.611021453328302
1,12,11.611021453328302
1,13,11.611021453328302
1,14,11.611021453328302
1,15,11.611021453328302
1,16,11.611021453328302
1,17,11.611021453328302
1,18,11.611021453328302
1,19,11.611021453328302
1,20,11.611021453328302
1,21,11.611021453328302
1,22,11.611021453328302
1,23,11.611021453328302
1,0,11.611021453328302
1,1,11.611021453328302
1,4,11.611021453328302
1,5,11.611021453328302
1,6,11.611021453328302
1,7,11.611021453328302
1,8,11.611021453328302
1,9,11.611021453328302
1,10,11.611021453328302
1,11,11.611021453328302
1,12,11.611021453328302
1,13,11.611021453328302
1,14,11.611021453328302
1,15,11.611021453328302
1,16,11.611021453328302
1,17,11.611021453328302
1,18,11.611021453328302
1,19,11.611021453328302
1,20,11.611021453328302
1,21,11.611021453328302
1,22,11.611021453328302
1,23,11.611021453328302
1,0,11.611021453328302
1,1,11.611021453328302
1,2,11.611021453328302
1,4,11.611021453328302
1,5,11.611021453328302
1,6,11.611021453328302
1,7,11.611021453328302
1,8,11.611021453328302
1,9,11.611021453328302
1,10,11.611021453328302
1,11,11.611021453328302
1,12,11.611021453328302
1,13,11.611021453328302
1,14,11.611021453328302
1,15,11.611021453328302
1,16,11.611021453328302
1,17,11.611021453328302
1,18,11.611021453328302
1,19,11.611021453328302
1,20,11.611021453328302
1,21,11.611021453328302
1,22,11.611021453328302
1,23,11.611021453328302
1,0,11.611021453328302
1,1,11.611021453328302
1,2,11.611021453328302
1,4,11.611021453328302
1,5,11.611021453328302
1,6,11.611021453328302
1,7,11.611021453328302
1,8,11.611021453328302
1,9,11.611021453328302
1,10,11.611021453328302
