cnt,yr,Predicted Y
16,0,0.38278308181428694
40,0,0.3993552503026638
32,0,0.3938311941398715
13,0,0.38071156075323986
1,0,0.37242547650905145
1,0,0.37242547650905145
2,0,0.37311598352940045
3,0,0.3738064905497495
8,0,0.37725902565149466
14,0,0.38140206777358887
36,0,0.39659322222126764
56,0,0.41040336262824834
84,0,0.42973755919802137
94,0,0.43664262940151166
106,0,0.4449287136457001
110,0,0.4476907417270963
93,0,0.43595212238116265
67,0,0.41799893985208775
35,0,0.39590271520091863
37,0,0.3972837292416167
36,0,0.39659322222126764
34,0,0.39521220818056957
28,0,0.39106916605847536
39,0,0.39866474328231477
17,0,0.383473588834636
17,0,0.383473588834636
9,0,0.3779495326718437
6,0,0.3758780116107966
3,0,0.3738064905497495
2,0,0.37311598352940045
1,0,0.37242547650905145
8,0,0.37725902565149466
20,0,0.3855451098956831
53,0,0.40833184156720126
70,0,0.4200704609131348
93,0,0.43595212238116265
75,0,0.42352299601488
59,0,0.41247488368929547
74,0,0.42283248899453096
76,0,0.4242135030352291
65,0,0.4166179258113897
53,0,0.40833184156720126
30,0,0.39245018009917343
22,0,0.38692612393638115
31,0,0.3931406871195225
9,0,0.3779495326718437
8,0,0.37725902565149466
5,0,0.3751875045904476
2,0,0.37311598352940045
1,0,0.37242547650905145
3,0,0.3738064905497495
30,0,0.39245018009917343
64,0,0.4159274187910406
154,0,0.4780730506224538
88,0,0.4324995872794175
44,0,0.4021172783840599
51,0,0.4069508275265032
61,0,0.41385589772999354
61,0,0.41385589772999354
77,0,0.4249040100555781
72,0,0.4214514749538329
76,0,0.4242135030352291
157,0,0.4801445716835009
157,0,0.4801445716835009
110,0,0.4476907417270963
52,0,0.4076413345468522
52,0,0.4076413345468522
20,0,0.3855451098956831
12,0,0.3800210537328908
5,0,0.3751875045904476
2,0,0.37311598352940045
1,0,0.37242547650905145
2,0,0.37311598352940045
4,0,0.3744969975700985
36,0,0.39659322222126764
94,0,0.43664262940151166
179,0,0.4953357261311797
100,0,0.4407856715236059
42,0,0.40073626434336185
57,0,0.4110938696485974
78,0,0.4255945170759271
97,0,0.4387141504625588
63,0,0.4152369117706916
65,0,0.4166179258113897
83,0,0.4290470521776723
212,0,0.5181224578026978
182,0,0.4974072471922268
112,0,0.44907175576779435
54,0,0.40902234858755027
48,0,0.40487930646545606
35,0,0.39590271520091863
11,0,0.3793305467125418
6,0,0.3758780116107966
6,0,0.3758780116107966
2,0,0.37311598352940045
2,0,0.37311598352940045
3,0,0.3738064905497495
33,0,0.39452170116022056
88,0,0.4324995872794175
195,0,0.5063838384567643
115,0,0.4511432768288414
57,0,0.4110938696485974
46,0,0.403498292424758
79,0,0.42628502409627617
71,0,0.4207609679334839
62,0,0.41454640475034255
62,0,0.41454640475034255
89,0,0.4331900942997665
190,0,0.5029313033550191
169,0,0.4884306559276893
132,0,0.46288189617477504
89,0,0.4331900942997665
43,0,0.4014267713637109
42,0,0.40073626434336185
19,0,0.3848546028753341
11,0,0.3793305467125418
4,0,0.3744969975700985
2,0,0.37311598352940045
1,0,0.37242547650905145
4,0,0.3744969975700985
36,0,0.39659322222126764
95,0,0.4373331364218607
219,0,0.5229560069451411
122,0,0.4559768259712847
45,0,0.402807785404409
59,0,0.41247488368929547
84,0,0.42973755919802137
67,0,0.41799893985208775
70,0,0.4200704609131348
62,0,0.41454640475034255
86,0,0.4311185732387194
172,0,0.49050217698873644
163,0,0.48428761380559515
112,0,0.44907175576779435
69,0,0.4193799538927858
48,0,0.40487930646545606
52,0,0.4076413345468522
23,0,0.3876166309567302
