weathersit,temp,Predicted Y
1,0.24,0.5101336270072936
1,0.22,0.5101336270072936
1,0.22,0.5101336270072936
1,0.24,0.5101336270072936
1,0.24,0.5101336270072936
2,0.24,0.479221395406732
1,0.22,0.5101336270072936
1,0.2,0.5101336270072936
1,0.24,0.5101336270072936
1,0.32,0.5101336270072936
1,0.38,0.5101336270072936
1,0.36,0.5101336270072936
1,0.42,0.5101336270072936
2,0.46,0.479221395406732
2,0.46,0.479221395406732
2,0.44,0.479221395406732
2,0.42,0.479221395406732
2,0.44,0.479221395406732
3,0.42,0.4483091638061703
3,0.42,0.4483091638061703
2,0.4,0.479221395406732
2,0.4,0.479221395406732
2,0.4,0.479221395406732
2,0.46,0.479221395406732
2,0.46,0.479221395406732
2,0.44,0.479221395406732
2,0.42,0.479221395406732
2,0.46,0.479221395406732
2,0.46,0.479221395406732
3,0.42,0.4483091638061703
2,0.4,0.479221395406732
3,0.4,0.4483091638061703
2,0.38,0.479221395406732
2,0.36,0.479221395406732
2,0.36,0.479221395406732
2,0.36,0.479221395406732
2,0.36,0.479221395406732
3,0.36,0.4483091638061703
3,0.34,0.4483091638061703
3,0.34,0.4483091638061703
1,0.34,0.5101336270072936
2,0.36,0.479221395406732
1,0.32,0.5101336270072936
1,0.3,0.5101336270072936
1,0.26,0.5101336270072936
1,0.24,0.5101336270072936
1,0.22,0.5101336270072936
1,0.22,0.5101336270072936
1,0.2,0.5101336270072936
1,0.16,0.5101336270072936
1,0.16,0.5101336270072936
1,0.14,0.5101336270072936
1,0.14,0.5101336270072936
1,0.14,0.5101336270072936
1,0.16,0.5101336270072936
1,0.18,0.5101336270072936
1,0.2,0.5101336270072936
1,0.22,0.5101336270072936
1,0.24,0.5101336270072936
1,0.26,0.5101336270072936
1,0.26,0.5101336270072936
1,0.26,0.5101336270072936
1,0.24,0.5101336270072936
1,0.24,0.5101336270072936
1,0.2,0.5101336270072936
1,0.2,0.5101336270072936
1,0.18,0.5101336270072936
1,0.14,0.5101336270072936
1,0.18,0.5101336270072936
1,0.16,0.5101336270072936
1,0.16,0.5101336270072936
1,0.14,0.5101336270072936
1,0.14,0.5101336270072936
1,0.12,0.5101336270072936
1,0.12,0.5101336270072936
1,0.12,0.5101336270072936
1,0.14,0.5101336270072936
1,0.16,0.5101336270072936
2,0.16,0.479221395406732
1,0.22,0.5101336270072936
1,0.22,0.5101336270072936
1,0.24,0.5101336270072936
1,0.26,0.5101336270072936
1,0.28,0.5101336270072936
1,0.3,0.5101336270072936
1,0.28,0.5101336270072936
1,0.26,0.5101336270072936
1,0.24,0.5101336270072936
1,0.24,0.5101336270072936
1,0.22,0.5101336270072936
1,0.22,0.5101336270072936
1,0.2,0.5101336270072936
1,0.2,0.5101336270072936
1,0.16,0.5101336270072936
1,0.16,0.5101336270072936
1,0.24,0.5101336270072936
1,0.22,0.5101336270072936
1,0.2,0.5101336270072936
1,0.18,0.5101336270072936
1,0.2,0.5101336270072936
1,0.22,0.5101336270072936
1,0.22,0.5101336270072936
1,0.26,0.5101336270072936
1,0.26,0.5101336270072936
1,0.28,0.5101336270072936
1,0.3,0.5101336270072936
1,0.3,0.5101336270072936
