hum,workingday,Predicted Y
0.81,0,0.6896375175725524
0.8,0,0.6892590665752114
0.8,0,0.6892590665752114
0.75,0,0.6873668115885065
0.75,0,0.6873668115885065
0.75,0,0.6873668115885065
0.8,0,0.6892590665752114
0.86,0,0.6915297725592573
0.75,0,0.6873668115885065
0.76,0,0.6877452625858476
0.76,0,0.6877452625858476
0.81,0,0.6896375175725524
0.77,0,0.6881237135831886
0.72,0,0.6862314585964837
0.72,0,0.6862314585964837
0.77,0,0.6881237135831886
0.82,0,0.6900159685698933
0.82,0,0.6900159685698933
0.88,0,0.6922866745539392
0.88,0,0.6922866745539392
0.87,0,0.6919082235565982
0.87,0,0.6919082235565982
0.94,0,0.694557380537985
0.88,0,0.6922866745539392
0.88,0,0.6922866745539392
0.94,0,0.694557380537985
1.0,0,0.6968280865220308
0.94,0,0.694557380537985
0.94,0,0.694557380537985
0.77,0,0.6881237135831886
0.76,0,0.6877452625858476
0.71,0,0.6858530075991427
0.76,0,0.6877452625858476
0.81,0,0.6896375175725524
0.71,0,0.6858530075991427
0.66,0,0.6839607526124378
0.66,0,0.6839607526124378
0.76,0,0.6877452625858476
0.81,0,0.6896375175725524
0.71,0,0.6858530075991427
0.57,0,0.6805546936363691
0.46,0,0.6763917326656185
0.42,0,0.6748779286762546
0.39,0,0.6737425756842318
0.44,0,0.6756348306709365
0.44,0,0.6756348306709365
0.47,0,0.6767701836629595
0.44,1,0.6756348306709365
0.44,1,0.6756348306709365
0.47,1,0.6767701836629595
0.47,1,0.6767701836629595
0.5,1,0.6779055366549824
0.5,1,0.6779055366549824
0.5,1,0.6779055366549824
0.43,1,0.6752563796735956
0.43,1,0.6752563796735956
0.4,1,0.6741210266815727
0.35,1,0.6722287716948678
0.35,1,0.6722287716948678
0.3,1,0.6703365167081631
0.3,1,0.6703365167081631
0.3,1,0.6703365167081631
0.3,1,0.6703365167081631
0.32,1,0.671093418702845
0.47,1,0.6767701836629595
0.47,1,0.6767701836629595
0.64,1,0.6832038506177559
0.69,1,0.6850961056044608
0.55,1,0.6797977916416872
0.55,1,0.6797977916416872
0.59,1,0.6813115956310511
0.63,1,0.682825399620415
0.63,1,0.682825399620415
0.68,1,0.6847176546071199
0.74,1,0.6869883605911656
0.74,1,0.6869883605911656
0.69,1,0.6850961056044608
0.64,1,0.6832038506177559
0.69,1,0.6850961056044608
0.51,1,0.6782839876523233
0.51,1,0.6782839876523233
0.56,1,0.6801762426390282
0.52,1,0.6786624386496644
0.52,1,0.6786624386496644
0.49,1,0.6775270856576414
0.48,1,0.6771486346603004
0.48,1,0.6771486346603004
0.48,1,0.6771486346603004
0.48,1,0.6771486346603004
0.64,1,0.6832038506177559
0.64,1,0.6832038506177559
0.69,1,0.6850961056044608
0.64,1,0.6832038506177559
0.74,1,0.6869883605911656
0.74,1,0.6869883605911656
0.48,1,0.6771486346603004
0.47,1,0.6767701836629595
0.47,1,0.6767701836629595
0.43,1,0.6752563796735956
0.4,1,0.6741210266815727
0.37,1,0.6729856736895498
0.37,1,0.6729856736895498
0.33,1,0.6714718697001859
0.33,1,0.6714718697001859
0.3,1,0.6703365167081631
0.28,1,0.669579614713481
0.28,1,0.669579614713481
0.28,1,0.669579614713481
0.38,1,0.6733641246868908
0.38,1,0.6733641246868908
0.38,1,0.6733641246868908
0.47,1,0.6767701836629595
0.51,1,0.6782839876523233
0.55,1,0.6797977916416872
0.47,1,0.6767701836629595
0.55,1,0.6797977916416872
0.64,1,0.6832038506177559
0.64,1,0.6832038506177559
