temp,instant,Predicted Y
0.24,1,7778.18288514843
0.22,2,7707.220811792651
0.22,3,7707.220811792651
0.24,4,7778.18288514843
0.24,5,7778.18288514843
0.24,6,7778.18288514843
0.22,7,7707.220811792651
0.2,8,7636.2587384368735
0.24,9,7778.18288514843
0.32,10,8062.031178571541
0.38,11,8274.917398638876
0.36,12,8203.955325283097
0.42,13,8416.841545350431
0.46,14,8558.765692061988
0.46,15,8558.765692061988
0.44,16,8487.80361870621
0.42,17,8416.841545350431
0.44,18,8487.80361870621
0.42,19,8416.841545350431
0.42,20,8416.841545350431
0.4,21,8345.879471994653
0.4,22,8345.879471994653
0.4,23,8345.879471994653
0.46,24,8558.765692061988
0.46,25,8558.765692061988
0.44,26,8487.80361870621
0.42,27,8416.841545350431
0.46,28,8558.765692061988
0.46,29,8558.765692061988
0.42,30,8416.841545350431
0.4,31,8345.879471994653
0.4,32,8345.879471994653
0.38,33,8274.917398638876
0.36,34,8203.955325283097
0.36,35,8203.955325283097
0.36,36,8203.955325283097
0.36,37,8203.955325283097
0.36,38,8203.955325283097
0.34,39,8132.99325192732
0.34,40,8132.99325192732
0.34,41,8132.99325192732
0.36,42,8203.955325283097
0.32,43,8062.031178571541
0.3,44,7991.069105215764
0.26,45,7849.144958504207
0.24,46,7778.18288514843
0.22,47,7707.220811792651
0.22,48,7707.220811792651
0.2,49,7636.2587384368735
0.16,50,7494.334591725317
0.16,51,7494.334591725317
0.14,52,7423.37251836954
0.14,53,7423.37251836954
0.14,54,7423.37251836954
0.16,55,7494.334591725317
0.18,56,7565.296665081096
0.2,57,7636.2587384368735
0.22,58,7707.220811792651
0.24,59,7778.18288514843
0.26,60,7849.144958504207
0.26,61,7849.144958504207
0.26,62,7849.144958504207
0.24,63,7778.18288514843
0.24,64,7778.18288514843
0.2,65,7636.2587384368735
0.2,66,7636.2587384368735
0.18,67,7565.296665081096
0.14,68,7423.37251836954
0.18,69,7565.296665081096
0.16,70,7494.334591725317
0.16,71,7494.334591725317
0.14,72,7423.37251836954
0.14,73,7423.37251836954
0.12,74,7352.410445013761
0.12,75,7352.410445013761
0.12,76,7352.410445013761
0.14,77,7423.37251836954
0.16,78,7494.334591725317
0.16,79,7494.334591725317
0.22,80,7707.220811792651
0.22,81,7707.220811792651
0.24,82,7778.18288514843
0.26,83,7849.144958504207
0.28,84,7920.107031859986
0.3,85,7991.069105215764
0.28,86,7920.107031859986
0.26,87,7849.144958504207
0.24,88,7778.18288514843
0.24,89,7778.18288514843
0.22,90,7707.220811792651
0.22,91,7707.220811792651
0.2,92,7636.2587384368735
0.2,93,7636.2587384368735
0.16,94,7494.334591725317
0.16,95,7494.334591725317
0.24,96,7778.18288514843
0.22,97,7707.220811792651
0.2,98,7636.2587384368735
0.18,99,7565.296665081096
0.2,100,7636.2587384368735
0.22,101,7707.220811792651
0.22,102,7707.220811792651
0.26,103,7849.144958504207
0.26,104,7849.144958504207
0.28,105,7920.107031859986
0.3,106,7991.069105215764
0.3,107,7991.069105215764
0.3,108,7991.069105215764
0.24,109,7778.18288514843
0.24,110,7778.18288514843
0.24,111,7778.18288514843
0.22,112,7707.220811792651
0.2,113,7636.2587384368735
0.18,114,7565.296665081096
0.2,115,7636.2587384368735
0.18,116,7565.296665081096
0.16,117,7494.334591725317
0.16,118,7494.334591725317
0.16,119,7494.334591725317
0.14,120,7423.37251836954
0.14,121,7423.37251836954
0.16,122,7494.334591725317
0.16,123,7494.334591725317
0.18,124,7565.296665081096
0.2,125,7636.2587384368735
0.22,126,7707.220811792651
0.26,127,7849.144958504207
0.26,128,7849.144958504207
0.28,129,7920.107031859986
0.28,130,7920.107031859986
0.26,131,7849.144958504207
0.22,132,7707.220811792651
0.22,133,7707.220811792651
0.22,134,7707.220811792651
0.2,135,7636.2587384368735
