atemp,hr,Predicted Y
0.2879,0,10.535713441501045
0.2727,1,10.453915570023069
0.2727,2,10.453915570023069
0.2879,3,10.535713441501045
0.2879,4,10.535713441501045
0.2576,5,10.372655842436394
0.2727,6,10.453915570023069
0.2576,7,10.372655842436394
0.2879,8,10.535713441501045
0.3485,9,10.86182863963035
0.3939,10,11.106145966281677
0.3333,11,10.780030768152372
0.4242,12,11.269203565346329
0.4545,13,11.432261164410981
0.4545,14,11.432261164410981
0.4394,15,11.351001436824305
0.4242,16,11.269203565346329
0.4394,17,11.351001436824305
0.4242,18,11.269203565346329
0.4242,19,11.269203565346329
0.4091,20,11.187943837759654
0.4091,21,11.187943837759654
0.4091,22,11.187943837759654
0.4545,23,11.432261164410981
0.4545,0,11.432261164410981
0.4394,1,11.351001436824305
0.4242,2,11.269203565346329
0.4545,3,11.432261164410981
0.4545,4,11.432261164410981
0.4242,6,11.269203565346329
0.4091,7,11.187943837759654
0.4091,8,11.187943837759654
0.3939,9,11.106145966281677
0.3485,10,10.86182863963035
0.3333,11,10.780030768152372
0.3333,12,10.780030768152372
0.3485,13,10.86182863963035
0.3485,14,10.86182863963035
0.3333,15,10.780030768152372
0.3333,16,10.780030768152372
0.3333,17,10.780030768152372
0.3333,18,10.780030768152372
0.2879,19,10.535713441501045
0.2727,20,10.453915570023069
0.2273,21,10.209598243371742
0.2121,22,10.127800371893764
0.2273,23,10.209598243371742
0.197,0,10.04654064430709
0.1667,1,9.883483045242437
0.1364,4,9.720425446177785
0.1364,5,9.720425446177785
0.1061,6,9.557367847113133
0.1364,7,9.720425446177785
0.1212,8,9.638627574699807
0.1364,9,9.720425446177785
0.1667,10,9.883483045242437
0.1818,11,9.964742772829112
0.2121,12,10.127800371893764
0.2121,13,10.127800371893764
0.2424,14,10.290857970958417
0.2424,15,10.290857970958417
0.2424,16,10.290857970958417
0.2273,17,10.209598243371742
0.2576,18,10.372655842436394
0.2576,19,10.372655842436394
0.2273,20,10.209598243371742
0.197,21,10.04654064430709
0.1515,22,9.80168517376446
0.2121,23,10.127800371893764
0.1818,0,9.964742772829112
0.1818,1,9.964742772829112
0.1515,2,9.80168517376446
0.1818,4,9.964742772829112
0.1515,5,9.80168517376446
0.1515,6,9.80168517376446
0.1515,7,9.80168517376446
0.1515,8,9.80168517376446
0.1515,9,9.80168517376446
0.1364,10,9.720425446177785
0.2121,11,10.127800371893764
0.2273,12,10.209598243371742
0.2273,13,10.209598243371742
0.2576,14,10.372655842436394
0.2727,15,10.453915570023069
0.2879,16,10.535713441501045
0.2727,17,10.453915570023069
0.2576,18,10.372655842436394
0.2576,19,10.372655842436394
0.2576,20,10.372655842436394
0.2727,21,10.453915570023069
0.2576,22,10.372655842436394
