instant,weekday,Predicted Y
1,6,2.9989692863051585
2,6,2.9989698287518314
3,6,2.998970371198504
4,6,2.9989709136451763
5,6,2.998971456091849
6,6,2.9989719985385217
7,6,2.998972540985194
8,6,2.9989730834318666
9,6,2.9989736258785396
10,6,2.998974168325212
11,6,2.9989747107718845
12,6,2.998975253218557
13,6,2.99897579566523
14,6,2.9989763381119023
15,6,2.998976880558575
16,6,2.9989774230052477
17,6,2.99897796545192
18,6,2.9989785078985927
19,6,2.998979050345265
20,6,2.998979592791938
21,6,2.9989801352386105
22,6,2.998980677685283
23,6,2.998981220131956
24,6,2.9989817625786284
25,0,2.998982305025301
26,0,2.9989828474719733
27,0,2.998983389918646
28,0,2.9989839323653187
29,0,2.998984474811991
30,0,2.998985017258664
31,0,2.9989855597053365
32,0,2.998986102152009
33,0,2.9989866445986815
34,0,2.9989871870453544
35,0,2.998987729492027
36,0,2.9989882719386993
37,0,2.9989888143853722
38,0,2.9989893568320447
39,0,2.998989899278717
40,0,2.9989904417253896
41,0,2.9989909841720626
42,0,2.998991526618735
43,0,2.9989920690654075
44,0,2.9989926115120804
45,0,2.998993153958753
46,0,2.9989936964054253
47,0,2.9989942388520983
48,1,2.9989947812987707
49,1,2.998995323745443
50,1,2.9989958661921157
51,1,2.9989964086387886
52,1,2.998996951085461
53,1,2.9989974935321335
54,1,2.9989980359788064
55,1,2.998998578425479
56,1,2.9989991208721514
57,1,2.998999663318824
58,1,2.9990002057654968
59,1,2.999000748212169
60,1,2.9990012906588417
61,1,2.9990018331055146
62,1,2.999002375552187
63,1,2.9990029179988595
64,1,2.999003460445532
65,1,2.999004002892205
66,1,2.9990045453388774
67,1,2.99900508778555
68,1,2.9990056302322228
69,1,2.9990061726788952
70,2,2.9990067151255677
71,2,2.99900725757224
72,2,2.999007800018913
73,2,2.9990083424655856
74,2,2.999008884912258
75,2,2.999009427358931
76,2,2.9990099698056034
77,2,2.999010512252276
78,2,2.9990110546989484
79,2,2.9990115971456213
80,2,2.9990121395922937
81,2,2.999012682038966
82,2,2.999013224485639
83,2,2.9990137669323116
84,2,2.999014309378984
85,2,2.9990148518256565
86,2,2.9990153942723294
87,2,2.999015936719002
88,2,2.9990164791656744
89,2,2.9990170216123473
90,2,2.9990175640590198
91,2,2.9990181065056922
92,2,2.9990186489523647
93,3,2.9990191913990376
94,3,2.99901973384571
95,3,2.9990202762923825
96,3,2.9990208187390555
97,3,2.999021361185728
98,3,2.9990219036324004
99,3,2.999022446079073
100,3,2.999022988525746
101,3,2.9990235309724182
102,3,2.9990240734190907
103,3,2.9990246158657636
104,3,2.999025158312436
105,3,2.9990257007591086
106,3,2.999026243205781
107,3,2.999026785652454
108,3,2.9990273280991264
109,3,2.999027870545799
110,3,2.999028412992472
111,3,2.9990289554391443
112,3,2.9990294978858167
113,3,2.999030040332489
114,3,2.999030582779162
115,3,2.9990311252258346
116,4,2.999031667672507
117,4,2.99903221011918
118,4,2.9990327525658524
119,4,2.999033295012525
120,4,2.9990338374591974
121,4,2.9990343799058703
122,4,2.9990349223525428
123,4,2.9990354647992152
124,4,2.999036007245888
125,4,2.9990365496925606
126,4,2.999037092139233
127,4,2.9990376345859056
128,4,2.9990381770325785
129,4,2.999038719479251
130,4,2.9990392619259234
131,4,2.9990398043725963
132,4,2.999040346819269
133,4,2.9990408892659413
134,4,2.999041431712614
135,4,2.9990419741592866
136,4,2.999042516605959
137,4,2.9990430590526316
138,4,2.9990436014993045
139,5,2.999044143945977
140,5,2.9990446863926494
141,5,2.9990452288393223
142,5,2.999045771285995
143,5,2.9990463137326673
144,5,2.9990468561793397
145,5,2.9990473986260127
146,5,2.999047941072685
147,5,2.9990484835193576
148,5,2.9990490259660305
149,5,2.999049568412703
150,5,2.9990501108593755
151,5,2.999050653306048
152,5,2.999051195752721
153,5,2.9990517381993933
154,5,2.9990522806460658
155,5,2.9990528230927387
156,5,2.999053365539411
157,5,2.9990539079860836
158,5,2.999054450432756
159,5,2.999054992879429
160,5,2.9990555353261015
161,5,2.999056077772774
162,6,2.999056620219447
163,6,2.9990571626661193
164,6,2.999057705112792
165,6,2.9990582475594643
166,6,2.999058790006137
167,6,2.9990593324528096
168,6,2.999059874899482
169,6,2.999060417346155
170,6,2.9990609597928275
171,6,2.9990615022395
172,6,2.9990620446861724
173,6,2.9990625871328453
174,6,2.999063129579518
175,6,2.9990636720261903
176,6,2.999064214472863
177,6,2.9990647569195357
178,6,2.999065299366208
179,6,2.9990658418128806
180,6,2.9990663842595535
181,6,2.999066926706226
182,6,2.9990674691528985
183,6,2.9990680115995714
184,6,2.999068554046244
185,6,2.9990690964929163
186,0,2.9990696389395888
187,0,2.9990701813862617
188,0,2.999070723832934
189,0,2.9990712662796066
190,0,2.9990718087262795
191,0,2.999072351172952
192,0,2.9990728936196245
193,0,2.999073436066297
194,0,2.99907397851297
195,0,2.9990745209596423
196,0,2.999075063406315
197,0,2.9990756058529877
198,0,2.99907614829966
199,0,2.9990766907463327
200,0,2.999077233193005
201,0,2.999077775639678
202,0,2.9990783180863505
203,0,2.999078860533023
204,0,2.999079402979696
205,0,2.9990799454263684
206,0,2.999080487873041
207,0,2.9990810303197133
208,0,2.999081572766386
209,0,2.9990821152130587
210,1,2.999082657659731
211,1,2.999083200106404
212,1,2.9990837425530765
213,1,2.999084284999749
214,1,2.9990848274464215
215,1,2.9990853698930944
216,1,2.999085912339767
217,1,2.9990864547864393
218,1,2.9990869972331122
219,1,2.9990875396797847
220,1,2.999088082126457
221,1,2.99908862457313
222,1,2.9990891670198025
223,1,2.999089709466475
224,1,2.9990902519131475
225,1,2.9990907943598204
226,1,2.999091336806493
227,1,2.9990918792531653
228,1,2.9990924216998383
229,1,2.9990929641465107
230,1,2.999093506593183
231,1,2.9990940490398557
232,1,2.9990945914865286
233,1,2.999095133933201
234,2,2.9990956763798735
235,2,2.9990962188265464
236,2,2.999096761273219
237,2,2.9990973037198914
238,2,2.999097846166564
239,2,2.9990983886132367
240,2,2.999098931059909
241,2,2.9990994735065817
242,2,2.9991000159532546
243,2,2.999100558399927
244,2,2.9991011008465995
245,2,2.999101643293272
246,2,2.999102185739945
247,2,2.9991027281866174
248,2,2.99910327063329
249,2,2.9991038130799628
250,2,2.9991043555266352
