temp,cnt,Predicted Y
0.24,16,91.47518522954549
0.22,40,83.8492867843609
0.22,32,83.8492867843609
0.24,13,91.47518522954549
0.24,1,91.47518522954549
0.24,1,91.47518522954549
0.22,2,83.8492867843609
0.2,3,76.22338833917631
0.24,8,91.47518522954549
0.32,14,121.97877901028389
0.38,36,144.85647434583768
0.36,56,137.2305759006531
0.42,84,160.1082712362069
0.46,94,175.3600681265761
0.46,106,175.3600681265761
0.44,110,167.73416968139148
0.42,93,160.1082712362069
0.44,67,167.73416968139148
0.42,35,160.1082712362069
0.42,37,160.1082712362069
0.4,36,152.4823727910223
0.4,34,152.4823727910223
0.4,28,152.4823727910223
0.46,39,175.3600681265761
0.46,17,175.3600681265761
0.44,17,167.73416968139148
0.42,9,160.1082712362069
0.46,6,175.3600681265761
0.46,3,175.3600681265761
0.42,2,160.1082712362069
0.4,1,152.4823727910223
0.4,8,152.4823727910223
0.38,20,144.85647434583768
0.36,53,137.2305759006531
0.36,70,137.2305759006531
0.36,93,137.2305759006531
0.36,75,137.2305759006531
0.36,59,137.2305759006531
0.34,74,129.6046774554685
0.34,76,129.6046774554685
0.34,65,129.6046774554685
0.36,53,137.2305759006531
0.32,30,121.97877901028389
0.3,22,114.35288056509928
0.26,31,99.1010836747301
0.24,9,91.47518522954549
0.22,8,83.8492867843609
0.22,5,83.8492867843609
0.2,2,76.22338833917631
0.16,1,60.971591448807104
0.16,3,60.971591448807104
0.14,30,53.345693003622515
0.14,64,53.345693003622515
0.14,154,53.345693003622515
0.16,88,60.971591448807104
0.18,44,68.5974898939917
0.2,51,76.22338833917631
0.22,61,83.8492867843609
0.24,61,91.47518522954549
0.26,77,99.1010836747301
0.26,72,99.1010836747301
0.26,76,99.1010836747301
0.24,157,91.47518522954549
0.24,157,91.47518522954549
0.2,110,76.22338833917631
0.2,52,76.22338833917631
0.18,52,68.5974898939917
0.14,20,53.345693003622515
0.18,12,68.5974898939917
0.16,5,60.971591448807104
0.16,2,60.971591448807104
0.14,1,53.345693003622515
0.14,2,53.345693003622515
0.12,4,45.719794558437904
0.12,36,45.719794558437904
0.12,94,45.719794558437904
0.14,179,53.345693003622515
0.16,100,60.971591448807104
0.16,42,60.971591448807104
0.22,57,83.8492867843609
0.22,78,83.8492867843609
0.24,97,91.47518522954549
0.26,63,99.1010836747301
0.28,65,106.72698211991471
0.3,83,114.35288056509928
0.28,212,106.72698211991471
0.26,182,99.1010836747301
0.24,112,91.47518522954549
0.24,54,91.47518522954549
0.22,48,83.8492867843609
0.22,35,83.8492867843609
0.2,11,76.22338833917631
0.2,6,76.22338833917631
0.16,6,60.971591448807104
0.16,2,60.971591448807104
0.24,2,91.47518522954549
0.22,3,83.8492867843609
0.2,33,76.22338833917631
0.18,88,68.5974898939917
0.2,195,76.22338833917631
0.22,115,83.8492867843609
0.22,57,83.8492867843609
0.26,46,99.1010836747301
0.26,79,99.1010836747301
0.28,71,106.72698211991471
0.3,62,114.35288056509928
