yr,cnt,Predicted Y
0,16,143.79444765760556
0,40,143.79444765760556
0,32,143.79444765760556
0,13,143.79444765760556
0,1,143.79444765760556
0,1,143.79444765760556
0,2,143.79444765760556
0,3,143.79444765760556
0,8,143.79444765760556
0,14,143.79444765760556
0,36,143.79444765760556
0,56,143.79444765760556
0,84,143.79444765760556
0,94,143.79444765760556
0,106,143.79444765760556
0,110,143.79444765760556
0,93,143.79444765760556
0,67,143.79444765760556
0,35,143.79444765760556
0,37,143.79444765760556
0,36,143.79444765760556
0,34,143.79444765760556
0,28,143.79444765760556
0,39,143.79444765760556
0,17,143.79444765760556
0,17,143.79444765760556
0,9,143.79444765760556
0,6,143.79444765760556
0,3,143.79444765760556
0,2,143.79444765760556
0,1,143.79444765760556
0,8,143.79444765760556
0,20,143.79444765760556
0,53,143.79444765760556
0,70,143.79444765760556
0,93,143.79444765760556
0,75,143.79444765760556
0,59,143.79444765760556
0,74,143.79444765760556
0,76,143.79444765760556
0,65,143.79444765760556
0,53,143.79444765760556
0,30,143.79444765760556
0,22,143.79444765760556
0,31,143.79444765760556
0,9,143.79444765760556
0,8,143.79444765760556
0,5,143.79444765760556
0,2,143.79444765760556
0,1,143.79444765760556
0,3,143.79444765760556
0,30,143.79444765760556
0,64,143.79444765760556
0,154,143.79444765760556
0,88,143.79444765760556
0,44,143.79444765760556
0,51,143.79444765760556
0,61,143.79444765760556
0,61,143.79444765760556
0,77,143.79444765760556
0,72,143.79444765760556
0,76,143.79444765760556
0,157,143.79444765760556
0,157,143.79444765760556
0,110,143.79444765760556
0,52,143.79444765760556
0,52,143.79444765760556
0,20,143.79444765760556
0,12,143.79444765760556
0,5,143.79444765760556
0,2,143.79444765760556
0,1,143.79444765760556
0,2,143.79444765760556
0,4,143.79444765760556
0,36,143.79444765760556
0,94,143.79444765760556
0,179,143.79444765760556
0,100,143.79444765760556
0,42,143.79444765760556
0,57,143.79444765760556
0,78,143.79444765760556
0,97,143.79444765760556
0,63,143.79444765760556
0,65,143.79444765760556
0,83,143.79444765760556
0,212,143.79444765760556
0,182,143.79444765760556
0,112,143.79444765760556
0,54,143.79444765760556
0,48,143.79444765760556
0,35,143.79444765760556
0,11,143.79444765760556
0,6,143.79444765760556
0,6,143.79444765760556
0,2,143.79444765760556
0,2,143.79444765760556
0,3,143.79444765760556
