temp,season,Predicted Y
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.24,1,2.0406840543104448
0.32,1,2.184179422972501
0.38,1,2.2918009494690432
0.36,1,2.255927107303529
0.42,1,2.363548633800071
0.46,1,2.4352963181310994
0.46,1,2.4352963181310994
0.44,1,2.399422475965585
0.42,1,2.363548633800071
0.44,1,2.399422475965585
0.42,1,2.363548633800071
0.42,1,2.363548633800071
0.4,1,2.327674791634557
0.4,1,2.327674791634557
0.4,1,2.327674791634557
0.46,1,2.4352963181310994
0.46,1,2.4352963181310994
0.44,1,2.399422475965585
0.42,1,2.363548633800071
0.46,1,2.4352963181310994
0.46,1,2.4352963181310994
0.42,1,2.363548633800071
0.4,1,2.327674791634557
0.4,1,2.327674791634557
0.38,1,2.2918009494690432
0.36,1,2.255927107303529
0.36,1,2.255927107303529
0.36,1,2.255927107303529
0.36,1,2.255927107303529
0.36,1,2.255927107303529
0.34,1,2.220053265138015
0.34,1,2.220053265138015
0.34,1,2.220053265138015
0.36,1,2.255927107303529
0.32,1,2.184179422972501
0.3,1,2.148305580806987
0.26,1,2.076557896475959
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.14,1,1.8613148434828748
0.14,1,1.8613148434828748
0.14,1,1.8613148434828748
0.16,1,1.8971886856483888
0.18,1,1.9330625278139029
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.24,1,2.0406840543104448
0.26,1,2.076557896475959
0.26,1,2.076557896475959
0.26,1,2.076557896475959
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.18,1,1.9330625278139029
0.14,1,1.8613148434828748
0.18,1,1.9330625278139029
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.14,1,1.8613148434828748
0.14,1,1.8613148434828748
0.12,1,1.8254410013173608
0.12,1,1.8254410013173608
0.12,1,1.8254410013173608
0.14,1,1.8613148434828748
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.24,1,2.0406840543104448
0.26,1,2.076557896475959
0.28,1,2.1124317386414733
0.3,1,2.148305580806987
0.28,1,2.1124317386414733
0.26,1,2.076557896475959
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.18,1,1.9330625278139029
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.26,1,2.076557896475959
0.26,1,2.076557896475959
0.28,1,2.1124317386414733
0.3,1,2.148305580806987
0.3,1,2.148305580806987
0.3,1,2.148305580806987
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.24,1,2.0406840543104448
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.18,1,1.9330625278139029
0.2,1,1.968936369979417
0.18,1,1.9330625278139029
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.14,1,1.8613148434828748
0.14,1,1.8613148434828748
0.16,1,1.8971886856483888
0.16,1,1.8971886856483888
0.18,1,1.9330625278139029
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.26,1,2.076557896475959
0.26,1,2.076557896475959
0.28,1,2.1124317386414733
0.28,1,2.1124317386414733
0.26,1,2.076557896475959
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.22,1,2.004810212144931
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.2,1,1.968936369979417
0.16,1,1.8971886856483888
0.18,1,1.9330625278139029
0.18,1,1.9330625278139029
0.18,1,1.9330625278139029
0.18,1,1.9330625278139029
0.18,1,1.9330625278139029
0.18,1,1.9330625278139029
