temp,weathersit,Predicted Y
0.24,1,1.5128651790319785
0.22,1,1.51968122292809
0.22,1,1.51968122292809
0.24,1,1.5128651790319785
0.24,1,1.5128651790319785
0.24,2,1.5128651790319785
0.22,1,1.51968122292809
0.2,1,1.5264972668242014
0.24,1,1.5128651790319785
0.32,1,1.4856010034475327
0.38,1,1.4651528717591984
0.36,1,1.4719689156553097
0.42,1,1.4515207839669755
0.46,2,1.4378886961747526
0.46,2,1.4378886961747526
0.44,2,1.444704740070864
0.42,2,1.4515207839669755
0.44,2,1.444704740070864
0.42,3,1.4515207839669755
0.42,3,1.4515207839669755
0.4,2,1.4583368278630868
0.4,2,1.4583368278630868
0.4,2,1.4583368278630868
0.46,2,1.4378886961747526
0.46,2,1.4378886961747526
0.44,2,1.444704740070864
0.42,2,1.4515207839669755
0.46,2,1.4378886961747526
0.46,2,1.4378886961747526
0.42,3,1.4515207839669755
0.4,2,1.4583368278630868
0.4,3,1.4583368278630868
0.38,2,1.4651528717591984
0.36,2,1.4719689156553097
0.36,2,1.4719689156553097
0.36,2,1.4719689156553097
0.36,2,1.4719689156553097
0.36,3,1.4719689156553097
0.34,3,1.4787849595514213
0.34,3,1.4787849595514213
0.34,1,1.4787849595514213
0.36,2,1.4719689156553097
0.32,1,1.4856010034475327
0.3,1,1.4924170473436442
0.26,1,1.5060491351358671
0.24,1,1.5128651790319785
0.22,1,1.51968122292809
0.22,1,1.51968122292809
0.2,1,1.5264972668242014
0.16,1,1.5401293546164243
0.16,1,1.5401293546164243
0.14,1,1.5469453985125359
0.14,1,1.5469453985125359
0.14,1,1.5469453985125359
0.16,1,1.5401293546164243
0.18,1,1.533313310720313
0.2,1,1.5264972668242014
0.22,1,1.51968122292809
0.24,1,1.5128651790319785
0.26,1,1.5060491351358671
0.26,1,1.5060491351358671
0.26,1,1.5060491351358671
0.24,1,1.5128651790319785
0.24,1,1.5128651790319785
0.2,1,1.5264972668242014
0.2,1,1.5264972668242014
0.18,1,1.533313310720313
0.14,1,1.5469453985125359
0.18,1,1.533313310720313
0.16,1,1.5401293546164243
0.16,1,1.5401293546164243
0.14,1,1.5469453985125359
0.14,1,1.5469453985125359
0.12,1,1.5537614424086472
0.12,1,1.5537614424086472
0.12,1,1.5537614424086472
0.14,1,1.5469453985125359
0.16,1,1.5401293546164243
