cnt,mnth,Predicted Y
16,1,6.141053191370093
40,1,6.1959428798020495
32,1,6.177646316991397
13,1,6.134191980316099
1,1,6.106747136100122
1,1,6.106747136100122
2,1,6.109034206451453
3,1,6.1113212768027845
8,1,6.122756628559442
14,1,6.136479050667431
36,1,6.186794598396723
56,1,6.232536005423353
84,1,6.2965739752606344
94,1,6.319444678773949
106,1,6.346889522989927
110,1,6.356037804395252
93,1,6.317157608422617
67,1,6.257693779287999
35,1,6.184507528045391
37,1,6.189081668748055
36,1,6.186794598396723
34,1,6.1822204576940605
28,1,6.1684980355860715
39,1,6.193655809450718
17,1,6.143340261721425
17,1,6.143340261721425
9,1,6.1250436989107735
6,1,6.118182487856779
3,1,6.1113212768027845
2,1,6.109034206451453
1,1,6.106747136100122
8,1,6.122756628559442
20,1,6.15020147277542
53,1,6.2256747943693584
70,1,6.264554990341994
93,1,6.317157608422617
75,1,6.275990342098651
59,1,6.2393972164773475
74,1,6.273703271747319
76,1,6.278277412449983
65,1,6.253119638585336
53,1,6.2256747943693584
30,1,6.173072176288734
22,1,6.154775613478082
31,1,6.175359246640066
9,1,6.1250436989107735
8,1,6.122756628559442
5,1,6.115895417505447
2,1,6.109034206451453
1,1,6.106747136100122
3,1,6.1113212768027845
30,1,6.173072176288734
64,1,6.250832568234005
154,1,6.456668899853837
88,1,6.30572225666596
44,1,6.205091161207375
51,1,6.221100653666696
61,1,6.24397135718001
61,1,6.24397135718001
77,1,6.280564482801314
72,1,6.269129131044656
76,1,6.278277412449983
157,1,6.463530110907832
157,1,6.463530110907832
110,1,6.356037804395252
52,1,6.223387724018027
52,1,6.223387724018027
20,1,6.15020147277542
12,1,6.131904909964768
5,1,6.115895417505447
2,1,6.109034206451453
1,1,6.106747136100122
2,1,6.109034206451453
4,1,6.113608347154116
36,1,6.186794598396723
94,1,6.319444678773949
179,1,6.513845658637124
100,1,6.333167100881938
42,1,6.200517020504712
57,1,6.234823075774684
78,1,6.282851553152645
97,1,6.326305889827943
