cnt,atemp,Predicted Y
16,0.2879,0.4098854276797662
40,0.2727,0.41900178902490626
32,0.2727,0.4159630019098596
13,0.2879,0.4087458825116237
1,0.2879,0.40418770183905367
1,0.2576,0.40418770183905367
2,0.2727,0.4045675502284345
3,0.2576,0.40494739861781537
8,0.2879,0.40684664056471953
14,0.3485,0.4091257309010045
36,0.3939,0.4174823954673829
56,0.3333,0.42507936325499956
84,0.4242,0.43571511815766295
94,0.4545,0.4395136020514713
106,0.4545,0.4440717827240413
110,0.4394,0.44559117628156464
93,0.4242,0.43913375366209045
67,0.4394,0.42925769553818877
35,0.4242,0.41710254707800204
37,0.4242,0.41786224385676374
36,0.4091,0.4174823954673829
34,0.4091,0.4167226986886212
28,0.4091,0.41444360835233623
39,0.4545,0.4186219406355254
17,0.4545,0.41026527606914703
17,0.4394,0.41026527606914703
9,0.4242,0.40722648895410035
6,0.4545,0.40608694378595783
3,0.4545,0.40494739861781537
2,0.4242,0.4045675502284345
1,0.4091,0.40418770183905367
8,0.4091,0.40684664056471953
20,0.3939,0.41140482123728955
53,0.3485,0.4239398180868571
70,0.3333,0.4303972407063313
93,0.3333,0.43913375366209045
75,0.3485,0.43229648265323545
59,0.3485,0.4262189084231421
74,0.3333,0.4319166342638546
76,0.3333,0.43267633104261627
65,0.3333,0.42849799875942707
53,0.3333,0.4239398180868571
30,0.2879,0.4152033051310979
22,0.2727,0.4121645180160512
31,0.2273,0.4155831535204787
9,0.2121,0.40722648895410035
8,0.2273,0.40684664056471953
5,0.197,0.405707095396577
2,0.1667,0.4045675502284345
1,0.1364,0.40418770183905367
3,0.1364,0.40494739861781537
30,0.1061,0.4152033051310979
64,0.1364,0.42811815037004625
154,0.1212,0.46230450541432133
88,0.1364,0.4372345117151863
44,0.1667,0.42052118258242954
51,0.1818,0.4231801213080954
61,0.2121,0.4269786052019038
61,0.2121,0.4269786052019038
77,0.2424,0.4330561794319971
72,0.2424,0.43115693748509293
76,0.2424,0.43267633104261627
157,0.2273,0.46344405058246385
157,0.2576,0.46344405058246385
110,0.2576,0.44559117628156464
52,0.2273,0.4235599696974762
