registered,hr,Predicted Y
13,0,9.140458283947906
32,1,9.465201476072153
27,2,9.379742741302614
10,3,9.089183043086184
1,4,8.935357320501014
1,5,8.935357320501014
0,6,8.918265573547107
2,7,8.952449067454921
7,8,9.03790780222446
6,9,9.020816055270553
24,10,9.32846750044089
30,11,9.431017982164338
55,12,9.85831165601203
47,13,9.721577680380769
71,14,10.131779607274552
70,15,10.114687860320645
52,16,9.807036415150307
52,17,9.807036415150307
26,18,9.362650994348707
31,19,9.448109729118245
25,20,9.3455592473948
31,21,9.448109729118245
17,22,9.208825271763537
24,23,9.32846750044089
13,0,9.140458283947906
16,1,9.19173352480963
8,2,9.054999549178367
4,3,8.986632561362738
1,4,8.935357320501014
2,6,8.952449067454921
1,7,8.935357320501014
8,8,9.054999549178367
19,9,9.243008765671354
46,10,9.704485933426861
54,11,9.841219909058122
73,12,10.165963101182367
64,13,10.012137378597199
55,14,9.85831165601203
55,15,9.85831165601203
67,16,10.063412619458921
58,17,9.909586896873753
43,18,9.653210692565137
29,19,9.413926235210429
17,20,9.208825271763537
20,21,9.260100512625261
9,22,9.072091296132276
8,23,9.054999549178367
5,0,9.003724308316645
2,1,8.952449067454921
1,4,8.935357320501014
3,5,8.96954081440883
30,6,9.431017982164338
63,7,9.995045631643292
153,8,11.533302857494984
81,9,10.30269707681363
33,10,9.48229322302606
41,11,9.619027198657323
48,12,9.738669427334676
53,13,9.824128162104214
66,14,10.046320872505014
58,15,9.909586896873753
67,16,10.063412619458921
146,17,11.41366062881763
148,18,11.447844122725446
102,19,10.661623762845691
49,20,9.755761174288583
49,21,9.755761174288583
20,22,9.260100512625261
11,23,9.106274790040091
5,0,9.003724308316645
2,1,8.952449067454921
1,2,8.935357320501014
2,4,8.952449067454921
4,5,8.986632561362738
36,6,9.533568463887784
92,7,10.490706293306614
177,8,11.943504784388768
98,9,10.59325677503006
37,10,9.550660210841691
50,11,9.77285292124249
66,12,10.046320872505014
79,13,10.268513582905815
54,14,9.841219909058122
48,15,9.738669427334676
68,16,10.08050436641283
202,17,12.370798458236461
179,18,11.977688278296583
110,19,10.798357738476952
53,20,9.824128162104214
48,21,9.738669427334676
34,22,9.499384969979968
9,23,9.072091296132276
6,0,9.020816055270553
6,1,9.020816055270553
2,2,8.952449067454921
2,4,8.952449067454921
3,5,8.96954081440883
33,6,9.48229322302606
87,7,10.405247558537075
192,8,12.199880988697384
109,9,10.781265991523044
53,10,9.824128162104214
34,11,9.499384969979968
74,12,10.183054848136276
65,13,10.029229125551106
52,14,9.807036415150307
55,15,9.85831165601203
85,16,10.37106406462926
186,17,12.097330506973936
166,18,11.755495567895784
127,19,11.088917436693382
82,20,10.319788823767537
40,21,9.601935451703413
41,22,9.619027198657323
18,23,9.225917018717444
11,0,9.106274790040091
4,1,8.986632561362738
2,2,8.952449067454921
1,4,8.935357320501014
4,5,8.986632561362738
36,6,9.533568463887784
95,7,10.541981534168338
216,8,12.610082915591168
116,9,10.9009082202004
42,10,9.63611894561123
57,11,9.892495149919846
78,12,10.251421835951906
55,13,9.85831165601203
59,14,9.92667864382766
54,15,9.841219909058122
74,16,10.183054848136276
163,17,11.70422032703406
158,18,11.618761592264521
109,19,10.781265991523044
66,20,10.046320872505014
48,21,9.738669427334676
51,22,9.789944668196398
19,23,9.243008765671354
13,0,9.140458283947906
5,1,9.003724308316645
1,2,8.935357320501014
1,4,8.935357320501014
5,5,9.003724308316645
26,6,9.362650994348707
76,7,10.21723834204409
190,8,12.165697494789567
125,9,11.054733942785568
47,10,9.721577680380769
48,11,9.738669427334676
50,12,9.77285292124249
64,13,10.012137378597199
43,14,9.653210692565137
63,15,9.995045631643292
82,16,10.319788823767537
178,17,11.960596531342675
116,18,10.9009082202004
92,19,10.490706293306614
50,20,9.77285292124249
39,21,9.584843704749506
34,22,9.499384969979968
14,23,9.157550030901815
24,0,9.32846750044089
15,1,9.174641777855722
13,2,9.140458283947906
7,3,9.03790780222446
1,4,8.935357320501014
5,5,9.003724308316645
2,6,8.952449067454921
8,7,9.054999549178367
15,8,9.174641777855722
20,9,9.260100512625261
56,10,9.875403402965937
60,11,9.943770390781568
90,12,10.4565227993988
95,13,10.541981534168338
83,14,10.336880570721444
69,15,10.097596113366738
68,16,10.08050436641283
64,17,10.012137378597199
52,18,9.807036415150307
26,19,9.362650994348707
28,20,9.396834488256522
35,21,9.516476716933877
33,22,9.48229322302606
22,23,9.294284006533076
24,0,9.32846750044089
12,1,9.123366536993998
11,2,9.106274790040091
4,3,8.986632561362738
1,4,8.935357320501014
1,5,8.935357320501014
1,6,8.935357320501014
5,7,9.003724308316645
10,8,9.089183043086184
19,9,9.243008765671354
