weekday,mnth,Predicted Y
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
6,1,6.591200670376141
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
0,1,6.4842189581106355
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
1,1,6.502049243488219
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
2,1,6.519879528865804
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
3,1,6.537709814243388
