atemp,weathersit,Predicted Y
0.2879,1,1.499069505244444
0.2727,1,1.505039157260157
0.2727,1,1.505039157260157
0.2879,1,1.499069505244444
0.2879,1,1.499069505244444
0.2576,2,1.5109695352494508
0.2727,1,1.505039157260157
0.2576,1,1.5109695352494508
0.2879,1,1.499069505244444
0.3485,1,1.4752694452344306
0.3939,1,1.4574390372401302
0.3333,1,1.4812390972501437
0.4242,1,1.4455390072351235
0.4545,2,1.433638977230117
0.4545,2,1.433638977230117
0.4394,2,1.4395693552194107
0.4242,2,1.4455390072351235
0.4394,2,1.4395693552194107
0.4242,3,1.4455390072351235
0.4242,3,1.4455390072351235
0.4091,2,1.4514693852244174
0.4091,2,1.4514693852244174
0.4091,2,1.4514693852244174
0.4545,2,1.433638977230117
0.4545,2,1.433638977230117
0.4394,2,1.4395693552194107
0.4242,2,1.4455390072351235
0.4545,2,1.433638977230117
0.4545,2,1.433638977230117
0.4242,3,1.4455390072351235
0.4091,2,1.4514693852244174
0.4091,3,1.4514693852244174
0.3939,2,1.4574390372401302
0.3485,2,1.4752694452344306
0.3333,2,1.4812390972501437
0.3333,2,1.4812390972501437
0.3485,2,1.4752694452344306
0.3485,3,1.4752694452344306
0.3333,3,1.4812390972501437
0.3333,3,1.4812390972501437
0.3333,1,1.4812390972501437
0.3333,2,1.4812390972501437
0.2879,1,1.499069505244444
0.2727,1,1.505039157260157
0.2273,1,1.5228695652544573
0.2121,1,1.5288392172701704
0.2273,1,1.5228695652544573
0.197,1,1.534769595259464
0.1667,1,1.5466696252644707
0.1364,1,1.5585696552694774
0.1364,1,1.5585696552694774
0.1061,1,1.570469685274484
0.1364,1,1.5585696552694774
0.1212,1,1.5645393072851903
0.1364,1,1.5585696552694774
0.1667,1,1.5466696252644707
0.1818,1,1.5407392472751769
0.2121,1,1.5288392172701704
0.2121,1,1.5288392172701704
0.2424,1,1.5169391872651636
0.2424,1,1.5169391872651636
0.2424,1,1.5169391872651636
0.2273,1,1.5228695652544573
0.2576,1,1.5109695352494508
0.2576,1,1.5109695352494508
0.2273,1,1.5228695652544573
0.197,1,1.534769595259464
0.1515,1,1.5526392772801836
0.2121,1,1.5288392172701704
0.1818,1,1.5407392472751769
0.1818,1,1.5407392472751769
0.1515,1,1.5526392772801836
0.1818,1,1.5407392472751769
0.1515,1,1.5526392772801836
0.1515,1,1.5526392772801836
0.1515,1,1.5526392772801836
0.1515,1,1.5526392772801836
0.1515,1,1.5526392772801836
0.1364,2,1.5585696552694774
0.2121,1,1.5288392172701704
0.2273,1,1.5228695652544573
0.2273,1,1.5228695652544573
0.2576,1,1.5109695352494508
0.2727,1,1.505039157260157
0.2879,1,1.499069505244444
0.2727,1,1.505039157260157
0.2576,1,1.5109695352494508
0.2576,1,1.5109695352494508
0.2576,1,1.5109695352494508
0.2727,1,1.505039157260157
0.2576,1,1.5109695352494508
0.2273,1,1.5228695652544573
0.2576,1,1.5109695352494508
0.197,1,1.534769595259464
0.197,1,1.534769595259464
0.2273,1,1.5228695652544573
0.2273,1,1.5228695652544573
0.197,1,1.534769595259464
0.1818,1,1.5407392472751769
0.1818,1,1.5407392472751769
0.197,1,1.534769595259464
0.197,1,1.534769595259464
0.2273,1,1.5228695652544573
0.2273,1,1.5228695652544573
0.2576,1,1.5109695352494508
0.2879,1,1.499069505244444
0.2879,1,1.499069505244444
0.3182,1,1.4871694752394373
0.2273,1,1.5228695652544573
0.2424,1,1.5169391872651636
0.2576,1,1.5109695352494508
0.2273,1,1.5228695652544573
0.197,1,1.534769595259464
0.197,1,1.534769595259464
0.2576,1,1.5109695352494508
0.2424,1,1.5169391872651636
0.2273,1,1.5228695652544573
0.2273,1,1.5228695652544573
0.197,2,1.534769595259464
0.1818,2,1.5407392472751769
0.1667,2,1.5466696252644707
0.2273,2,1.5228695652544573
0.2273,1,1.5228695652544573
0.2424,2,1.5169391872651636
0.2576,1,1.5109695352494508
0.2576,1,1.5109695352494508
0.2879,1,1.499069505244444
0.2727,1,1.505039157260157
0.2727,1,1.505039157260157
0.2727,1,1.505039157260157
0.2576,1,1.5109695352494508
0.2273,1,1.5228695652544573
0.2273,1,1.5228695652544573
0.2576,1,1.5109695352494508
0.2121,1,1.5288392172701704
0.2121,2,1.5288392172701704
0.2121,2,1.5288392172701704
0.197,2,1.534769595259464
0.197,2,1.534769595259464
0.197,2,1.534769595259464
0.197,2,1.534769595259464
0.2121,2,1.5288392172701704
0.2727,3,1.505039157260157
0.2576,2,1.5109695352494508
0.2121,1,1.5288392172701704
