casual,weekday,Predicted Y
3,6,2.960186127844894
8,6,2.9668418058418617
5,6,2.962848399043681
3,6,2.960186127844894
0,6,2.9561927210467136
0,6,2.9561927210467136
2,6,2.9588549922455005
1,6,2.957523856646107
1,6,2.957523856646107
8,6,2.9668418058418617
12,6,2.9721663482394356
26,6,2.9908022466309445
29,6,2.9947956534291253
47,6,3.018756094218208
35,6,3.002782467025486
40,6,3.009438145022454
41,6,3.0107692806218473
15,6,2.976159755037616
9,6,2.968172941441255
6,6,2.964179534643075
11,6,2.970835212640042
3,6,2.960186127844894
11,6,2.970835212640042
15,6,2.976159755037616
4,0,2.9615172634442875
1,0,2.957523856646107
1,0,2.957523856646107
2,0,2.9588549922455005
2,0,2.9588549922455005
0,0,2.9561927210467136
0,0,2.9561927210467136
0,0,2.9561927210467136
1,0,2.957523856646107
7,0,2.9655106702424683
16,0,2.9774908906370094
20,0,2.9828154330345837
11,0,2.970835212640042
4,0,2.9615172634442875
19,0,2.9814842974351903
9,0,2.968172941441255
7,0,2.9655106702424683
10,0,2.9695040770406487
1,0,2.957523856646107
5,0,2.962848399043681
11,0,2.970835212640042
0,0,2.9561927210467136
0,0,2.9561927210467136
0,1,2.9561927210467136
0,1,2.9561927210467136
0,1,2.9561927210467136
0,1,2.9561927210467136
0,1,2.9561927210467136
1,1,2.957523856646107
1,1,2.957523856646107
7,1,2.9655106702424683
11,1,2.970835212640042
10,1,2.9695040770406487
13,1,2.973497483838829
8,1,2.9668418058418617
11,1,2.970835212640042
14,1,2.9748286194382225
9,1,2.968172941441255
11,1,2.970835212640042
9,1,2.968172941441255
8,1,2.9668418058418617
3,1,2.960186127844894
3,1,2.960186127844894
0,1,2.9561927210467136
1,1,2.957523856646107
0,2,2.9561927210467136
0,2,2.9561927210467136
0,2,2.9561927210467136
0,2,2.9561927210467136
0,2,2.9561927210467136
0,2,2.9561927210467136
2,2,2.9588549922455005
2,2,2.9588549922455005
2,2,2.9588549922455005
5,2,2.962848399043681
7,2,2.9655106702424683
12,2,2.9721663482394356
18,2,2.980153161835797
9,2,2.968172941441255
17,2,2.9788220262364034
15,2,2.976159755037616
10,2,2.9695040770406487
3,2,2.960186127844894
2,2,2.9588549922455005
1,2,2.957523856646107
0,2,2.9561927210467136
1,2,2.957523856646107
2,2,2.9588549922455005
0,3,2.9561927210467136
0,3,2.9561927210467136
0,3,2.9561927210467136
0,3,2.9561927210467136
0,3,2.9561927210467136
0,3,2.9561927210467136
1,3,2.957523856646107
3,3,2.960186127844894
6,3,2.964179534643075
4,3,2.9615172634442875
12,3,2.9721663482394356
5,3,2.962848399043681
6,3,2.964179534643075
10,3,2.9695040770406487
7,3,2.9655106702424683
4,3,2.9615172634442875
4,3,2.9615172634442875
3,3,2.960186127844894
5,3,2.962848399043681
7,3,2.9655106702424683
3,3,2.960186127844894
1,3,2.957523856646107
1,3,2.957523856646107
0,4,2.9561927210467136
0,4,2.9561927210467136
0,4,2.9561927210467136
0,4,2.9561927210467136
0,4,2.9561927210467136
0,4,2.9561927210467136
0,4,2.9561927210467136
3,4,2.960186127844894
6,4,2.964179534643075
3,4,2.960186127844894
2,4,2.9588549922455005
6,4,2.964179534643075
12,4,2.9721663482394356
11,4,2.970835212640042
8,4,2.9668418058418617
12,4,2.9721663482394356
9,4,2.968172941441255
5,4,2.962848399043681
3,4,2.960186127844894
3,4,2.960186127844894
0,4,2.9561927210467136
1,4,2.957523856646107
4,4,2.9615172634442875
4,5,2.9615172634442875
2,5,2.9588549922455005
0,5,2.9561927210467136
0,5,2.9561927210467136
0,5,2.9561927210467136
