instant,season,Predicted Y
1,1,1.7270547744520042
2,1,1.727143919938917
3,1,1.7272330654258294
4,1,1.7273222109127422
5,1,1.727411356399655
6,1,1.7275005018865677
7,1,1.7275896473734804
8,1,1.7276787928603932
9,1,1.7277679383473057
10,1,1.7278570838342184
11,1,1.7279462293211312
12,1,1.728035374808044
13,1,1.7281245202949567
14,1,1.7282136657818692
15,1,1.728302811268782
16,1,1.7283919567556947
17,1,1.7284811022426074
18,1,1.7285702477295202
19,1,1.728659393216433
20,1,1.7287485387033454
21,1,1.7288376841902582
22,1,1.728926829677171
23,1,1.7290159751640837
24,1,1.7291051206509964
25,1,1.729194266137909
26,1,1.7292834116248217
27,1,1.7293725571117344
28,1,1.7294617025986472
29,1,1.72955084808556
30,1,1.7296399935724727
31,1,1.7297291390593852
32,1,1.729818284546298
33,1,1.7299074300332107
34,1,1.7299965755201234
35,1,1.7300857210070362
36,1,1.7301748664939487
37,1,1.7302640119808614
38,1,1.7303531574677742
39,1,1.730442302954687
40,1,1.7305314484415997
41,1,1.7306205939285122
42,1,1.730709739415425
43,1,1.7307988849023377
44,1,1.7308880303892504
45,1,1.7309771758761632
46,1,1.731066321363076
47,1,1.7311554668499884
48,1,1.7312446123369012
49,1,1.731333757823814
50,1,1.7314229033107267
51,1,1.7315120487976394
52,1,1.731601194284552
53,1,1.7316903397714647
54,1,1.7317794852583774
55,1,1.7318686307452902
56,1,1.731957776232203
57,1,1.7320469217191157
58,1,1.7321360672060282
59,1,1.732225212692941
60,1,1.7323143581798537
61,1,1.7324035036667664
62,1,1.7324926491536792
63,1,1.7325817946405917
64,1,1.7326709401275044
65,1,1.7327600856144172
66,1,1.73284923110133
67,1,1.7329383765882427
68,1,1.7330275220751554
69,1,1.733116667562068
70,1,1.7332058130489807
71,1,1.7332949585358934
72,1,1.7333841040228062
73,1,1.733473249509719
74,1,1.7335623949966315
75,1,1.7336515404835442
76,1,1.733740685970457
77,1,1.7338298314573697
78,1,1.7339189769442824
79,1,1.7340081224311952
80,1,1.7340972679181077
81,1,1.7341864134050204
82,1,1.7342755588919332
83,1,1.734364704378846
84,1,1.7344538498657587
85,1,1.7345429953526712
86,1,1.734632140839584
87,1,1.7347212863264967
88,1,1.7348104318134094
89,1,1.7348995773003222
90,1,1.734988722787235
91,1,1.7350778682741475
92,1,1.7351670137610602
93,1,1.735256159247973
94,1,1.7353453047348857
95,1,1.7354344502217984
96,1,1.735523595708711
97,1,1.7356127411956237
98,1,1.7357018866825364
99,1,1.7357910321694492
100,1,1.735880177656362
101,1,1.7359693231432745
102,1,1.7360584686301872
103,1,1.7361476141171
104,1,1.7362367596040127
105,1,1.7363259050909254
106,1,1.7364150505778382
107,1,1.7365041960647507
108,1,1.7365933415516634
109,1,1.7366824870385762
110,1,1.736771632525489
111,1,1.7368607780124017
112,1,1.7369499234993142
113,1,1.737039068986227
114,1,1.7371282144731397
115,1,1.7372173599600524
116,1,1.7373065054469652
117,1,1.737395650933878
118,1,1.7374847964207905
119,1,1.7375739419077032
120,1,1.737663087394616
121,1,1.7377522328815287
122,1,1.7378413783684414
123,1,1.737930523855354
124,1,1.7380196693422667
125,1,1.7381088148291794
126,1,1.7381979603160922
127,1,1.738287105803005
128,1,1.7383762512899177
129,1,1.7384653967768302
130,1,1.738554542263743
131,1,1.7386436877506557
132,1,1.7387328332375684
133,1,1.7388219787244812
134,1,1.7389111242113937
135,1,1.7390002696983065
136,1,1.7390894151852192
137,1,1.739178560672132
138,1,1.7392677061590447
139,1,1.7393568516459574
140,1,1.73944599713287
141,1,1.7395351426197827
142,1,1.7396242881066954
143,1,1.7397134335936082
144,1,1.739802579080521
145,1,1.7398917245674335
146,1,1.7399808700543462
147,1,1.740070015541259
148,1,1.7401591610281717
149,1,1.7402483065150844
150,1,1.7403374520019972
151,1,1.7404265974889097
152,1,1.7405157429758225
153,1,1.7406048884627352
154,1,1.740694033949648
155,1,1.7407831794365607
156,1,1.7408723249234732
157,1,1.740961470410386
158,1,1.7410506158972987
159,1,1.7411397613842114
160,1,1.7412289068711242
161,1,1.7413180523580367
162,1,1.7414071978449495
163,1,1.7414963433318622
164,1,1.741585488818775
165,1,1.7416746343056877
166,1,1.7417637797926004
167,1,1.741852925279513
168,1,1.7419420707664257
169,1,1.7420312162533385
170,1,1.7421203617402512
171,1,1.742209507227164
172,1,1.7422986527140765
173,1,1.7423877982009892
174,1,1.742476943687902
175,1,1.7425660891748147
176,1,1.7426552346617274
177,1,1.7427443801486402
178,1,1.7428335256355527
179,1,1.7429226711224655
180,1,1.7430118166093782
181,1,1.743100962096291
182,1,1.7431901075832037
183,1,1.7432792530701162
184,1,1.743368398557029
185,1,1.7434575440439417
186,1,1.7435466895308545
187,1,1.7436358350177672
188,1,1.74372498050468
189,1,1.7438141259915925
190,1,1.7439032714785052
191,1,1.743992416965418
192,1,1.7440815624523307
193,1,1.7441707079392434
194,1,1.744259853426156
195,1,1.7443489989130687
196,1,1.7444381443999815
197,1,1.7445272898868942
198,1,1.744616435373807
199,1,1.7447055808607197
200,1,1.7447947263476322
201,1,1.744883871834545
202,1,1.7449730173214577
203,1,1.7450621628083705
204,1,1.7451513082952832
205,1,1.7452404537821957
206,1,1.7453295992691085
207,1,1.7454187447560212
208,1,1.745507890242934
209,1,1.7455970357298467
210,1,1.7456861812167594
211,1,1.745775326703672
212,1,1.7458644721905847
213,1,1.7459536176774975
214,1,1.7460427631644102
215,1,1.746131908651323
216,1,1.7462210541382355
217,1,1.7463101996251482
218,1,1.746399345112061
219,1,1.7464884905989737
220,1,1.7465776360858865
221,1,1.7466667815727992
222,1,1.7467559270597117
223,1,1.7468450725466245
224,1,1.7469342180335372
225,1,1.74702336352045
226,1,1.7471125090073627
227,1,1.7472016544942752
228,1,1.747290799981188
229,1,1.7473799454681007
230,1,1.7474690909550135
231,1,1.7475582364419262
232,1,1.7476473819288387
233,1,1.7477365274157515
234,1,1.7478256729026642
235,1,1.747914818389577
236,1,1.7480039638764897
237,1,1.7480931093634025
238,1,1.748182254850315
239,1,1.7482714003372277
240,1,1.7483605458241405
241,1,1.7484496913110532
242,1,1.748538836797966
243,1,1.7486279822848785
244,1,1.7487171277717912
245,1,1.748806273258704
246,1,1.7488954187456167
247,1,1.7489845642325295
248,1,1.7490737097194422
249,1,1.7491628552063547
250,1,1.7492520006932675
251,1,1.7493411461801802
252,1,1.749430291667093
253,1,1.7495194371540057
254,1,1.7496085826409182
255,1,1.749697728127831
256,1,1.7497868736147437
257,1,1.7498760191016565
258,1,1.7499651645885692
259,1,1.750054310075482
260,1,1.7501434555623945
261,1,1.7502326010493072
262,1,1.75032174653622
263,1,1.7504108920231327
264,1,1.7505000375100455
265,1,1.750589182996958
266,1,1.7506783284838707
267,1,1.7507674739707835
268,1,1.7508566194576962
269,1,1.750945764944609
270,1,1.7510349104315217
271,1,1.7511240559184342
272,1,1.751213201405347
273,1,1.7513023468922597
274,1,1.7513914923791725
275,1,1.7514806378660852
276,1,1.7515697833529977
277,1,1.7516589288399105
278,1,1.7517480743268232
279,1,1.751837219813736
280,1,1.7519263653006487
281,1,1.7520155107875615
282,1,1.752104656274474
283,1,1.7521938017613867
284,1,1.7522829472482995
285,1,1.7523720927352122
286,1,1.752461238222125
287,1,1.7525503837090375
288,1,1.7526395291959502
289,1,1.752728674682863
290,1,1.7528178201697757
291,1,1.7529069656566885
292,1,1.752996111143601
293,1,1.7530852566305137
294,1,1.7531744021174265
295,1,1.7532635476043392
296,1,1.753352693091252
297,1,1.7534418385781647
298,1,1.7535309840650772
299,1,1.75362012955199
300,1,1.7537092750389027
301,1,1.7537984205258155
302,1,1.7538875660127282
303,1,1.7539767114996407
304,1,1.7540658569865535
305,1,1.7541550024734662
306,1,1.754244147960379
307,1,1.7543332934472917
308,1,1.7544224389342045
309,1,1.754511584421117
310,1,1.7546007299080297
311,1,1.7546898753949425
312,1,1.7547790208818552
313,1,1.754868166368768
314,1,1.7549573118556805
315,1,1.7550464573425932
316,1,1.755135602829506
317,1,1.7552247483164187
318,1,1.7553138938033315
319,1,1.7554030392902442
320,1,1.7554921847771567
321,1,1.7555813302640695
322,1,1.7556704757509822
323,1,1.755759621237895
324,1,1.7558487667248077
325,1,1.7559379122117202
326,1,1.756027057698633
327,1,1.7561162031855457
328,1,1.7562053486724585
329,1,1.7562944941593712
330,1,1.756383639646284
331,1,1.7564727851331965
332,1,1.7565619306201092
333,1,1.756651076107022
334,1,1.7567402215939347
335,1,1.7568293670808475
336,1,1.75691851256776
337,1,1.7570076580546727
338,1,1.7570968035415855
339,1,1.7571859490284982
340,1,1.757275094515411
341,1,1.7573642400023237
342,1,1.7574533854892362
343,1,1.757542530976149
344,1,1.7576316764630617
345,1,1.7577208219499745
346,1,1.7578099674368872
347,1,1.7578991129237997
348,1,1.7579882584107125
349,1,1.7580774038976252
350,1,1.758166549384538
