atemp,hum,Predicted Y
0.2879,0.81,0.6381793394188207
0.2727,0.8,0.6390652875744611
0.2727,0.8,0.6390652875744611
0.2879,0.75,0.6381793394188207
0.2879,0.75,0.6381793394188207
0.2576,0.75,0.6399454071238145
0.2727,0.8,0.6390652875744611
0.2576,0.86,0.6399454071238145
0.2879,0.75,0.6381793394188207
0.3485,0.76,0.6346472040088327
0.3939,0.76,0.6320010167544854
0.3333,0.81,0.6355331521644733
0.4242,0.77,0.6302349490494914
0.4545,0.72,0.6284688813444975
0.4545,0.72,0.6284688813444975
0.4394,0.77,0.6293490008938509
0.4242,0.82,0.6302349490494914
0.4394,0.82,0.6293490008938509
0.4242,0.88,0.6302349490494914
0.4242,0.88,0.6302349490494914
0.4091,0.87,0.6311150685988448
0.4091,0.87,0.6311150685988448
0.4091,0.94,0.6311150685988448
0.4545,0.88,0.6284688813444975
0.4545,0.88,0.6284688813444975
0.4394,0.94,0.6293490008938509
0.4242,1.0,0.6302349490494914
0.4545,0.94,0.6284688813444975
0.4545,0.94,0.6284688813444975
0.4242,0.77,0.6302349490494914
0.4091,0.76,0.6311150685988448
0.4091,0.71,0.6311150685988448
0.3939,0.76,0.6320010167544854
0.3485,0.81,0.6346472040088327
0.3333,0.71,0.6355331521644733
0.3333,0.66,0.6355331521644733
0.3485,0.66,0.6346472040088327
0.3485,0.76,0.6346472040088327
0.3333,0.81,0.6355331521644733
0.3333,0.71,0.6355331521644733
0.3333,0.57,0.6355331521644733
0.3333,0.46,0.6355331521644733
0.2879,0.42,0.6381793394188207
0.2727,0.39,0.6390652875744611
0.2273,0.44,0.6417114748288085
0.2121,0.44,0.642597422984449
0.2273,0.47,0.6417114748288085
0.197,0.44,0.6434775425338024
0.1667,0.44,0.6452436102387964
0.1364,0.47,0.6470096779437903
0.1364,0.47,0.6470096779437903
0.1061,0.5,0.6487757456487843
0.1364,0.5,0.6470096779437903
0.1212,0.5,0.6478956260994309
0.1364,0.43,0.6470096779437903
0.1667,0.43,0.6452436102387964
0.1818,0.4,0.644363490689443
0.2121,0.35,0.642597422984449
0.2121,0.35,0.642597422984449
0.2424,0.3,0.6408313552794551
0.2424,0.3,0.6408313552794551
0.2424,0.3,0.6408313552794551
0.2273,0.3,0.6417114748288085
0.2576,0.32,0.6399454071238145
0.2576,0.47,0.6399454071238145
0.2273,0.47,0.6417114748288085
0.197,0.64,0.6434775425338024
0.1515,0.69,0.6461295583944369
0.2121,0.55,0.642597422984449
0.1818,0.55,0.644363490689443
0.1818,0.59,0.644363490689443
0.1515,0.63,0.6461295583944369
0.1818,0.63,0.644363490689443
0.1515,0.68,0.6461295583944369
0.1515,0.74,0.6461295583944369
0.1515,0.74,0.6461295583944369
0.1515,0.69,0.6461295583944369
0.1515,0.64,0.6461295583944369
0.1364,0.69,0.6470096779437903
0.2121,0.51,0.642597422984449
0.2273,0.51,0.6417114748288085
0.2273,0.56,0.6417114748288085
0.2576,0.52,0.6399454071238145
0.2727,0.52,0.6390652875744611
0.2879,0.49,0.6381793394188207
0.2727,0.48,0.6390652875744611
0.2576,0.48,0.6399454071238145
0.2576,0.48,0.6399454071238145
0.2576,0.48,0.6399454071238145
0.2727,0.64,0.6390652875744611
0.2576,0.64,0.6399454071238145
0.2273,0.69,0.6417114748288085
0.2576,0.64,0.6399454071238145
0.197,0.74,0.6434775425338024
0.197,0.74,0.6434775425338024
0.2273,0.48,0.6417114748288085
0.2273,0.47,0.6417114748288085
0.197,0.47,0.6434775425338024
0.1818,0.43,0.644363490689443
0.1818,0.4,0.644363490689443
0.197,0.37,0.6434775425338024
0.197,0.37,0.6434775425338024
0.2273,0.33,0.6417114748288085
0.2273,0.33,0.6417114748288085
0.2576,0.3,0.6399454071238145
0.2879,0.28,0.6381793394188207
0.2879,0.28,0.6381793394188207
0.3182,0.28,0.6364132717138267
0.2273,0.38,0.6417114748288085
0.2424,0.38,0.6408313552794551
0.2576,0.38,0.6399454071238145
0.2273,0.47,0.6417114748288085
0.197,0.51,0.6434775425338024
0.197,0.55,0.6434775425338024
0.2576,0.47,0.6399454071238145
0.2424,0.55,0.6408313552794551
0.2273,0.64,0.6417114748288085
0.2273,0.64,0.6417114748288085
0.197,0.64,0.6434775425338024
0.1818,0.69,0.644363490689443
0.1667,0.63,0.6452436102387964
0.2273,0.59,0.6417114748288085
0.2273,0.59,0.6417114748288085
0.2424,0.51,0.6408313552794551
0.2576,0.47,0.6399454071238145
0.2576,0.44,0.6399454071238145
0.2879,0.35,0.6381793394188207
0.2727,0.35,0.6390652875744611
0.2727,0.36,0.6390652875744611
0.2727,0.36,0.6390652875744611
0.2576,0.38,0.6399454071238145
0.2273,0.51,0.6417114748288085
0.2273,0.51,0.6417114748288085
0.2576,0.55,0.6399454071238145
0.2121,0.51,0.642597422984449
0.2121,0.55,0.642597422984449
0.2121,0.51,0.642597422984449
0.197,0.59,0.6434775425338024
0.197,0.64,0.6434775425338024
0.197,0.69,0.6434775425338024
0.197,0.69,0.6434775425338024
0.2121,0.69,0.642597422984449
0.2727,0.55,0.6390652875744611
0.2576,0.69,0.6399454071238145
0.2121,0.69,0.642597422984449
0.197,0.51,0.6434775425338024
0.1818,0.47,0.644363490689443
0.197,0.37,0.6434775425338024
0.197,0.4,0.6434775425338024
0.197,0.37,0.6434775425338024
0.1818,0.37,0.644363490689443
0.197,0.4,0.6434775425338024
0.2121,0.37,0.642597422984449
0.2121,0.37,0.642597422984449
0.2576,0.37,0.6399454071238145
0.2273,0.4,0.6417114748288085
0.197,0.55,0.6434775425338024
0.2121,0.47,0.642597422984449
0.197,0.47,0.6434775425338024
0.197,0.43,0.6434775425338024
0.197,0.51,0.6434775425338024
0.197,0.51,0.6434775425338024
0.2121,0.55,0.642597422984449
0.2424,0.55,0.6408313552794551
0.197,0.55,0.6434775425338024
0.197,0.55,0.6434775425338024
0.1667,0.74,0.6452436102387964
0.1667,0.74,0.6452436102387964
0.1818,0.74,0.644363490689443
0.1818,0.93,0.644363490689443
0.1818,0.93,0.644363490689443
0.197,0.8,0.6434775425338024
0.1818,0.69,0.644363490689443
0.1818,0.59,0.644363490689443
0.1818,0.44,0.644363490689443
0.1667,0.32,0.6452436102387964
0.1667,0.32,0.6452436102387964
0.1364,0.29,0.6470096779437903
0.1212,0.37,0.6478956260994309
0.1212,0.39,0.6478956260994309
0.1212,0.36,0.6478956260994309
0.1212,0.36,0.6478956260994309
0.1061,0.39,0.6487757456487843
0.1061,0.36,0.6487757456487843
0.0606,0.39,0.6514277615094187
0.0758,0.42,0.6505418133537781
0.0606,0.42,0.6514277615094187
0.0606,0.46,0.6514277615094187
0.0758,0.46,0.6505418133537781
0.0909,0.53,0.6496616938044247
0.0909,0.53,0.6496616938044247
0.0909,0.49,0.6496616938044247
0.0909,0.53,0.6496616938044247
0.0909,0.49,0.6496616938044247
0.0758,0.46,0.6505418133537781
0.1061,0.43,0.6487757456487843
0.1212,0.4,0.6478956260994309
0.1364,0.37,0.6470096779437903
0.1667,0.34,0.6452436102387964
0.1818,0.32,0.644363490689443
0.197,0.35,0.6434775425338024
0.1667,0.34,0.6452436102387964
0.1515,0.37,0.6461295583944369
0.1364,0.4,0.6470096779437903
0.1364,0.43,0.6470096779437903
0.1212,0.46,0.6478956260994309
0.1061,0.46,0.6487757456487843
0.1212,0.46,0.6478956260994309
0.1364,0.5,0.6470096779437903
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.54,0.6478956260994309
0.1061,0.54,0.6487757456487843
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1364,0.47,0.6470096779437903
0.1818,0.4,0.644363490689443
0.1818,0.4,0.644363490689443
0.197,0.4,0.6434775425338024
0.197,0.4,0.6434775425338024
0.2121,0.4,0.642597422984449
0.2273,0.4,0.6417114748288085
0.197,0.4,0.6434775425338024
0.1667,0.47,0.6452436102387964
0.1667,0.5,0.6452436102387964
0.1364,0.59,0.6470096779437903
0.1515,0.59,0.6461295583944369
0.1515,0.59,0.6461295583944369
0.1667,0.59,0.6452436102387964
0.1515,0.59,0.6461295583944369
0.1515,0.55,0.6461295583944369
0.1818,0.55,0.644363490689443
0.1818,0.55,0.644363490689443
0.2273,0.55,0.6417114748288085
0.2121,0.51,0.642597422984449
0.197,0.51,0.6434775425338024
0.2121,0.51,0.642597422984449
0.2121,0.47,0.642597422984449
0.2273,0.51,0.6417114748288085
0.2273,0.59,0.6417114748288085
0.2273,0.59,0.6417114748288085
0.197,0.8,0.6434775425338024
0.1515,0.86,0.6461295583944369
0.1515,0.86,0.6461295583944369
0.1818,0.93,0.644363490689443
0.2273,0.93,0.6417114748288085
0.1515,0.93,0.6461295583944369
0.197,0.86,0.6434775425338024
0.1818,0.93,0.644363490689443
0.197,0.93,0.6434775425338024
0.197,0.86,0.6434775425338024
0.1818,0.86,0.644363490689443
0.1515,0.86,0.6461295583944369
0.1515,0.86,0.6461295583944369
0.1515,0.93,0.6461295583944369
0.1515,0.69,0.6461295583944369
0.1667,0.59,0.6452436102387964
0.1364,0.59,0.6470096779437903
0.1818,0.55,0.644363490689443
0.1818,0.51,0.644363490689443
0.1515,0.47,0.6461295583944369
0.197,0.44,0.6434775425338024
0.1818,0.47,0.644363490689443
0.1667,0.47,0.6452436102387964
0.197,0.44,0.6434775425338024
0.1818,0.47,0.644363490689443
0.1515,0.47,0.6461295583944369
0.1515,0.47,0.6461295583944369
0.1364,0.5,0.6470096779437903
0.1364,0.55,0.6470096779437903
0.1212,0.55,0.6478956260994309
0.1061,0.59,0.6487757456487843
0.1212,0.59,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1212,0.5,0.6478956260994309
0.1515,0.54,0.6461295583944369
0.1515,0.54,0.6461295583944369
0.1364,0.5,0.6470096779437903
0.1212,0.5,0.6478956260994309
0.1364,0.5,0.6470096779437903
0.1667,0.44,0.6452436102387964
0.1667,0.44,0.6452436102387964
0.197,0.41,0.6434775425338024
0.197,0.41,0.6434775425338024
0.2121,0.38,0.642597422984449
0.2121,0.38,0.642597422984449
0.1818,0.4,0.644363490689443
0.1818,0.4,0.644363490689443
0.1515,0.47,0.6461295583944369
0.1515,0.47,0.6461295583944369
0.1212,0.46,0.6478956260994309
0.1212,0.46,0.6478956260994309
0.1364,0.5,0.6470096779437903
0.1364,0.5,0.6470096779437903
0.1212,0.54,0.6478956260994309
0.1212,0.54,0.6478956260994309
0.1364,0.54,0.6470096779437903
0.1364,0.54,0.6470096779437903
0.1818,0.54,0.644363490689443
0.1212,0.74,0.6478956260994309
0.1667,0.68,0.6452436102387964
0.1515,0.69,0.6461295583944369
0.1818,0.55,0.644363490689443
0.1667,0.51,0.6452436102387964
0.197,0.44,0.6434775425338024
0.197,0.37,0.6434775425338024
0.2121,0.41,0.642597422984449
0.2424,0.38,0.6408313552794551
0.2424,0.41,0.6408313552794551
0.2273,0.41,0.6417114748288085
0.2576,0.47,0.6399454071238145
0.197,0.59,0.6434775425338024
0.2424,0.59,0.6408313552794551
