holiday,cnt,Predicted Y
0,16,190.42857989217373
0,40,190.42857989217373
0,32,190.42857989217373
0,13,190.42857989217373
0,1,190.42857989217373
0,1,190.42857989217373
0,2,190.42857989217373
0,3,190.42857989217373
0,8,190.42857989217373
0,14,190.42857989217373
0,36,190.42857989217373
0,56,190.42857989217373
0,84,190.42857989217373
0,94,190.42857989217373
0,106,190.42857989217373
0,110,190.42857989217373
0,93,190.42857989217373
0,67,190.42857989217373
0,35,190.42857989217373
0,37,190.42857989217373
0,36,190.42857989217373
0,34,190.42857989217373
0,28,190.42857989217373
0,39,190.42857989217373
0,17,190.42857989217373
0,17,190.42857989217373
0,9,190.42857989217373
0,6,190.42857989217373
0,3,190.42857989217373
0,2,190.42857989217373
0,1,190.42857989217373
0,8,190.42857989217373
0,20,190.42857989217373
0,53,190.42857989217373
0,70,190.42857989217373
0,93,190.42857989217373
0,75,190.42857989217373
0,59,190.42857989217373
0,74,190.42857989217373
0,76,190.42857989217373
0,65,190.42857989217373
0,53,190.42857989217373
0,30,190.42857989217373
0,22,190.42857989217373
0,31,190.42857989217373
0,9,190.42857989217373
0,8,190.42857989217373
0,5,190.42857989217373
0,2,190.42857989217373
0,1,190.42857989217373
0,3,190.42857989217373
0,30,190.42857989217373
0,64,190.42857989217373
0,154,190.42857989217373
0,88,190.42857989217373
0,44,190.42857989217373
0,51,190.42857989217373
0,61,190.42857989217373
0,61,190.42857989217373
0,77,190.42857989217373
0,72,190.42857989217373
0,76,190.42857989217373
0,157,190.42857989217373
0,157,190.42857989217373
0,110,190.42857989217373
0,52,190.42857989217373
0,52,190.42857989217373
0,20,190.42857989217373
0,12,190.42857989217373
0,5,190.42857989217373
0,2,190.42857989217373
0,1,190.42857989217373
0,2,190.42857989217373
0,4,190.42857989217373
0,36,190.42857989217373
0,94,190.42857989217373
0,179,190.42857989217373
0,100,190.42857989217373
0,42,190.42857989217373
0,57,190.42857989217373
0,78,190.42857989217373
0,97,190.42857989217373
0,63,190.42857989217373
0,65,190.42857989217373
0,83,190.42857989217373
0,212,190.42857989217373
0,182,190.42857989217373
0,112,190.42857989217373
0,54,190.42857989217373
0,48,190.42857989217373
0,35,190.42857989217373
0,11,190.42857989217373
0,6,190.42857989217373
0,6,190.42857989217373
0,2,190.42857989217373
0,2,190.42857989217373
0,3,190.42857989217373
0,33,190.42857989217373
0,88,190.42857989217373
0,195,190.42857989217373
0,115,190.42857989217373
0,57,190.42857989217373
0,46,190.42857989217373
0,79,190.42857989217373
0,71,190.42857989217373
0,62,190.42857989217373
0,62,190.42857989217373
0,89,190.42857989217373
0,190,190.42857989217373
0,169,190.42857989217373
0,132,190.42857989217373
0,89,190.42857989217373
0,43,190.42857989217373
0,42,190.42857989217373
0,19,190.42857989217373
0,11,190.42857989217373
0,4,190.42857989217373
0,2,190.42857989217373
0,1,190.42857989217373
0,4,190.42857989217373
0,36,190.42857989217373
0,95,190.42857989217373
0,219,190.42857989217373
