temp,mnth,Predicted Y
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.24,1,5.612128166858816
0.32,1,5.90028179413153
0.38,1,6.116397014586066
0.36,1,6.0443586077678875
0.42,1,6.260473828222423
0.46,1,6.40455064185878
0.46,1,6.40455064185878
0.44,1,6.332512235040602
0.42,1,6.260473828222423
0.44,1,6.332512235040602
0.42,1,6.260473828222423
0.42,1,6.260473828222423
0.4,1,6.188435421404244
0.4,1,6.188435421404244
0.4,1,6.188435421404244
0.46,1,6.40455064185878
0.46,1,6.40455064185878
0.44,1,6.332512235040602
0.42,1,6.260473828222423
0.46,1,6.40455064185878
0.46,1,6.40455064185878
0.42,1,6.260473828222423
0.4,1,6.188435421404244
0.4,1,6.188435421404244
0.38,1,6.116397014586066
0.36,1,6.0443586077678875
0.36,1,6.0443586077678875
0.36,1,6.0443586077678875
0.36,1,6.0443586077678875
0.36,1,6.0443586077678875
0.34,1,5.972320200949708
0.34,1,5.972320200949708
0.34,1,5.972320200949708
0.36,1,6.0443586077678875
0.32,1,5.90028179413153
0.3,1,5.828243387313352
0.26,1,5.684166573676994
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.14,1,5.2519361327679235
0.14,1,5.2519361327679235
0.14,1,5.2519361327679235
0.16,1,5.323974539586102
0.18,1,5.39601294640428
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.24,1,5.612128166858816
0.26,1,5.684166573676994
0.26,1,5.684166573676994
0.26,1,5.684166573676994
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.18,1,5.39601294640428
0.14,1,5.2519361327679235
0.18,1,5.39601294640428
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.14,1,5.2519361327679235
0.14,1,5.2519361327679235
0.12,1,5.179897725949745
0.12,1,5.179897725949745
0.12,1,5.179897725949745
0.14,1,5.2519361327679235
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.24,1,5.612128166858816
0.26,1,5.684166573676994
0.28,1,5.756204980495173
0.3,1,5.828243387313352
0.28,1,5.756204980495173
0.26,1,5.684166573676994
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.18,1,5.39601294640428
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.26,1,5.684166573676994
0.26,1,5.684166573676994
0.28,1,5.756204980495173
0.3,1,5.828243387313352
0.3,1,5.828243387313352
0.3,1,5.828243387313352
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.24,1,5.612128166858816
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.18,1,5.39601294640428
0.2,1,5.468051353222459
0.18,1,5.39601294640428
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.14,1,5.2519361327679235
0.14,1,5.2519361327679235
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.18,1,5.39601294640428
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.26,1,5.684166573676994
0.26,1,5.684166573676994
0.28,1,5.756204980495173
0.28,1,5.756204980495173
0.26,1,5.684166573676994
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.22,1,5.540089760040638
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.2,1,5.468051353222459
0.16,1,5.323974539586102
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.18,1,5.39601294640428
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.16,1,5.323974539586102
0.18,1,5.39601294640428
0.2,1,5.468051353222459
