hum,mnth,Predicted Y
0.81,1,7.073379920159754
0.8,1,7.044075272628739
0.8,1,7.044075272628739
0.75,1,6.897552034973663
0.75,1,6.897552034973663
0.75,1,6.897552034973663
0.8,1,7.044075272628739
0.86,1,7.219903157814828
0.75,1,6.897552034973663
0.76,1,6.926856682504678
0.76,1,6.926856682504678
0.81,1,7.073379920159754
0.77,1,6.956161330035693
0.72,1,6.809638092380618
0.72,1,6.809638092380618
0.77,1,6.956161330035693
0.82,1,7.102684567690768
0.82,1,7.102684567690768
0.88,1,7.278512452876859
0.88,1,7.278512452876859
0.87,1,7.2492078053458435
0.87,1,7.2492078053458435
0.94,1,7.4543403380629485
0.88,1,7.278512452876859
0.88,1,7.278512452876859
0.94,1,7.4543403380629485
1.0,1,7.630168223249038
0.94,1,7.4543403380629485
0.94,1,7.4543403380629485
0.77,1,6.956161330035693
0.76,1,6.926856682504678
0.71,1,6.780333444849603
0.76,1,6.926856682504678
0.81,1,7.073379920159754
0.71,1,6.780333444849603
0.66,1,6.633810207194529
0.66,1,6.633810207194529
0.76,1,6.926856682504678
0.81,1,7.073379920159754
0.71,1,6.780333444849603
0.57,1,6.370068379415393
0.46,1,6.047717256574228
0.42,1,5.930498666450168
0.39,1,5.842584723857123
0.44,1,5.9891079615121985
0.44,1,5.9891079615121985
0.47,1,6.077021904105243
0.44,1,5.9891079615121985
0.44,1,5.9891079615121985
0.47,1,6.077021904105243
0.47,1,6.077021904105243
0.5,1,6.164935846698288
0.5,1,6.164935846698288
0.5,1,6.164935846698288
0.43,1,5.959803313981183
0.43,1,5.959803313981183
0.4,1,5.871889371388138
0.35,1,5.725366133733063
0.35,1,5.725366133733063
0.3,1,5.5788428960779886
0.3,1,5.5788428960779886
0.3,1,5.5788428960779886
0.3,1,5.5788428960779886
0.32,1,5.637452191140018
0.47,1,6.077021904105243
0.47,1,6.077021904105243
0.64,1,6.575200912132498
0.69,1,6.721724149787573
0.55,1,6.311459084353364
0.55,1,6.311459084353364
0.59,1,6.428677674477424
0.63,1,6.545896264601483
0.63,1,6.545896264601483
0.68,1,6.692419502256558
0.74,1,6.868247387442649
0.74,1,6.868247387442649
0.69,1,6.721724149787573
0.64,1,6.575200912132498
0.69,1,6.721724149787573
0.51,1,6.1942404942293035
0.51,1,6.1942404942293035
0.56,1,6.340763731884378
0.52,1,6.223545141760319
0.52,1,6.223545141760319
0.49,1,6.135631199167273
0.48,1,6.106326551636258
0.48,1,6.106326551636258
0.48,1,6.106326551636258
0.48,1,6.106326551636258
0.64,1,6.575200912132498
0.64,1,6.575200912132498
0.69,1,6.721724149787573
0.64,1,6.575200912132498
0.74,1,6.868247387442649
0.74,1,6.868247387442649
0.48,1,6.106326551636258
0.47,1,6.077021904105243
0.47,1,6.077021904105243
0.43,1,5.959803313981183
0.4,1,5.871889371388138
0.37,1,5.7839754287950935
0.37,1,5.7839754287950935
0.33,1,5.666756838671033
0.33,1,5.666756838671033
0.3,1,5.5788428960779886
0.28,1,5.520233601015958
0.28,1,5.520233601015958
0.28,1,5.520233601015958
0.38,1,5.813280076326108
0.38,1,5.813280076326108
0.38,1,5.813280076326108
0.47,1,6.077021904105243
0.51,1,6.1942404942293035
0.55,1,6.311459084353364
0.47,1,6.077021904105243
0.55,1,6.311459084353364
0.64,1,6.575200912132498
0.64,1,6.575200912132498
0.64,1,6.575200912132498
0.69,1,6.721724149787573
0.63,1,6.545896264601483
0.59,1,6.428677674477424
0.59,1,6.428677674477424
0.51,1,6.1942404942293035
0.47,1,6.077021904105243
