registered,hum,Predicted Y
13,0.81,0.6763878068414397
32,0.8,0.66975352065726
27,0.8,0.6714993854425705
10,0.75,0.677435325712626
1,0.75,0.6805778823261849
1,0.75,0.6805778823261849
0,0.8,0.6809270552832469
2,0.86,0.6802287093691227
7,0.75,0.6784828445838123
6,0.76,0.6788320175408744
24,0.76,0.6725469043137567
30,0.81,0.6704518665713842
55,0.77,0.661722542644832
47,0.72,0.6645159263013287
71,0.72,0.6561357753318385
70,0.77,0.6564849482889006
52,0.82,0.6627700615160182
52,0.82,0.6627700615160182
26,0.88,0.6718485583996325
31,0.88,0.6701026936143222
25,0.87,0.6721977313566947
31,0.87,0.6701026936143222
17,0.94,0.6749911150131914
24,0.88,0.6725469043137567
13,0.88,0.6763878068414397
16,0.94,0.6753402879702535
8,1.0,0.6781336716267502
4,0.94,0.6795303634549986
1,0.94,0.6805778823261849
2,0.77,0.6802287093691227
1,0.76,0.6805778823261849
8,0.71,0.6781336716267502
19,0.76,0.6742927690990672
46,0.81,0.6648650992583908
54,0.71,0.662071715601894
73,0.66,0.6554374294177143
64,0.66,0.6585799860312731
55,0.76,0.661722542644832
55,0.81,0.661722542644832
67,0.71,0.6575324671600868
58,0.57,0.6606750237736457
43,0.46,0.665912618129577
29,0.42,0.6708010395284463
17,0.39,0.6749911150131914
20,0.44,0.6739435961420052
9,0.44,0.6777844986696882
8,0.47,0.6781336716267502
5,0.44,0.6791811904979365
2,0.44,0.6802287093691227
1,0.47,0.6805778823261849
3,0.47,0.6798795364120607
30,0.5,0.6704518665713842
63,0.5,0.6589291589883353
153,0.5,0.6275035928527471
81,0.43,0.6526440457612176
33,0.43,0.669404347700198
41,0.4,0.6666109640437012
48,0.35,0.6641667533442666
53,0.35,0.6624208885589562
66,0.3,0.657881640117149
58,0.3,0.6606750237736457
67,0.3,0.6575324671600868
146,0.3,0.6299478035521817
148,0.32,0.6292494576380576
102,0.47,0.6453114136629137
49,0.47,0.6638175803872045
49,0.64,0.6638175803872045
20,0.69,0.6739435961420052
11,0.55,0.6770861527555639
5,0.55,0.6791811904979365
2,0.59,0.6802287093691227
1,0.63,0.6805778823261849
2,0.63,0.6802287093691227
4,0.68,0.6795303634549986
36,0.74,0.6683568288290117
92,0.74,0.6488031432335346
177,0.69,0.619123441883257
98,0.64,0.6467081054911621
37,0.69,0.6680076558719495
50,0.51,0.6634684074301425
66,0.51,0.657881640117149
79,0.56,0.6533423916753418
54,0.52,0.662071715601894
48,0.52,0.6641667533442666
68,0.49,0.6571832942030248
202,0.48,0.6103941179567047
179,0.48,0.6184250959691328
110,0.48,0.642518030006417
53,0.48,0.6624208885589562
48,0.64,0.6641667533442666
34,0.64,0.6690551747431359
9,0.69,0.6777844986696882
6,0.64,0.6788320175408744
6,0.74,0.6788320175408744
2,0.74,0.6802287093691227
2,0.48,0.6802287093691227
3,0.47,0.6798795364120607
33,0.47,0.669404347700198
87,0.43,0.6505490080188451
192,0.4,0.6138858475273256
109,0.37,0.6428672029634791
53,0.37,0.6624208885589562
34,0.33,0.6690551747431359
74,0.33,0.6550882564606523
65,0.3,0.658230813074211
52,0.28,0.6627700615160182
55,0.28,0.661722542644832
85,0.28,0.6512473539329693
186,0.38,0.6159808852696982
166,0.38,0.62296434441094
127,0.38,0.6365820897363614
82,0.47,0.6522948728041555
40,0.51,0.6669601370007633
41,0.55,0.6666109640437012
18,0.47,0.6746419420561293
11,0.55,0.6770861527555639
4,0.64,0.6795303634549986
2,0.64,0.6802287093691227
1,0.64,0.6805778823261849
4,0.69,0.6795303634549986
36,0.63,0.6683568288290117
95,0.59,0.6477556243623483
216,0.59,0.6055056965578355
116,0.51,0.6404229922640444
42,0.47,0.6662617910866392
57,0.44,0.6610241967307078
78,0.35,0.6536915646324039
55,0.35,0.661722542644832
59,0.36,0.6603258508165836
54,0.36,0.662071715601894
74,0.38,0.6550882564606523
163,0.51,0.6240118632821262
158,0.51,0.6257577280674367
109,0.55,0.6428672029634791
66,0.51,0.657881640117149
48,0.55,0.6641667533442666
51,0.51,0.6631192344730803
19,0.59,0.6742927690990672
13,0.64,0.6763878068414397
5,0.69,0.6791811904979365
1,0.69,0.6805778823261849
1,0.69,0.6805778823261849
5,0.55,0.6791811904979365
26,0.69,0.6718485583996325
76,0.69,0.6543899105465281
190,0.51,0.6145841934414498
125,0.47,0.6372804356504856
47,0.37,0.6645159263013287
48,0.4,0.6641667533442666
50,0.37,0.6634684074301425
64,0.37,0.6585799860312731
43,0.4,0.665912618129577
63,0.37,0.6589291589883353
82,0.37,0.6522948728041555
178,0.37,0.6187742689261949
116,0.4,0.6404229922640444
92,0.55,0.6488031432335346
50,0.47,0.6634684074301425
39,0.47,0.6673093099578254
34,0.43,0.6690551747431359
14,0.51,0.6760386338843777
24,0.51,0.6725469043137567
15,0.55,0.6756894609273155
13,0.55,0.6763878068414397
7,0.55,0.6784828445838123
1,0.55,0.6805778823261849
5,0.74,0.6791811904979365
2,0.74,0.6802287093691227
8,0.74,0.6781336716267502
15,0.93,0.6756894609273155
20,0.93,0.6739435961420052
56,0.8,0.6613733696877698
60,0.69,0.6599766778595215
90,0.59,0.6495014891476588
95,0.44,0.6477556243623483
83,0.32,0.6519456998470934
69,0.32,0.6568341212459627
68,0.29,0.6571832942030248
64,0.37,0.6585799860312731
52,0.39,0.6627700615160182
26,0.36,0.6718485583996325
28,0.36,0.6711502124855084
35,0.39,0.6687060017860738
33,0.36,0.669404347700198
22,0.39,0.673245250227881
24,0.42,0.6725469043137567
12,0.42,0.6767369797985019
11,0.46,0.6770861527555639
4,0.46,0.6795303634549986
1,0.53,0.6805778823261849
1,0.53,0.6805778823261849
1,0.49,0.6805778823261849
5,0.53,0.6791811904979365
10,0.49,0.677435325712626
19,0.46,0.6742927690990672
49,0.43,0.6638175803872045
47,0.4,0.6645159263013287
79,0.37,0.6533423916753418
69,0.34,0.6568341212459627
64,0.32,0.6585799860312731
77,0.35,0.654040737589466
79,0.34,0.6533423916753418
59,0.37,0.6603258508165836
44,0.4,0.665563445172515
40,0.43,0.6669601370007633
38,0.46,0.6676584829148875
19,0.46,0.6742927690990672
10,0.46,0.677435325712626
6,0.5,0.6788320175408744
3,0.5,0.6798795364120607
0,0.5,0.6809270552832469
3,0.5,0.6798795364120607
1,0.5,0.6805778823261849
2,0.54,0.6802287093691227
3,0.54,0.6798795364120607
31,0.5,0.6701026936143222
75,0.5,0.6547390835035901
184,0.5,0.6166792311838223
92,0.5,0.6488031432335346
31,0.5,0.6701026936143222
28,0.47,0.6711502124855084
47,0.4,0.6645159263013287
50,0.4,0.6634684074301425
47,0.4,0.6645159263013287
43,0.4,0.665912618129577
70,0.4,0.6564849482889006
174,0.4,0.6201709607544432
154,0.4,0.627154419895685
92,0.47,0.6488031432335346
73,0.5,0.6554374294177143
37,0.59,0.6680076558719495
22,0.59,0.673245250227881
18,0.59,0.6746419420561293
10,0.59,0.677435325712626
3,0.59,0.6798795364120607
3,0.55,0.6798795364120607
6,0.55,0.6788320175408744
27,0.55,0.6714993854425705
97,0.55,0.6470572784482241
214,0.51,0.6062040424719596
127,0.51,0.6365820897363614
51,0.51,0.6631192344730803
31,0.47,0.6701026936143222
55,0.51,0.661722542644832
46,0.59,0.6648650992583908
60,0.59,0.6599766778595215
45,0.8,0.6652142722154528
72,0.86,0.6557866023747765
130,0.86,0.6355345708651752
94,0.93,0.6481047973194104
51,0.93,0.6631192344730803
32,0.93,0.66975352065726
20,0.86,0.6739435961420052
28,0.93,0.6711502124855084
18,0.93,0.6746419420561293
7,0.86,0.6784828445838123
6,0.86,0.6788320175408744
1,0.86,0.6805778823261849
5,0.86,0.6791811904979365
16,0.93,0.6753402879702535
54,0.69,0.662071715601894
125,0.59,0.6372804356504856
78,0.59,0.6536915646324039
39,0.55,0.6673093099578254
32,0.51,0.66975352065726
52,0.47,0.6627700615160182
49,0.44,0.6638175803872045
44,0.47,0.665563445172515
48,0.47,0.6641667533442666
63,0.44,0.6589291589883353
139,0.47,0.6323920142516164
135,0.47,0.6337887060798647
82,0.47,0.6522948728041555
54,0.5,0.662071715601894
57,0.55,0.6610241967307078
32,0.55,0.66975352065726
19,0.59,0.6742927690990672
6,0.59,0.6788320175408744
2,0.5,0.6802287093691227
2,0.5,0.6802287093691227
