instant,workingday,Predicted Y
1,0,0.6854737384927684
2,0,0.6854734216307911
3,0,0.6854731047688136
4,0,0.6854727879068363
5,0,0.6854724710448589
6,0,0.6854721541828815
7,0,0.6854718373209041
8,0,0.6854715204589268
9,0,0.6854712035969494
10,0,0.6854708867349719
11,0,0.6854705698729946
12,0,0.6854702530110172
13,0,0.6854699361490398
14,0,0.6854696192870624
15,0,0.6854693024250851
16,0,0.6854689855631076
17,0,0.6854686687011303
18,0,0.6854683518391529
19,0,0.6854680349771756
20,0,0.6854677181151981
21,0,0.6854674012532207
22,0,0.6854670843912434
23,0,0.6854667675292659
24,0,0.6854664506672886
25,0,0.6854661338053112
26,0,0.6854658169433339
27,0,0.6854655000813564
28,0,0.6854651832193791
29,0,0.6854648663574017
30,0,0.6854645494954242
31,0,0.6854642326334469
32,0,0.6854639157714695
33,0,0.6854635989094922
34,0,0.6854632820475147
35,0,0.6854629651855374
36,0,0.68546264832356
37,0,0.6854623314615826
38,0,0.6854620145996052
39,0,0.6854616977376278
40,0,0.6854613808756505
41,0,0.685461064013673
42,0,0.6854607471516957
43,0,0.6854604302897183
44,0,0.6854601134277409
45,0,0.6854597965657635
46,0,0.6854594797037862
47,0,0.6854591628418087
48,1,0.6854588459798313
49,1,0.685458529117854
50,1,0.6854582122558766
51,1,0.6854578953938992
52,1,0.6854575785319218
53,1,0.6854572616699445
54,1,0.685456944807967
55,1,0.6854566279459897
56,1,0.6854563110840123
57,1,0.685455994222035
58,1,0.6854556773600575
59,1,0.6854553604980801
60,1,0.6854550436361028
61,1,0.6854547267741253
62,1,0.685454409912148
63,1,0.6854540930501706
64,1,0.6854537761881933
65,1,0.6854534593262158
66,1,0.6854531424642385
67,1,0.6854528256022611
68,1,0.6854525087402836
69,1,0.6854521918783063
70,1,0.6854518750163289
71,1,0.6854515581543515
72,1,0.6854512412923741
73,1,0.6854509244303968
74,1,0.6854506075684194
75,1,0.685450290706442
76,1,0.6854499738444646
77,1,0.6854496569824872
78,1,0.6854493401205098
79,1,0.6854490232585324
80,1,0.6854487063965551
81,1,0.6854483895345777
82,1,0.6854480726726003
83,1,0.6854477558106229
84,1,0.6854474389486456
85,1,0.6854471220866681
86,1,0.6854468052246908
87,1,0.6854464883627134
88,1,0.685446171500736
89,1,0.6854458546387586
90,1,0.6854455377767812
91,1,0.6854452209148039
92,1,0.6854449040528264
93,1,0.6854445871908491
94,1,0.6854442703288717
95,1,0.6854439534668944
96,1,0.6854436366049169
97,1,0.6854433197429395
98,1,0.6854430028809622
99,1,0.6854426860189847
100,1,0.6854423691570074
101,1,0.68544205229503
102,1,0.6854417354330526
103,1,0.6854414185710752
104,1,0.6854411017090979
105,1,0.6854407848471205
106,1,0.685440467985143
107,1,0.6854401511231657
108,1,0.6854398342611883
109,1,0.6854395173992109
110,1,0.6854392005372335
111,1,0.6854388836752562
112,1,0.6854385668132787
113,1,0.6854382499513014
114,1,0.685437933089324
115,1,0.6854376162273466
