casual,cnt,Predicted Y
3,16,105.9680873780252
8,40,118.74419861153669
5,32,111.0785318714298
3,13,105.9680873780252
0,1,98.30242063791832
0,1,98.30242063791832
2,2,103.41286513132292
1,3,100.85764288462062
1,8,100.85764288462062
8,14,118.74419861153669
12,36,128.96508759834586
26,56,164.73819905217803
29,84,172.40386579228493
47,94,218.39786623292625
35,106,187.73519927249868
40,110,200.51131050601018
41,93,203.06653275271248
15,67,136.63075433845276
9,35,121.29942085823899
6,37,113.63375411813209
11,36,126.40986535164357
3,34,105.9680873780252
11,28,126.40986535164357
15,39,136.63075433845276
4,17,108.5233096247275
1,17,100.85764288462062
1,9,100.85764288462062
2,6,103.41286513132292
2,3,103.41286513132292
0,2,98.30242063791832
0,1,98.30242063791832
0,8,98.30242063791832
1,20,100.85764288462062
7,53,116.18897636483439
16,70,139.18597658515506
20,93,149.40686557196426
11,75,126.40986535164357
4,59,108.5233096247275
19,74,146.85164332526193
9,76,121.29942085823899
7,65,116.18897636483439
10,53,123.85464310494129
1,30,100.85764288462062
5,22,111.0785318714298
11,31,126.40986535164357
0,9,98.30242063791832
0,8,98.30242063791832
0,5,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,3,98.30242063791832
0,30,98.30242063791832
1,64,100.85764288462062
1,154,100.85764288462062
7,88,116.18897636483439
11,44,126.40986535164357
10,51,123.85464310494129
13,61,131.5203098450482
8,61,118.74419861153669
11,77,126.40986535164357
14,72,134.07553209175046
9,76,121.29942085823899
11,157,126.40986535164357
9,157,121.29942085823899
8,110,118.74419861153669
3,52,105.9680873780252
3,52,105.9680873780252
0,20,98.30242063791832
1,12,100.85764288462062
0,5,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,2,98.30242063791832
0,4,98.30242063791832
0,36,98.30242063791832
2,94,103.41286513132292
2,179,103.41286513132292
2,100,103.41286513132292
5,42,111.0785318714298
7,57,116.18897636483439
12,78,128.96508759834586
18,97,144.29642107855966
9,63,121.29942085823899
17,65,141.74119883185736
15,83,136.63075433845276
10,212,123.85464310494129
3,182,105.9680873780252
2,112,103.41286513132292
1,54,100.85764288462062
0,48,98.30242063791832
1,35,100.85764288462062
2,11,103.41286513132292
0,6,98.30242063791832
0,6,98.30242063791832
0,2,98.30242063791832
0,2,98.30242063791832
0,3,98.30242063791832
0,33,98.30242063791832
1,88,100.85764288462062
3,195,105.9680873780252
6,115,113.63375411813209
4,57,108.5233096247275
12,46,128.96508759834586
5,79,111.0785318714298
6,71,113.63375411813209
10,62,123.85464310494129
7,62,116.18897636483439
4,89,108.5233096247275
4,190,108.5233096247275
3,169,105.9680873780252
5,132,111.0785318714298
7,89,116.18897636483439
3,43,105.9680873780252
1,42,100.85764288462062
1,19,100.85764288462062
0,11,98.30242063791832
0,4,98.30242063791832
0,2,98.30242063791832
0,1,98.30242063791832
0,4,98.30242063791832
0,36,98.30242063791832
0,95,98.30242063791832
3,219,105.9680873780252
6,122,113.63375411813209
3,45,105.9680873780252
2,59,103.41286513132292
6,84,113.63375411813209
12,67,128.96508759834586
11,70,126.40986535164357
8,62,118.74419861153669
12,86,128.96508759834586
9,172,121.29942085823899
5,163,111.0785318714298
3,112,105.9680873780252
3,69,105.9680873780252
0,48,98.30242063791832
1,52,100.85764288462062
4,23,108.5233096247275
4,17,108.5233096247275
2,7,103.41286513132292
0,1,98.30242063791832
0,1,98.30242063791832
0,5,98.30242063791832
8,34,118.74419861153669
8,84,118.74419861153669
20,210,149.40686557196426
9,134,121.29942085823899
16,63,139.18597658515506
19,67,146.85164332526193
