workingday,instant,Predicted Y
0,1,8715.136017410228
0,2,8715.136017410228
0,3,8715.136017410228
0,4,8715.136017410228
0,5,8715.136017410228
0,6,8715.136017410228
0,7,8715.136017410228
0,8,8715.136017410228
0,9,8715.136017410228
0,10,8715.136017410228
0,11,8715.136017410228
0,12,8715.136017410228
0,13,8715.136017410228
0,14,8715.136017410228
0,15,8715.136017410228
0,16,8715.136017410228
0,17,8715.136017410228
0,18,8715.136017410228
0,19,8715.136017410228
0,20,8715.136017410228
0,21,8715.136017410228
0,22,8715.136017410228
0,23,8715.136017410228
0,24,8715.136017410228
0,25,8715.136017410228
0,26,8715.136017410228
0,27,8715.136017410228
0,28,8715.136017410228
0,29,8715.136017410228
0,30,8715.136017410228
0,31,8715.136017410228
0,32,8715.136017410228
0,33,8715.136017410228
0,34,8715.136017410228
0,35,8715.136017410228
0,36,8715.136017410228
0,37,8715.136017410228
0,38,8715.136017410228
0,39,8715.136017410228
0,40,8715.136017410228
0,41,8715.136017410228
0,42,8715.136017410228
0,43,8715.136017410228
0,44,8715.136017410228
0,45,8715.136017410228
0,46,8715.136017410228
0,47,8715.136017410228
1,48,8678.318584070796
1,49,8678.318584070796
1,50,8678.318584070796
1,51,8678.318584070796
1,52,8678.318584070796
1,53,8678.318584070796
1,54,8678.318584070796
1,55,8678.318584070796
1,56,8678.318584070796
1,57,8678.318584070796
1,58,8678.318584070796
1,59,8678.318584070796
1,60,8678.318584070796
1,61,8678.318584070796
1,62,8678.318584070796
1,63,8678.318584070796
1,64,8678.318584070796
1,65,8678.318584070796
1,66,8678.318584070796
1,67,8678.318584070796
1,68,8678.318584070796
1,69,8678.318584070796
1,70,8678.318584070796
1,71,8678.318584070796
1,72,8678.318584070796
1,73,8678.318584070796
1,74,8678.318584070796
1,75,8678.318584070796
1,76,8678.318584070796
1,77,8678.318584070796
1,78,8678.318584070796
1,79,8678.318584070796
1,80,8678.318584070796
1,81,8678.318584070796
1,82,8678.318584070796
1,83,8678.318584070796
1,84,8678.318584070796
1,85,8678.318584070796
1,86,8678.318584070796
1,87,8678.318584070796
1,88,8678.318584070796
1,89,8678.318584070796
1,90,8678.318584070796
1,91,8678.318584070796
1,92,8678.318584070796
1,93,8678.318584070796
1,94,8678.318584070796
