mnth,weathersit,Predicted Y
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,2,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,3,1.4197239595925448
1,3,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,3,1.4197239595925448
1,2,1.4197239595925448
1,3,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,2,1.4197239595925448
1,3,1.4197239595925448
1,3,1.4197239595925448
1,3,1.4197239595925448
1,1,1.4197239595925448
1,2,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,2,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
1,1,1.4197239595925448
