yr,casual,Predicted Y
0,3,28.60057836899942
0,8,28.60057836899942
0,5,28.60057836899942
0,3,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,2,28.60057836899942
0,1,28.60057836899942
0,1,28.60057836899942
0,8,28.60057836899942
0,12,28.60057836899942
0,26,28.60057836899942
0,29,28.60057836899942
0,47,28.60057836899942
0,35,28.60057836899942
0,40,28.60057836899942
0,41,28.60057836899942
0,15,28.60057836899942
0,9,28.60057836899942
0,6,28.60057836899942
0,11,28.60057836899942
0,3,28.60057836899942
0,11,28.60057836899942
0,15,28.60057836899942
0,4,28.60057836899942
0,1,28.60057836899942
0,1,28.60057836899942
0,2,28.60057836899942
0,2,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,1,28.60057836899942
0,7,28.60057836899942
0,16,28.60057836899942
0,20,28.60057836899942
0,11,28.60057836899942
0,4,28.60057836899942
0,19,28.60057836899942
0,9,28.60057836899942
0,7,28.60057836899942
0,10,28.60057836899942
0,1,28.60057836899942
0,5,28.60057836899942
0,11,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,1,28.60057836899942
0,1,28.60057836899942
0,7,28.60057836899942
0,11,28.60057836899942
0,10,28.60057836899942
0,13,28.60057836899942
0,8,28.60057836899942
0,11,28.60057836899942
0,14,28.60057836899942
0,9,28.60057836899942
0,11,28.60057836899942
0,9,28.60057836899942
0,8,28.60057836899942
0,3,28.60057836899942
0,3,28.60057836899942
0,0,28.60057836899942
0,1,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,2,28.60057836899942
0,2,28.60057836899942
0,2,28.60057836899942
0,5,28.60057836899942
0,7,28.60057836899942
0,12,28.60057836899942
0,18,28.60057836899942
0,9,28.60057836899942
0,17,28.60057836899942
0,15,28.60057836899942
0,10,28.60057836899942
0,3,28.60057836899942
0,2,28.60057836899942
0,1,28.60057836899942
0,0,28.60057836899942
0,1,28.60057836899942
0,2,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,1,28.60057836899942
0,3,28.60057836899942
0,6,28.60057836899942
0,4,28.60057836899942
0,12,28.60057836899942
0,5,28.60057836899942
0,6,28.60057836899942
0,10,28.60057836899942
0,7,28.60057836899942
0,4,28.60057836899942
0,4,28.60057836899942
0,3,28.60057836899942
0,5,28.60057836899942
0,7,28.60057836899942
0,3,28.60057836899942
0,1,28.60057836899942
0,1,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,0,28.60057836899942
0,3,28.60057836899942
