cnt,season,Predicted Y
16,1,2.3131574502982026
40,1,2.3392355001023803
32,1,2.330542816834321
13,1,2.3098976940726805
1,1,2.2968586691705917
1,1,2.2968586691705917
2,1,2.297945254579099
3,1,2.2990318399876064
8,1,2.3044647670301437
14,1,2.310984279481188
36,1,2.334889158468351
56,1,2.3566208666384987
84,1,2.387045258076706
94,1,2.39791111216178
106,1,2.4109501370638684
110,1,2.4152964786978983
93,1,2.3968245267532726
67,1,2.36857330613208
35,1,2.333802573059843
37,1,2.3359757438768582
36,1,2.334889158468351
34,1,2.3327159876513357
28,1,2.3261964752002915
39,1,2.338148914693873
17,1,2.31424403570671
17,1,2.31424403570671
9,1,2.305551352438651
6,1,2.3022915962131285
3,1,2.2990318399876064
2,1,2.297945254579099
1,1,2.2968586691705917
8,1,2.3044647670301437
20,1,2.317503791932232
53,1,2.3533611104129766
70,1,2.3718330623576023
93,1,2.3968245267532726
75,1,2.377265989400139
59,1,2.359880622864021
74,1,2.3761794039916317
76,1,2.3783525748086465
65,1,2.3664001353150654
53,1,2.3533611104129766
30,1,2.3283696460173062
22,1,2.3196769627492473
31,1,2.3294562314258136
9,1,2.305551352438651
8,1,2.3044647670301437
5,1,2.301205010804621
2,1,2.297945254579099
1,1,2.2968586691705917
3,1,2.2990318399876064
30,1,2.3283696460173062
64,1,2.365313549906558
154,1,2.463106236672224
88,1,2.3913915997107353
44,1,2.34358184173641
51,1,2.351187939595962
61,1,2.3620537936810355
61,1,2.3620537936810355
77,1,2.379439160217154
72,1,2.374006233174617
76,1,2.3783525748086465
157,1,2.466365992897746
157,1,2.466365992897746
110,1,2.4152964786978983
52,1,2.352274525004469
52,1,2.352274525004469
20,1,2.317503791932232
12,1,2.308811108664173
5,1,2.301205010804621
2,1,2.297945254579099
1,1,2.2968586691705917
2,1,2.297945254579099
4,1,2.3001184253961138
36,1,2.334889158468351
94,1,2.39791111216178
179,1,2.490270871884909
100,1,2.404430624612824
42,1,2.341408670919395
57,1,2.357707452047006
78,1,2.380525745625661
97,1,2.401170868387302
63,1,2.3642269644980503
65,1,2.3664001353150654
83,1,2.3859586726681985
212,1,2.526128190365653
182,1,2.493530628110431
112,1,2.417469649514913
54,1,2.354447695821484
48,1,2.3479281833704393
35,1,2.333802573059843
11,1,2.307724523255666
6,1,2.3022915962131285
6,1,2.3022915962131285
2,1,2.297945254579099
2,1,2.297945254579099
3,1,2.2990318399876064
33,1,2.3316294022428283
88,1,2.3913915997107353
195,1,2.5076562384210273
115,1,2.420729405740435
57,1,2.357707452047006
46,1,2.3457550125534246
79,1,2.381612331034169
71,1,2.3729196477661096
62,1,2.363140379089543
62,1,2.363140379089543
89,1,2.3924781851192427
190,1,2.50222331137849
169,1,2.479405017799835
132,1,2.439201357685061
89,1,2.3924781851192427
43,1,2.3424952563279025
42,1,2.341408670919395
19,1,2.3164172065237247
11,1,2.307724523255666
4,1,2.3001184253961138
2,1,2.297945254579099
1,1,2.2968586691705917
4,1,2.3001184253961138
36,1,2.334889158468351
95,1,2.3989976975702874
219,1,2.5337342882252045
122,1,2.428335503599987
45,1,2.344668427144917
59,1,2.359880622864021
84,1,2.387045258076706
67,1,2.36857330613208
70,1,2.3718330623576023
62,1,2.363140379089543
86,1,2.3892184288937206
172,1,2.482664774025357
163,1,2.47288550534879
112,1,2.417469649514913
69,1,2.370746476949095
48,1,2.3479281833704393
52,1,2.352274525004469
23,1,2.3207635481577547
17,1,2.31424403570671
7,1,2.303378181621636
1,1,2.2968586691705917
1,1,2.2968586691705917
5,1,2.301205010804621
34,1,2.3327159876513357
84,1,2.387045258076706
210,1,2.523955019548638
134,1,2.4413745285020756
63,1,2.3642269644980503
67,1,2.36857330613208
59,1,2.359880622864021
73,1,2.3750928185831244
50,1,2.3501013541874545
72,1,2.374006233174617
87,1,2.390305014302228
187,1,2.498963555152968
123,1,2.4294220890084945
95,1,2.3989976975702874
51,1,2.351187939595962
39,1,2.338148914693873
36,1,2.334889158468351
15,1,2.3120708648896953
25,1,2.3229367189747694
16,1,2.3131574502982026
16,1,2.3131574502982026
7,1,2.303378181621636
1,1,2.2968586691705917
5,1,2.301205010804621
2,1,2.297945254579099
9,1,2.305551352438651
15,1,2.3120708648896953
20,1,2.317503791932232
61,1,2.3620537936810355
62,1,2.363140379089543
98,1,2.4022574537958095
102,1,2.406603795429839
95,1,2.3989976975702874
74,1,2.3761794039916317
76,1,2.3783525748086465
69,1,2.370746476949095
55,1,2.3555342812299913
30,1,2.3283696460173062
28,1,2.3261964752002915
37,1,2.3359757438768582
34,1,2.3327159876513357
22,1,2.3196769627492473
25,1,2.3229367189747694
12,1,2.308811108664173
11,1,2.307724523255666
4,1,2.3001184253961138
1,1,2.2968586691705917
1,1,2.2968586691705917
1,1,2.2968586691705917
6,1,2.3022915962131285
10,1,2.3066379378471584
19,1,2.3164172065237247
49,1,2.3490147687789467
49,1,2.3490147687789467
83,1,2.3859586726681985
75,1,2.377265989400139
72,1,2.374006233174617
82,1,2.384872087259691
92,1,2.395737941344765
62,1,2.363140379089543
48,1,2.3479281833704393
41,1,2.3403220855108877
38,1,2.3370623292853656
20,1,2.317503791932232
15,1,2.3120708648896953
6,1,2.3022915962131285
5,1,2.301205010804621
1,1,2.2968586691705917
3,1,2.2990318399876064
1,1,2.2968586691705917
3,1,2.2990318399876064
3,1,2.2990318399876064
31,1,2.3294562314258136
77,1,2.379439160217154
188,1,2.5000501405614752
94,1,2.39791111216178
31,1,2.3294562314258136
30,1,2.3283696460173062
52,1,2.352274525004469
54,1,2.354447695821484
47,1,2.346841597961932
45,1,2.344668427144917
74,1,2.3761794039916317
178,1,2.4891842864764016
155,1,2.464192822080731
