hum,yr,Predicted Y
0.81,0,0.46298628973523104
0.8,0,0.46515152585525266
0.8,0,0.46515152585525266
0.75,0,0.47597770645536086
0.75,0,0.47597770645536086
0.75,0,0.47597770645536086
0.8,0,0.46515152585525266
0.86,0,0.45216010913512283
0.75,0,0.47597770645536086
0.76,0,0.47381247033533924
0.76,0,0.47381247033533924
0.81,0,0.46298628973523104
0.77,0,0.47164723421531757
0.72,0,0.48247341481542577
0.72,0,0.48247341481542577
0.77,0,0.47164723421531757
0.82,0,0.4608210536152094
0.82,0,0.4608210536152094
0.88,0,0.44782963689507954
0.88,0,0.44782963689507954
0.87,0,0.4499948730151012
0.87,0,0.4499948730151012
0.94,0,0.4348382201749497
0.88,0,0.44782963689507954
0.88,0,0.44782963689507954
0.94,0,0.4348382201749497
1.0,0,0.42184680345481984
0.94,0,0.4348382201749497
0.94,0,0.4348382201749497
0.77,0,0.47164723421531757
0.76,0,0.47381247033533924
0.71,0,0.48463865093544745
0.76,0,0.47381247033533924
0.81,0,0.46298628973523104
0.71,0,0.48463865093544745
0.66,0,0.4954648315355556
0.66,0,0.4954648315355556
0.76,0,0.47381247033533924
0.81,0,0.46298628973523104
0.71,0,0.48463865093544745
0.57,0,0.5149519566157503
0.46,0,0.5387695539359884
0.42,0,0.5474304984160749
0.39,0,0.5539262067761399
0.44,0,0.5431000261760317
0.44,0,0.5431000261760317
0.47,0,0.5366043178159667
0.44,0,0.5431000261760317
0.44,0,0.5431000261760317
0.47,0,0.5366043178159667
0.47,0,0.5366043178159667
0.5,0,0.5301086094559019
0.5,0,0.5301086094559019
0.5,0,0.5301086094559019
0.43,0,0.5452652622960533
0.43,0,0.5452652622960533
0.4,0,0.5517609706561182
0.35,0,0.5625871512562264
0.35,0,0.5625871512562264
0.3,0,0.5734133318563346
0.3,0,0.5734133318563346
0.3,0,0.5734133318563346
0.3,0,0.5734133318563346
0.32,0,0.5690828596162913
0.47,0,0.5366043178159667
0.47,0,0.5366043178159667
0.64,0,0.4997953037755989
0.69,0,0.4889691231754907
0.55,0,0.5192824288557937
0.55,0,0.5192824288557937
0.59,0,0.5106214843757071
0.63,0,0.5019605398956205
0.63,0,0.5019605398956205
0.68,0,0.4911343592955123
0.74,0,0.4781429425753825
0.74,0,0.4781429425753825
0.69,0,0.4889691231754907
0.64,0,0.4997953037755989
0.69,0,0.4889691231754907
0.51,0,0.5279433733358802
0.51,0,0.5279433733358802
0.56,0,0.517117192735772
0.52,0,0.5257781372158585
0.52,0,0.5257781372158585
0.49,0,0.5322738455759235
0.48,0,0.5344390816959451
0.48,0,0.5344390816959451
0.48,0,0.5344390816959451
0.48,0,0.5344390816959451
0.64,0,0.4997953037755989
0.64,0,0.4997953037755989
0.69,0,0.4889691231754907
0.64,0,0.4997953037755989
0.74,0,0.4781429425753825
0.74,0,0.4781429425753825
0.48,0,0.5344390816959451
0.47,0,0.5366043178159667
0.47,0,0.5366043178159667
0.43,0,0.5452652622960533
0.4,0,0.5517609706561182
0.37,0,0.5582566790161831
