weathersit,cnt,Predicted Y
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
2,1,192.023628129312
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
3,1,196.47893782688038
3,1,196.47893782688038
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
3,1,196.47893782688038
2,1,192.023628129312
3,1,196.47893782688038
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
3,1,196.47893782688038
3,1,196.47893782688038
3,1,196.47893782688038
1,1,187.56831843174362
2,1,192.023628129312
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
2,1,192.023628129312
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
1,1,187.56831843174362
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
2,1,192.023628129312
1,1,187.56831843174362
2,1,192.023628129312
1,1,187.56831843174362
