season,casual,Predicted Y
1,3,27.63597327617935
1,8,27.63597327617935
1,5,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,8,27.63597327617935
1,12,27.63597327617935
1,26,27.63597327617935
1,29,27.63597327617935
1,47,27.63597327617935
1,35,27.63597327617935
1,40,27.63597327617935
1,41,27.63597327617935
1,15,27.63597327617935
1,9,27.63597327617935
1,6,27.63597327617935
1,11,27.63597327617935
1,3,27.63597327617935
1,11,27.63597327617935
1,15,27.63597327617935
1,4,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,2,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,7,27.63597327617935
1,16,27.63597327617935
1,20,27.63597327617935
1,11,27.63597327617935
1,4,27.63597327617935
1,19,27.63597327617935
1,9,27.63597327617935
1,7,27.63597327617935
1,10,27.63597327617935
1,1,27.63597327617935
1,5,27.63597327617935
1,11,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,7,27.63597327617935
1,11,27.63597327617935
1,10,27.63597327617935
1,13,27.63597327617935
1,8,27.63597327617935
1,11,27.63597327617935
1,14,27.63597327617935
1,9,27.63597327617935
1,11,27.63597327617935
1,9,27.63597327617935
1,8,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,2,27.63597327617935
1,2,27.63597327617935
1,5,27.63597327617935
1,7,27.63597327617935
1,12,27.63597327617935
1,18,27.63597327617935
1,9,27.63597327617935
1,17,27.63597327617935
1,15,27.63597327617935
1,10,27.63597327617935
1,3,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,3,27.63597327617935
1,6,27.63597327617935
1,4,27.63597327617935
1,12,27.63597327617935
1,5,27.63597327617935
1,6,27.63597327617935
1,10,27.63597327617935
1,7,27.63597327617935
1,4,27.63597327617935
1,4,27.63597327617935
1,3,27.63597327617935
1,5,27.63597327617935
1,7,27.63597327617935
1,3,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,3,27.63597327617935
1,6,27.63597327617935
1,3,27.63597327617935
1,2,27.63597327617935
1,6,27.63597327617935
1,12,27.63597327617935
1,11,27.63597327617935
1,8,27.63597327617935
1,12,27.63597327617935
1,9,27.63597327617935
1,5,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,4,27.63597327617935
1,4,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,8,27.63597327617935
1,8,27.63597327617935
1,20,27.63597327617935
1,9,27.63597327617935
1,16,27.63597327617935
1,19,27.63597327617935
1,9,27.63597327617935
1,9,27.63597327617935
1,7,27.63597327617935
1,9,27.63597327617935
1,5,27.63597327617935
1,9,27.63597327617935
1,7,27.63597327617935
1,3,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,5,27.63597327617935
1,2,27.63597327617935
1,8,27.63597327617935
1,7,27.63597327617935
1,12,27.63597327617935
1,5,27.63597327617935
1,8,27.63597327617935
1,5,27.63597327617935
1,3,27.63597327617935
1,4,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,6,27.63597327617935
1,8,27.63597327617935
1,5,27.63597327617935
1,13,27.63597327617935
1,3,27.63597327617935
1,4,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,5,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,5,27.63597327617935
1,4,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,4,27.63597327617935
1,1,27.63597327617935
1,3,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,4,27.63597327617935
1,2,27.63597327617935
1,6,27.63597327617935
1,3,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,6,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,3,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,5,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,5,27.63597327617935
1,2,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,3,27.63597327617935
1,2,27.63597327617935
1,3,27.63597327617935
1,5,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,3,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,4,27.63597327617935
1,6,27.63597327617935
1,2,27.63597327617935
1,4,27.63597327617935
1,5,27.63597327617935
1,9,27.63597327617935
1,3,27.63597327617935
1,4,27.63597327617935
1,5,27.63597327617935
1,3,27.63597327617935
1,0,27.63597327617935
1,4,27.63597327617935
1,2,27.63597327617935
1,1,27.63597327617935
1,3,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,2,27.63597327617935
1,2,27.63597327617935
1,18,27.63597327617935
1,15,27.63597327617935
1,21,27.63597327617935
1,26,27.63597327617935
1,21,27.63597327617935
1,33,27.63597327617935
1,29,27.63597327617935
1,15,27.63597327617935
1,14,27.63597327617935
1,6,27.63597327617935
1,6,27.63597327617935
1,0,27.63597327617935
1,5,27.63597327617935
1,6,27.63597327617935
1,4,27.63597327617935
1,3,27.63597327617935
1,9,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,3,27.63597327617935
1,8,27.63597327617935
1,23,27.63597327617935
1,29,27.63597327617935
1,23,27.63597327617935
1,22,27.63597327617935
1,35,27.63597327617935
1,22,27.63597327617935
1,23,27.63597327617935
1,11,27.63597327617935
1,14,27.63597327617935
1,7,27.63597327617935
1,6,27.63597327617935
1,2,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,1,27.63597327617935
1,0,27.63597327617935
1,0,27.63597327617935
1,4,27.63597327617935
1,3,27.63597327617935
