cnt,weekday,Predicted Y
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,6,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,0,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,1,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,2,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,3,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
1,4,3.0051858750905667
