windspeed,instant,Predicted Y
0.0,1,1202.3763697546938
0.0,2,1202.3763697546938
0.0,3,1202.3763697546938
0.0,4,1202.3763697546938
0.0,5,1202.3763697546938
0.0,6,1202.3763697546938
0.0,7,1202.3763697546938
0.0,8,1202.3763697546938
0.0,9,1202.3763697546938
0.0,10,1202.3763697546938
0.0,11,1202.3763697546938
0.0,12,1202.3763697546938
0.0,13,1202.3763697546938
0.0,14,1202.3763697546938
0.0,15,1202.3763697546938
0.0,16,1202.3763697546938
0.0,17,1202.3763697546938
0.0,18,1202.3763697546938
0.0,19,1202.3763697546938
0.0,20,1202.3763697546938
0.0,21,1202.3763697546938
0.0,22,1202.3763697546938
0.0,23,1202.3763697546938
0.0,24,1202.3763697546938
0.0,25,1202.3763697546938
0.0,26,1202.3763697546938
0.0,27,1202.3763697546938
0.0,28,1202.3763697546938
0.0,29,1202.3763697546938
0.0,30,1202.3763697546938
0.0,31,1202.3763697546938
0.0,32,1202.3763697546938
0.0,33,1202.3763697546938
0.0,34,1202.3763697546938
0.0,35,1202.3763697546938
0.0,36,1202.3763697546938
0.0,37,1202.3763697546938
0.0,38,1202.3763697546938
0.0,39,1202.3763697546938
0.0,40,1202.3763697546938
0.0,41,1202.3763697546938
0.0,42,1202.3763697546938
0.0,43,1202.3763697546938
0.0,44,1202.3763697546938
0.0,45,1202.3763697546938
0.0,46,1202.3763697546938
0.0,47,1202.3763697546938
0.0,48,1202.3763697546938
0.0,49,1202.3763697546938
0.0,50,1202.3763697546938
0.0,51,1202.3763697546938
0.0,52,1202.3763697546938
0.0,53,1202.3763697546938
0.0,54,1202.3763697546938
0.0,55,1202.3763697546938
0.0,56,1202.3763697546938
0.0,57,1202.3763697546938
0.0,58,1202.3763697546938
0.0,59,1202.3763697546938
0.0,60,1202.3763697546938
0.0,61,1202.3763697546938
0.0,62,1202.3763697546938
0.0,63,1202.3763697546938
0.0,64,1202.3763697546938
0.0,65,1202.3763697546938
0.0,66,1202.3763697546938
0.0,67,1202.3763697546938
0.0,68,1202.3763697546938
0.0,69,1202.3763697546938
0.0,70,1202.3763697546938
0.0,71,1202.3763697546938
0.0,72,1202.3763697546938
0.0,73,1202.3763697546938
0.0,74,1202.3763697546938
0.0,75,1202.3763697546938
0.0,76,1202.3763697546938
0.0,77,1202.3763697546938
0.0,78,1202.3763697546938
0.0,79,1202.3763697546938
0.0,80,1202.3763697546938
0.0,81,1202.3763697546938
0.0,82,1202.3763697546938
0.0,83,1202.3763697546938
0.0,84,1202.3763697546938
0.0,85,1202.3763697546938
0.0,86,1202.3763697546938
0.0,87,1202.3763697546938
0.0,88,1202.3763697546938
0.0,89,1202.3763697546938
0.0,90,1202.3763697546938
0.0,91,1202.3763697546938
0.0,92,1202.3763697546938
0.0,93,1202.3763697546938
0.0,94,1202.3763697546938
0.0,95,1202.3763697546938
0.0,96,1202.3763697546938
0.0,97,1202.3763697546938
0.0,98,1202.3763697546938
0.0,99,1202.3763697546938
0.0,100,1202.3763697546938
0.0,101,1202.3763697546938
0.0,102,1202.3763697546938
0.0,103,1202.3763697546938
0.0,104,1202.3763697546938
0.0,105,1202.3763697546938
0.0,106,1202.3763697546938
0.0,107,1202.3763697546938
0.0,108,1202.3763697546938
0.0,109,1202.3763697546938
0.0,110,1202.3763697546938
0.0,111,1202.3763697546938
0.0,112,1202.3763697546938
0.0,113,1202.3763697546938
0.0,114,1202.3763697546938
0.0,115,1202.3763697546938
0.0,116,1202.3763697546938
0.0,117,1202.3763697546938
0.0,118,1202.3763697546938
0.0,119,1202.3763697546938
0.0,120,1202.3763697546938
0.0,121,1202.3763697546938
0.0,122,1202.3763697546938
0.0,123,1202.3763697546938
0.0,124,1202.3763697546938
0.0,125,1202.3763697546938
0.0,126,1202.3763697546938
0.0,127,1202.3763697546938
0.0,128,1202.3763697546938
0.0,129,1202.3763697546938
0.0,130,1202.3763697546938
0.0,131,1202.3763697546938
0.0,132,1202.3763697546938
0.0,133,1202.3763697546938
0.0,134,1202.3763697546938
0.0,135,1202.3763697546938
0.0,136,1202.3763697546938
0.0,137,1202.3763697546938
0.0,138,1202.3763697546938
0.0,139,1202.3763697546938
0.0,140,1202.3763697546938
0.0,141,1202.3763697546938
0.0,142,1202.3763697546938
0.0,143,1202.3763697546938
0.0,144,1202.3763697546938
0.0,145,1202.3763697546938
0.0,146,1202.3763697546938
0.0,147,1202.3763697546938
0.0,148,1202.3763697546938
0.0,149,1202.3763697546938
0.0,150,1202.3763697546938
0.0,151,1202.3763697546938
0.0,152,1202.3763697546938
0.0,153,1202.3763697546938
0.0,154,1202.3763697546938
0.0,155,1202.3763697546938
0.0,156,1202.3763697546938
0.0,157,1202.3763697546938
0.0,158,1202.3763697546938
0.0,159,1202.3763697546938
0.0,160,1202.3763697546938
0.0,161,1202.3763697546938
0.0,162,1202.3763697546938
0.0,163,1202.3763697546938
0.0,164,1202.3763697546938
0.0,165,1202.3763697546938
0.0,166,1202.3763697546938
0.0,167,1202.3763697546938
0.0,168,1202.3763697546938
