atemp,windspeed,Predicted Y
0.2879,0.0,0.17788988031998457
0.2727,0.0,0.17690221653225613
0.2727,0.0,0.17690221653225613
0.2879,0.0,0.17788988031998457
0.2879,0.0,0.17788988031998457
0.2576,0.0,0.17592105053260484
0.2727,0.0,0.17690221653225613
0.2576,0.0,0.17592105053260484
0.2879,0.0,0.17788988031998457
0.3485,0.0,0.181827539894744
0.3939,0.0,0.18477753568177502
0.3333,0.0,0.18083987610701557
0.4242,0.0,0.18674636546915474
0.4545,0.0,0.18871519525653446
0.4545,0.0,0.18871519525653446
0.4394,0.0,0.18773402925688318
0.4242,0.0,0.18674636546915474
0.4394,0.0,0.18773402925688318
0.4242,0.0,0.18674636546915474
0.4242,0.0,0.18674636546915474
0.4091,0.0,0.18576519946950346
0.4091,0.0,0.18576519946950346
0.4091,0.0,0.18576519946950346
0.4545,0.0,0.18871519525653446
0.4545,0.0,0.18871519525653446
0.4394,0.0,0.18773402925688318
0.4242,0.0,0.18674636546915474
0.4545,0.0,0.18871519525653446
0.4545,0.0,0.18871519525653446
0.4242,0.0,0.18674636546915474
0.4091,0.0,0.18576519946950346
0.4091,0.0,0.18576519946950346
0.3939,0.0,0.18477753568177502
0.3485,0.0,0.181827539894744
0.3333,0.0,0.18083987610701557
0.3333,0.0,0.18083987610701557
0.3485,0.0,0.181827539894744
0.3485,0.0,0.181827539894744
0.3333,0.0,0.18083987610701557
0.3333,0.0,0.18083987610701557
0.3333,0.0,0.18083987610701557
0.3333,0.0,0.18083987610701557
0.2879,0.0,0.17788988031998457
0.2727,0.0,0.17690221653225613
0.2273,0.0,0.17395222074522512
0.2121,0.0,0.17296455695749666
0.2273,0.0,0.17395222074522512
0.197,0.0,0.17198339095784537
0.1667,0.0,0.17001456117046565
0.1364,0.0,0.16804573138308593
0.1364,0.0,0.16804573138308593
0.1061,0.0,0.1660769015957062
0.1364,0.0,0.16804573138308593
0.1212,0.0,0.1670580675953575
0.1364,0.0,0.16804573138308593
