instant,atemp,Predicted Y
1,0.2879,0.43481719393556
2,0.2727,0.4348219077010335
3,0.2727,0.43482662146650697
4,0.2879,0.4348313352319805
5,0.2879,0.434836048997454
6,0.2576,0.4348407627629275
7,0.2727,0.43484547652840094
8,0.2576,0.43485019029387445
9,0.2879,0.43485490405934796
10,0.3485,0.43485961782482146
11,0.3939,0.434864331590295
12,0.3333,0.4348690453557684
13,0.4242,0.43487375912124193
14,0.4545,0.43487847288671544
15,0.4545,0.43488318665218895
16,0.4394,0.4348879004176624
17,0.4242,0.4348926141831359
18,0.4394,0.4348973279486094
19,0.4242,0.4349020417140829
20,0.4242,0.43490675547955643
21,0.4091,0.4349114692450299
22,0.4091,0.4349161830105034
23,0.4091,0.4349208967759769
24,0.4545,0.4349256105414504
25,0.4545,0.43493032430692385
26,0.4394,0.43493503807239736
27,0.4242,0.43493975183787087
28,0.4545,0.4349444656033444
29,0.4545,0.4349491793688179
30,0.4242,0.43495389313429134
31,0.4091,0.43495860689976484
32,0.4091,0.43496332066523835
33,0.3939,0.43496803443071186
34,0.3485,0.4349727481961853
35,0.3333,0.4349774619616588
36,0.3333,0.4349821757271323
37,0.3485,0.43498688949260583
38,0.3485,0.4349916032580793
39,0.3333,0.4349963170235528
40,0.3333,0.4350010307890263
41,0.3333,0.4350057445544998
42,0.3333,0.4350104583199733
43,0.2879,0.43501517208544677
44,0.2727,0.4350198858509203
45,0.2273,0.4350245996163938
46,0.2121,0.4350293133818673
47,0.2273,0.43503402714734074
48,0.197,0.43503874091281425
49,0.1667,0.43504345467828776
50,0.1364,0.43504816844376126
51,0.1364,0.43505288220923477
52,0.1061,0.4350575959747082
53,0.1364,0.43506230974018173
54,0.1212,0.43506702350565524
55,0.1364,0.43507173727112874
56,0.1667,0.4350764510366022
57,0.1818,0.4350811648020757
58,0.2121,0.4350858785675492
59,0.2121,0.4350905923330227
60,0.2424,0.4350953060984962
61,0.2424,0.4351000198639697
62,0.2424,0.4351047336294432
63,0.2273,0.4351094473949167
64,0.2576,0.4351141611603902
65,0.2576,0.43511887492586365
66,0.2273,0.43512358869133716
67,0.197,0.43512830245681067
68,0.1515,0.4351330162222842
69,0.2121,0.4351377299877577
70,0.1818,0.43514244375323113
71,0.1818,0.43514715751870464
72,0.1515,0.43515187128417815
73,0.1818,0.43515658504965166
74,0.1515,0.4351612988151251
75,0.1515,0.4351660125805986
76,0.1515,0.4351707263460721
77,0.1515,0.43517544011154563
78,0.1515,0.43518015387701914
79,0.1364,0.4351848676424926
80,0.2121,0.4351895814079661
81,0.2273,0.4351942951734396
82,0.2273,0.4351990089389131
83,0.2576,0.43520372270438656
84,0.2727,0.43520843646986007
85,0.2879,0.4352131502353336
86,0.2727,0.4352178640008071
87,0.2576,0.4352225777662806
88,0.2576,0.43522729153175405
89,0.2576,0.43523200529722755
90,0.2727,0.43523671906270106
91,0.2576,0.43524143282817457
92,0.2273,0.435246146593648
93,0.2576,0.4352508603591215
94,0.197,0.43525557412459503
95,0.197,0.43526028789006854
96,0.2273,0.43526500165554205
97,0.2273,0.4352697154210155
98,0.197,0.435274429186489
99,0.1818,0.4352791429519625
100,0.1818,0.435283856717436
101,0.197,0.4352885704829095
102,0.197,0.435293284248383
103,0.2273,0.4352979980138565
104,0.2273,0.43530271177933
105,0.2576,0.43530742554480345
106,0.2879,0.43531213931027696
107,0.2879,0.43531685307575047
108,0.3182,0.435321566841224
109,0.2273,0.4353262806066975
110,0.2424,0.43533099437217093
111,0.2576,0.43533570813764444
112,0.2273,0.43534042190311795
113,0.197,0.43534513566859145
114,0.197,0.4353498494340649
115,0.2576,0.4353545631995384
116,0.2424,0.4353592769650119
117,0.2273,0.43536399073048543
118,0.2273,0.43536870449595894
119,0.197,0.4353734182614324
120,0.1818,0.4353781320269059
121,0.1667,0.4353828457923794
122,0.2273,0.4353875595578529
123,0.2273,0.43539227332332636
124,0.2424,0.43539698708879987
125,0.2576,0.4354017008542734
126,0.2576,0.4354064146197469
127,0.2879,0.4354111283852204
128,0.2727,0.43541584215069384
129,0.2727,0.43542055591616735
130,0.2727,0.43542526968164086
131,0.2576,0.43542998344711437
132,0.2273,0.4354346972125878
133,0.2273,0.4354394109780613
134,0.2576,0.43544412474353483
135,0.2121,0.43544883850900834
136,0.2121,0.43545355227448185
137,0.2121,0.4354582660399553
138,0.197,0.4354629798054288
139,0.197,0.4354676935709023
140,0.197,0.4354724073363758
141,0.197,0.4354771211018493
142,0.2121,0.4354818348673228
143,0.2727,0.4354865486327963
144,0.2576,0.4354912623982698
145,0.2121,0.4354959761637433
146,0.197,0.43550068992921676
147,0.1818,0.43550540369469026
148,0.197,0.43551011746016377
149,0.197,0.4355148312256373
150,0.197,0.43551954499111073
151,0.1818,0.43552425875658424
152,0.197,0.43552897252205774
153,0.2121,0.43553368628753125
154,0.2121,0.43553840005300476
155,0.2576,0.4355431138184782
156,0.2273,0.4355478275839517
157,0.197,0.4355525413494252
158,0.2121,0.43555725511489873
159,0.197,0.4355619688803722
160,0.197,0.4355666826458457
161,0.197,0.4355713964113192
162,0.197,0.4355761101767927
163,0.2121,0.43558082394226616
164,0.2424,0.43558553770773967
165,0.197,0.4355902514732132
166,0.197,0.4355949652386867
167,0.1667,0.4355996790041602
168,0.1667,0.43560439276963364
169,0.1818,0.43560910653510715
170,0.1818,0.43561382030058066
171,0.1818,0.43561853406605416
172,0.197,0.4356232478315276
173,0.1818,0.4356279615970011
174,0.1818,0.43563267536247463
175,0.1818,0.43563738912794814
176,0.1667,0.43564210289342165
177,0.1667,0.4356468166588951
178,0.1364,0.4356515304243686
179,0.1212,0.4356562441898421
180,0.1212,0.4356609579553156
181,0.1212,0.43566567172078907
182,0.1212,0.4356703854862626
183,0.1061,0.4356750992517361
184,0.1061,0.4356798130172096
185,0.0606,0.4356845267826831
186,0.0758,0.43568924054815655
187,0.0606,0.43569395431363006
188,0.0606,0.43569866807910357
189,0.0758,0.4357033818445771
190,0.0909,0.4357080956100505
191,0.0909,0.43571280937552404
192,0.0909,0.43571752314099754
193,0.0909,0.43572223690647105
194,0.0909,0.43572695067194456
195,0.0758,0.435731664437418
196,0.1061,0.4357363782028915
197,0.1212,0.435741091968365
198,0.1364,0.43574580573383853
199,0.1667,0.435750519499312
200,0.1818,0.4357552332647855
201,0.197,0.435759947030259
202,0.1667,0.4357646607957325
203,0.1515,0.435769374561206
204,0.1364,0.43577408832667947
205,0.1364,0.435778802092153
206,0.1212,0.4357835158576265
207,0.1061,0.4357882296231
208,0.1212,0.43579294338857344
209,0.1364,0.43579765715404695
210,0.1212,0.43580237091952045
211,0.1212,0.43580708468499396
212,0.1212,0.43581179845046747
213,0.1212,0.4358165122159409
214,0.1212,0.43582122598141443
215,0.1061,0.43582593974688794
216,0.1212,0.43583065351236144
217,0.1212,0.4358353672778349
218,0.1212,0.4358400810433084
219,0.1212,0.4358447948087819
220,0.1212,0.4358495085742554
221,0.1364,0.4358542223397289
222,0.1818,0.4358589361052024
223,0.1818,0.4358636498706759
224,0.197,0.4358683636361494
225,0.197,0.4358730774016229
226,0.2121,0.43587779116709635
227,0.2273,0.43588250493256986
228,0.197,0.43588721869804337
229,0.1667,0.4358919324635169
230,0.1667,0.4358966462289903
231,0.1364,0.43590135999446383
232,0.1515,0.43590607375993734
233,0.1515,0.43591078752541085
234,0.1667,0.43591550129088436
235,0.1515,0.4359202150563578
236,0.1515,0.4359249288218313
237,0.1818,0.4359296425873048
238,0.1818,0.43593435635277833
239,0.2273,0.4359390701182518
240,0.2121,0.4359437838837253
241,0.197,0.4359484976491988
242,0.2121,0.4359532114146723
243,0.2121,0.4359579251801458
244,0.2273,0.43596263894561926
245,0.2273,0.43596735271109277
246,0.2273,0.4359720664765663
247,0.197,0.4359767802420398
248,0.1515,0.43598149400751324
249,0.1515,0.43598620777298674
250,0.1818,0.43599092153846025
251,0.2273,0.43599563530393376
252,0.1515,0.43600034906940727
253,0.197,0.4360050628348807
254,0.1818,0.4360097766003542
255,0.197,0.43601449036582773
256,0.197,0.43601920413130124
257,0.1818,0.4360239178967747
258,0.1515,0.4360286316622482
259,0.1515,0.4360333454277217
260,0.1515,0.4360380591931952
261,0.1515,0.4360427729586687
262,0.1667,0.4360474867241422
263,0.1364,0.4360522004896157
264,0.1818,0.4360569142550892
265,0.1818,0.4360616280205627
266,0.1515,0.43606634178603615
267,0.197,0.43607105555150966
268,0.1818,0.43607576931698316
269,0.1667,0.43608048308245667
270,0.197,0.4360851968479302
271,0.1818,0.43608991061340363
272,0.1515,0.43609462437887714
273,0.1515,0.43609933814435065
274,0.1364,0.43610405190982415
275,0.1364,0.4361087656752976
276,0.1212,0.4361134794407711
277,0.1061,0.4361181932062446
278,0.1212,0.4361229069717181
279,0.1212,0.43612762073719163
280,0.1212,0.4361323345026651
281,0.1212,0.4361370482681386
282,0.1212,0.4361417620336121
283,0.1212,0.4361464757990856
284,0.1515,0.43615118956455906
285,0.1515,0.43615590333003257
286,0.1364,0.4361606170955061
287,0.1212,0.4361653308609796
288,0.1364,0.4361700446264531
289,0.1667,0.43617475839192654
290,0.1667,0.43617947215740005
291,0.197,0.43618418592287356
292,0.197,0.43618889968834706
293,0.2121,0.4361936134538205
294,0.2121,0.436198327219294
295,0.1818,0.43620304098476753
296,0.1818,0.43620775475024104
297,0.1515,0.4362124685157145
298,0.1515,0.436217182281188
299,0.1212,0.4362218960466615
300,0.1212,0.436226609812135
301,0.1364,0.4362313235776085
302,0.1364,0.436236037343082
303,0.1212,0.4362407511085555
304,0.1212,0.436245464874029
305,0.1364,0.4362501786395025
306,0.1364,0.43625489240497595
307,0.1818,0.43625960617044945
308,0.1212,0.43626431993592296
309,0.1667,0.43626903370139647
310,0.1515,0.43627374746687
311,0.1818,0.43627846123234343
312,0.1667,0.43628317499781694
313,0.197,0.43628788876329044
314,0.197,0.43629260252876395
315,0.2121,0.4362973162942374
316,0.2424,0.4363020300597109
317,0.2424,0.4363067438251844
318,0.2273,0.4363114575906579
319,0.2576,0.43631617135613143
320,0.197,0.4363208851216049
321,0.2424,0.4363255988870784
322,0.2273,0.4363303126525519
323,0.2273,0.4363350264180254
324,0.2424,0.43633974018349886
325,0.2424,0.43634445394897237
326,0.197,0.4363491677144459
327,0.197,0.4363538814799194
328,0.2273,0.4363585952453929
329,0.2273,0.43636330901086634
330,0.2273,0.43636802277633985
331,0.1667,0.43637273654181336
332,0.2121,0.43637745030728686
333,0.1515,0.4363821640727603
334,0.1818,0.4363868778382338
335,0.197,0.43639159160370733
336,0.197,0.43639630536918084
337,0.2273,0.43640101913465434
338,0.2576,0.4364057329001278
339,0.2879,0.4364104466656013
340,0.3182,0.4364151604310748
341,0.3333,0.4364198741965483
342,0.303,0.43642458796202177
343,0.2879,0.4364293017274953
344,0.303,0.4364340154929688
345,0.303,0.4364387292584423
346,0.303,0.4364434430239158
347,0.3182,0.43644815678938925
348,0.2879,0.43645287055486276
349,0.303,0.43645758432033627
350,0.2727,0.4364622980858098
351,0.2879,0.4364670118512832
352,0.2727,0.43647172561675673
353,0.2576,0.43647643938223024
354,0.2576,0.43648115314770375
355,0.2576,0.43648586691317726
356,0.2121,0.4364905806786507
357,0.2121,0.4364952944441242
358,0.2121,0.4365000082095977
359,0.2121,0.43650472197507123
360,0.2273,0.4365094357405447
361,0.2121,0.4365141495060182
362,0.2273,0.4365188632714917
363,0.2727,0.4365235770369652
364,0.2424,0.43652829080243866
365,0.2273,0.43653300456791216
366,0.2121,0.43653771833338567
367,0.2121,0.4365424320988592
