season,cnt,Predicted Y
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
1,1,101.3470005436353
