atemp,temp,Predicted Y
0.2879,0.24,0.28907051297449793
0.2727,0.22,0.27224905485212253
0.2727,0.22,0.27224905485212253
0.2879,0.24,0.28907051297449793
0.2879,0.24,0.28907051297449793
0.2576,0.24,0.2555382642173943
0.2727,0.22,0.27224905485212253
0.2576,0.2,0.2555382642173943
0.2879,0.24,0.28907051297449793
0.3485,0.32,0.3561350104887053
0.3939,0.38,0.40637804988053716
0.3333,0.36,0.3393135523663298
0.4242,0.42,0.43991029863764086
0.4545,0.46,0.47344254739474456
0.4545,0.46,0.47344254739474456
0.4394,0.44,0.45673175676001626
0.4242,0.42,0.43991029863764086
0.4394,0.44,0.45673175676001626
0.4242,0.42,0.43991029863764086
0.4242,0.42,0.43991029863764086
0.4091,0.4,0.4231995080029126
0.4091,0.4,0.4231995080029126
0.4091,0.4,0.4231995080029126
0.4545,0.46,0.47344254739474456
0.4545,0.46,0.47344254739474456
0.4394,0.44,0.45673175676001626
0.4242,0.42,0.43991029863764086
0.4545,0.46,0.47344254739474456
0.4545,0.46,0.47344254739474456
0.4242,0.42,0.43991029863764086
0.4091,0.4,0.4231995080029126
0.4091,0.4,0.4231995080029126
0.3939,0.38,0.40637804988053716
0.3485,0.36,0.3561350104887053
0.3333,0.36,0.3393135523663298
0.3333,0.36,0.3393135523663298
0.3485,0.36,0.3561350104887053
0.3485,0.36,0.3561350104887053
0.3333,0.34,0.3393135523663298
0.3333,0.34,0.3393135523663298
0.3333,0.34,0.3393135523663298
0.3333,0.36,0.3393135523663298
0.2879,0.32,0.28907051297449793
0.2727,0.3,0.27224905485212253
0.2273,0.26,0.22200601546029058
0.2121,0.24,0.20518455733791519
0.2273,0.22,0.22200601546029058
0.197,0.22,0.18847376670318694
0.1667,0.2,0.15494151794608327
0.1364,0.16,0.1214092691889796
0.1364,0.16,0.1214092691889796
0.1061,0.14,0.08787702043187594
0.1364,0.14,0.1214092691889796
0.1212,0.14,0.10458781106660417
0.1364,0.16,0.1214092691889796
0.1667,0.18,0.15494151794608327
0.1818,0.2,0.17165230858081149
0.2121,0.22,0.20518455733791519
0.2121,0.24,0.20518455733791519
0.2424,0.26,0.23871680609501883
0.2424,0.26,0.23871680609501883
0.2424,0.26,0.23871680609501883
0.2273,0.24,0.22200601546029058
0.2576,0.24,0.2555382642173943
0.2576,0.2,0.2555382642173943
0.2273,0.2,0.22200601546029058
0.197,0.18,0.18847376670318694
0.1515,0.14,0.13812005982370784
0.2121,0.18,0.20518455733791519
0.1818,0.16,0.17165230858081149
0.1818,0.16,0.17165230858081149
0.1515,0.14,0.13812005982370784
0.1818,0.14,0.17165230858081149
0.1515,0.12,0.13812005982370784
0.1515,0.12,0.13812005982370784
0.1515,0.12,0.13812005982370784
0.1515,0.14,0.13812005982370784
0.1515,0.16,0.13812005982370784
0.1364,0.16,0.1214092691889796
0.2121,0.22,0.20518455733791519
0.2273,0.22,0.22200601546029058
0.2273,0.24,0.22200601546029058
0.2576,0.26,0.2555382642173943
0.2727,0.28,0.27224905485212253
0.2879,0.3,0.28907051297449793
0.2727,0.28,0.27224905485212253
0.2576,0.26,0.2555382642173943
0.2576,0.24,0.2555382642173943
0.2576,0.24,0.2555382642173943
0.2727,0.22,0.27224905485212253
0.2576,0.22,0.2555382642173943
0.2273,0.2,0.22200601546029058
0.2576,0.2,0.2555382642173943
0.197,0.16,0.18847376670318694
0.197,0.16,0.18847376670318694
0.2273,0.24,0.22200601546029058
0.2273,0.22,0.22200601546029058
0.197,0.2,0.18847376670318694
0.1818,0.18,0.17165230858081149
0.1818,0.2,0.17165230858081149
0.197,0.22,0.18847376670318694
0.197,0.22,0.18847376670318694
0.2273,0.26,0.22200601546029058
0.2273,0.26,0.22200601546029058
0.2576,0.28,0.2555382642173943
0.2879,0.3,0.28907051297449793
0.2879,0.3,0.28907051297449793
0.3182,0.3,0.3226027617316016
0.2273,0.24,0.22200601546029058
0.2424,0.24,0.23871680609501883
0.2576,0.24,0.2555382642173943
0.2273,0.22,0.22200601546029058
0.197,0.2,0.18847376670318694
0.197,0.18,0.18847376670318694
0.2576,0.2,0.2555382642173943
0.2424,0.18,0.23871680609501883
0.2273,0.16,0.22200601546029058
0.2273,0.16,0.22200601546029058
0.197,0.16,0.18847376670318694
0.1818,0.14,0.17165230858081149
0.1667,0.14,0.15494151794608327
0.2273,0.16,0.22200601546029058
