season,workingday,Predicted Y
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,0,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
1,1,0.6740431166523697
