registered,mnth,Predicted Y
13,1,6.1466706991445355
32,1,6.199452544531051
27,1,6.18556258521881
10,1,6.138336723557192
1,1,6.113334796795158
1,1,6.113334796795158
0,1,6.11055680493271
2,1,6.116112788657606
7,1,6.130002747969847
6,1,6.127224756107399
24,1,6.177228609631466
30,1,6.193896560806155
55,1,6.263346357367359
47,1,6.2411224224677735
71,1,6.3077942271665295
70,1,6.305016235304081
52,1,6.2550123817800145
52,1,6.2550123817800145
26,1,6.182784593356362
31,1,6.196674552668603
25,1,6.180006601493914
31,1,6.196674552668603
17,1,6.157782666594328
24,1,6.177228609631466
13,1,6.1466706991445355
16,1,6.15500467473188
8,1,6.132780739832295
4,1,6.1216687723825025
1,1,6.113334796795158
2,1,6.116112788657606
1,1,6.113334796795158
8,1,6.132780739832295
19,1,6.163338650319225
46,1,6.238344430605325
54,1,6.260568365504911
73,1,6.313350210891426
64,1,6.288348284129392
55,1,6.263346357367359
55,1,6.263346357367359
67,1,6.296682259716737
58,1,6.271680332954703
43,1,6.230010455017981
29,1,6.191118568943707
17,1,6.157782666594328
20,1,6.166116642181673
9,1,6.1355587316947435
8,1,6.132780739832295
5,1,6.124446764244951
2,1,6.116112788657606
1,1,6.113334796795158
3,1,6.118890780520054
30,1,6.193896560806155
63,1,6.285570292266944
153,1,6.535589559887279
81,1,6.335574145791011
33,1,6.202230536393499
41,1,6.224454471293084
48,1,6.243900414330222
53,1,6.257790373642463
66,1,6.2939042678542885
58,1,6.271680332954703
67,1,6.296682259716737
146,1,6.516143616850141
148,1,6.521699600575038
102,1,6.393911974902422
49,1,6.24667840619267
49,1,6.24667840619267
20,1,6.166116642181673
11,1,6.14111471541964
5,1,6.124446764244951
2,1,6.116112788657606
1,1,6.113334796795158
2,1,6.116112788657606
4,1,6.1216687723825025
36,1,6.210564511980843
92,1,6.366132056277941
177,1,6.602261364586035
98,1,6.38280000745263
37,1,6.2133425038432915
50,1,6.249456398055118
66,1,6.2939042678542885
79,1,6.330018162066114
54,1,6.260568365504911
48,1,6.243900414330222
68,1,6.299460251579185
202,1,6.671711161147239
179,1,6.607817348310931
110,1,6.416135909802008
53,1,6.257790373642463
48,1,6.243900414330222
34,1,6.205008528255947
9,1,6.1355587316947435
6,1,6.127224756107399
6,1,6.127224756107399
2,1,6.116112788657606
2,1,6.116112788657606
3,1,6.118890780520054
33,1,6.202230536393499
87,1,6.3522420969657
192,1,6.643931242522757
109,1,6.4133579179395594
53,1,6.257790373642463
34,1,6.205008528255947
74,1,6.316128202753874
65,1,6.29112627599184
52,1,6.2550123817800145
55,1,6.263346357367359
85,1,6.3466861132408035
186,1,6.6272632913480685
166,1,6.571703454099104
127,1,6.463361771463626
82,1,6.338352137653459
40,1,6.221676479430636
41,1,6.224454471293084
18,1,6.1605606584567765
11,1,6.14111471541964
4,1,6.1216687723825025
2,1,6.116112788657606
1,1,6.113334796795158
4,1,6.1216687723825025
36,1,6.210564511980843
95,1,6.3744660318652855
216,1,6.710603047221513
116,1,6.432803860976697
42,1,6.2272324631555325
57,1,6.268902341092255
78,1,6.327240170203666
55,1,6.263346357367359
59,1,6.274458324817151
54,1,6.260568365504911
74,1,6.316128202753874
163,1,6.563369478511761
158,1,6.54947951919952
109,1,6.4133579179395594
66,1,6.2939042678542885
48,1,6.243900414330222
51,1,6.252234389917566
19,1,6.163338650319225
13,1,6.1466706991445355
5,1,6.124446764244951
1,1,6.113334796795158
1,1,6.113334796795158
5,1,6.124446764244951
26,1,6.182784593356362
76,1,6.3216841864787705
190,1,6.63837525879786
125,1,6.45780578773873
47,1,6.2411224224677735
48,1,6.243900414330222
50,1,6.249456398055118
64,1,6.288348284129392
43,1,6.230010455017981
63,1,6.285570292266944
82,1,6.338352137653459
178,1,6.605039356448483
116,1,6.432803860976697
92,1,6.366132056277941
50,1,6.249456398055118
39,1,6.218898487568188
34,1,6.205008528255947
14,1,6.149448691006984
24,1,6.177228609631466
15,1,6.152226682869432
13,1,6.1466706991445355
7,1,6.130002747969847
1,1,6.113334796795158
5,1,6.124446764244951
2,1,6.116112788657606
8,1,6.132780739832295
15,1,6.152226682869432
20,1,6.166116642181673
56,1,6.266124349229806
60,1,6.277236316679599
90,1,6.3605760725530445
95,1,6.3744660318652855
83,1,6.341130129515907
69,1,6.302238243441633
68,1,6.299460251579185
64,1,6.288348284129392
52,1,6.2550123817800145
26,1,6.182784593356362
28,1,6.1883405770812585
35,1,6.207786520118395
33,1,6.202230536393499
22,1,6.171672625906569
24,1,6.177228609631466
12,1,6.143892707282087
11,1,6.14111471541964
4,1,6.1216687723825025
1,1,6.113334796795158
1,1,6.113334796795158
1,1,6.113334796795158
5,1,6.124446764244951
10,1,6.138336723557192
19,1,6.163338650319225
49,1,6.24667840619267
47,1,6.2411224224677735
79,1,6.330018162066114
69,1,6.302238243441633
64,1,6.288348284129392
77,1,6.324462178341218
79,1,6.330018162066114
59,1,6.274458324817151
44,1,6.232788446880429
40,1,6.221676479430636
38,1,6.21612049570574
19,1,6.163338650319225
10,1,6.138336723557192
6,1,6.127224756107399
3,1,6.118890780520054
0,1,6.11055680493271
3,1,6.118890780520054
1,1,6.113334796795158
2,1,6.116112788657606
3,1,6.118890780520054
31,1,6.196674552668603
75,1,6.318906194616322
184,1,6.621707307623172
92,1,6.366132056277941
31,1,6.196674552668603
28,1,6.1883405770812585
47,1,6.2411224224677735
50,1,6.249456398055118
47,1,6.2411224224677735
43,1,6.230010455017981
70,1,6.305016235304081
174,1,6.59392738899869
154,1,6.538367551749727
92,1,6.366132056277941
73,1,6.313350210891426
37,1,6.2133425038432915
22,1,6.171672625906569
18,1,6.1605606584567765
10,1,6.138336723557192
3,1,6.118890780520054
3,1,6.118890780520054
6,1,6.127224756107399
27,1,6.18556258521881
97,1,6.380022015590182
214,1,6.705047063496616
127,1,6.463361771463626
51,1,6.252234389917566
31,1,6.196674552668603
55,1,6.263346357367359
46,1,6.238344430605325
60,1,6.277236316679599
45,1,6.235566438742877
72,1,6.310572219028978
130,1,6.471695747050971
94,1,6.371688040002837
51,1,6.252234389917566
32,1,6.199452544531051
20,1,6.166116642181673
28,1,6.1883405770812585
18,1,6.1605606584567765
7,1,6.130002747969847
6,1,6.127224756107399
1,1,6.113334796795158
5,1,6.124446764244951
16,1,6.15500467473188
54,1,6.260568365504911
125,1,6.45780578773873
78,1,6.327240170203666
39,1,6.218898487568188
32,1,6.199452544531051
52,1,6.2550123817800145
49,1,6.24667840619267
44,1,6.232788446880429
48,1,6.243900414330222
63,1,6.285570292266944
139,1,6.496697673813005
135,1,6.485585706363212
82,1,6.338352137653459
54,1,6.260568365504911
57,1,6.268902341092255
32,1,6.199452544531051
19,1,6.163338650319225
6,1,6.127224756107399
2,1,6.116112788657606
2,1,6.116112788657606
3,1,6.118890780520054
4,1,6.1216687723825025
3,1,6.118890780520054
28,1,6.1883405770812585
72,1,6.310572219028978
197,1,6.657821201834998
137,1,6.491141690088108
36,1,6.210564511980843
33,1,6.202230536393499
49,1,6.24667840619267
81,1,6.335574145791011
39,1,6.218898487568188
55,1,6.263346357367359
76,1,6.3216841864787705
158,1,6.54947951919952
141,1,6.502253657537901
98,1,6.38280000745263
64,1,6.288348284129392
40,1,6.221676479430636
30,1,6.193896560806155
14,1,6.149448691006984
14,1,6.149448691006984
5,1,6.124446764244951
1,1,6.113334796795158
1,1,6.113334796795158
8,1,6.132780739832295
17,1,6.157782666594328
70,1,6.305016235304081
156,1,6.543923535474623
117,1,6.435581852839145
40,1,6.221676479430636
47,1,6.2411224224677735
59,1,6.274458324817151
73,1,6.313350210891426
59,1,6.274458324817151
59,1,6.274458324817151
87,1,6.3522420969657
155,1,6.541145543612175
134,1,6.482807714500764
89,1,6.357798080690596
68,1,6.299460251579185
48,1,6.243900414330222
34,1,6.205008528255947
26,1,6.182784593356362
25,1,6.180006601493914
18,1,6.1605606584567765
12,1,6.143892707282087
7,1,6.130002747969847
5,1,6.124446764244951
1,1,6.113334796795158
2,1,6.116112788657606
9,1,6.1355587316947435
22,1,6.171672625906569
31,1,6.196674552668603
57,1,6.268902341092255
54,1,6.260568365504911
74,1,6.316128202753874
80,1,6.332796153928562
92,1,6.366132056277941
108,1,6.410579926077111
95,1,6.3744660318652855
54,1,6.260568365504911
69,1,6.302238243441633
60,1,6.277236316679599
35,1,6.207786520118395
51,1,6.252234389917566
26,1,6.182784593356362
39,1,6.218898487568188
33,1,6.202230536393499
19,1,6.163338650319225
13,1,6.1466706991445355
6,1,6.127224756107399
1,1,6.113334796795158
1,1,6.113334796795158
1,1,6.113334796795158
3,1,6.118890780520054
18,1,6.1605606584567765
29,1,6.191118568943707
71,1,6.3077942271665295
