weathersit,casual,Predicted Y
1,3,40.681865123929605
1,8,40.681865123929605
1,5,40.681865123929605
1,3,40.681865123929605
1,0,40.681865123929605
2,0,28.91172116657977
1,2,40.681865123929605
1,1,40.681865123929605
1,1,40.681865123929605
1,8,40.681865123929605
1,12,40.681865123929605
1,26,40.681865123929605
1,29,40.681865123929605
2,47,28.91172116657977
2,35,28.91172116657977
2,40,28.91172116657977
2,41,28.91172116657977
2,15,28.91172116657977
3,9,17.141577209229936
3,6,17.141577209229936
2,11,28.91172116657977
2,3,28.91172116657977
2,11,28.91172116657977
2,15,28.91172116657977
2,4,28.91172116657977
2,1,28.91172116657977
2,1,28.91172116657977
2,2,28.91172116657977
2,2,28.91172116657977
3,0,17.141577209229936
2,0,28.91172116657977
3,0,17.141577209229936
2,1,28.91172116657977
2,7,28.91172116657977
2,16,28.91172116657977
2,20,28.91172116657977
2,11,28.91172116657977
3,4,17.141577209229936
3,19,17.141577209229936
3,9,17.141577209229936
1,7,40.681865123929605
2,10,28.91172116657977
1,1,40.681865123929605
1,5,40.681865123929605
1,11,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,1,40.681865123929605
1,7,40.681865123929605
1,11,40.681865123929605
1,10,40.681865123929605
1,13,40.681865123929605
1,8,40.681865123929605
1,11,40.681865123929605
1,14,40.681865123929605
1,9,40.681865123929605
1,11,40.681865123929605
1,9,40.681865123929605
1,8,40.681865123929605
1,3,40.681865123929605
1,3,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,2,40.681865123929605
1,2,40.681865123929605
1,2,40.681865123929605
2,5,28.91172116657977
1,7,40.681865123929605
1,12,40.681865123929605
1,18,40.681865123929605
1,9,40.681865123929605
1,17,40.681865123929605
1,15,40.681865123929605
1,10,40.681865123929605
1,3,40.681865123929605
1,2,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,2,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,3,40.681865123929605
1,6,40.681865123929605
1,4,40.681865123929605
1,12,40.681865123929605
1,5,40.681865123929605
1,6,40.681865123929605
1,10,40.681865123929605
1,7,40.681865123929605
1,4,40.681865123929605
1,4,40.681865123929605
1,3,40.681865123929605
1,5,40.681865123929605
1,7,40.681865123929605
1,3,40.681865123929605
1,1,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
2,0,28.91172116657977
2,0,28.91172116657977
2,0,28.91172116657977
2,0,28.91172116657977
1,3,40.681865123929605
2,6,28.91172116657977
1,3,40.681865123929605
1,2,40.681865123929605
1,6,40.681865123929605
1,12,40.681865123929605
1,11,40.681865123929605
1,8,40.681865123929605
1,12,40.681865123929605
1,9,40.681865123929605
1,5,40.681865123929605
1,3,40.681865123929605
1,3,40.681865123929605
2,0,28.91172116657977
2,1,28.91172116657977
2,4,28.91172116657977
2,4,28.91172116657977
2,2,28.91172116657977
2,0,28.91172116657977
2,0,28.91172116657977
3,0,17.141577209229936
2,8,28.91172116657977
1,8,40.681865123929605
1,20,40.681865123929605
1,9,40.681865123929605
1,16,40.681865123929605
2,19,28.91172116657977
2,9,28.91172116657977
2,9,28.91172116657977
2,7,28.91172116657977
2,9,28.91172116657977
2,5,28.91172116657977
2,9,28.91172116657977
1,7,40.681865123929605
1,3,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
2,2,28.91172116657977
2,1,28.91172116657977
2,1,28.91172116657977
2,1,28.91172116657977
2,3,28.91172116657977
3,0,17.141577209229936
3,0,17.141577209229936
2,0,28.91172116657977
2,0,28.91172116657977
2,1,28.91172116657977
3,0,17.141577209229936
3,0,17.141577209229936
2,5,28.91172116657977
2,2,28.91172116657977
2,8,28.91172116657977
1,7,40.681865123929605
1,12,40.681865123929605
1,5,40.681865123929605
1,8,40.681865123929605
1,5,40.681865123929605
1,3,40.681865123929605
1,4,40.681865123929605
1,0,40.681865123929605
1,2,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,1,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,0,40.681865123929605
1,2,40.681865123929605
1,4,40.681865123929605
1,6,40.681865123929605
