mnth,hum,Predicted Y
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.0,0.4681273871121481
1,0.08,0.4681273871121481
1,0.1,0.4681273871121481
1,0.12,0.4681273871121481
1,0.13,0.4681273871121481
1,0.14,0.4681273871121481
1,0.14,0.4681273871121481
1,0.15,0.4681273871121481
1,0.15,0.4681273871121481
1,0.15,0.4681273871121481
1,0.15,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.16,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.17,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.18,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.19,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.2,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.21,0.4681273871121481
1,0.22,0.4681273871121481
1,0.22,0.4681273871121481
1,0.22,0.4681273871121481
