hum,windspeed,Predicted Y
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.0,0.0,-0.1933024154380844
0.08,0.0,-0.14440159995786275
0.1,0.0,-0.13217639608780735
0.12,0.0,-0.11995119221775193
0.13,0.0,-0.11383859028272421
0.14,0.0,-0.10772598834769649
0.14,0.0,-0.10772598834769649
0.15,0.0,-0.1016133864126688
0.15,0.0,-0.1016133864126688
0.15,0.0,-0.1016133864126688
0.15,0.0,-0.1016133864126688
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.16,0.0,-0.09550078447764108
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.17,0.0,-0.08938818254261338
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.18,0.0,-0.08327558060758568
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.19,0.0,-0.07716297867255797
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.2,0.0,-0.07105037673753026
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.21,0.0,-0.06493777480250257
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.22,0.0,-0.05882517286747485
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.23,0.0,-0.052712570932447134
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.24,0.0,-0.046599968997419444
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
0.25,0.0,-0.04048736706239173
