temp,cnt,Predicted Y
0.24,1,193.91129773567877
0.22,1,194.25747923014768
0.22,1,194.25747923014768
0.24,1,193.91129773567877
0.24,1,193.91129773567877
0.24,1,193.91129773567877
0.22,1,194.25747923014768
0.2,1,194.60366072461662
0.24,1,193.91129773567877
0.32,1,192.52657175780305
0.38,1,191.4880272743963
0.36,1,191.8342087688652
0.42,1,190.79566428545846
0.46,1,190.1033012965206
0.46,1,190.1033012965206
0.44,1,190.44948279098952
0.42,1,190.79566428545846
0.44,1,190.44948279098952
0.42,1,190.79566428545846
0.42,1,190.79566428545846
0.4,1,191.14184577992737
0.4,1,191.14184577992737
0.4,1,191.14184577992737
0.46,1,190.1033012965206
0.46,1,190.1033012965206
0.44,1,190.44948279098952
0.42,1,190.79566428545846
0.46,1,190.1033012965206
0.46,1,190.1033012965206
0.42,1,190.79566428545846
0.4,1,191.14184577992737
0.4,1,191.14184577992737
0.38,1,191.4880272743963
0.36,1,191.8342087688652
0.36,1,191.8342087688652
0.36,1,191.8342087688652
0.36,1,191.8342087688652
0.36,1,191.8342087688652
0.34,1,192.18039026333415
0.34,1,192.18039026333415
0.34,1,192.18039026333415
0.36,1,191.8342087688652
0.32,1,192.52657175780305
0.3,1,192.872753252272
0.26,1,193.56511624120984
0.24,1,193.91129773567877
0.22,1,194.25747923014768
0.22,1,194.25747923014768
0.2,1,194.60366072461662
0.16,1,195.29602371355446
0.16,1,195.29602371355446
0.14,1,195.64220520802337
0.14,1,195.64220520802337
0.14,1,195.64220520802337
0.16,1,195.29602371355446
0.18,1,194.94984221908553
0.2,1,194.60366072461662
0.22,1,194.25747923014768
0.24,1,193.91129773567877
0.26,1,193.56511624120984
0.26,1,193.56511624120984
0.26,1,193.56511624120984
0.24,1,193.91129773567877
0.24,1,193.91129773567877
0.2,1,194.60366072461662
0.2,1,194.60366072461662
0.18,1,194.94984221908553
0.14,1,195.64220520802337
0.18,1,194.94984221908553
0.16,1,195.29602371355446
0.16,1,195.29602371355446
0.14,1,195.64220520802337
0.14,1,195.64220520802337
0.12,1,195.9883867024923
0.12,1,195.9883867024923
0.12,1,195.9883867024923
0.14,1,195.64220520802337
0.16,1,195.29602371355446
0.16,1,195.29602371355446
0.22,1,194.25747923014768
0.22,1,194.25747923014768
0.24,1,193.91129773567877
0.26,1,193.56511624120984
0.28,1,193.2189347467409
0.3,1,192.872753252272
0.28,1,193.2189347467409
0.26,1,193.56511624120984
0.24,1,193.91129773567877
0.24,1,193.91129773567877
0.22,1,194.25747923014768
0.22,1,194.25747923014768
0.2,1,194.60366072461662
0.2,1,194.60366072461662
0.16,1,195.29602371355446
0.16,1,195.29602371355446
0.24,1,193.91129773567877
0.22,1,194.25747923014768
0.2,1,194.60366072461662
0.18,1,194.94984221908553
0.2,1,194.60366072461662
0.22,1,194.25747923014768
