atemp,mnth,Predicted Y
0.2879,1,5.755450843786512
0.2727,1,5.6921570157230885
0.2727,1,5.6921570157230885
0.2879,1,5.755450843786512
0.2879,1,5.755450843786512
0.2576,1,5.629279594423241
0.2727,1,5.6921570157230885
0.2576,1,5.629279594423241
0.2879,1,5.755450843786512
0.3485,1,6.0077933425130565
0.3939,1,6.196842013176177
0.3333,1,5.944499514449633
0.4242,1,6.323013262539449
0.4545,1,6.449184511902721
0.4545,1,6.449184511902721
0.4394,1,6.386307090602872
0.4242,1,6.323013262539449
0.4394,1,6.386307090602872
0.4242,1,6.323013262539449
0.4242,1,6.323013262539449
0.4091,1,6.260135841239601
0.4091,1,6.260135841239601
0.4091,1,6.260135841239601
0.4545,1,6.449184511902721
0.4545,1,6.449184511902721
0.4394,1,6.386307090602872
0.4242,1,6.323013262539449
0.4545,1,6.449184511902721
0.4545,1,6.449184511902721
0.4242,1,6.323013262539449
0.4091,1,6.260135841239601
0.4091,1,6.260135841239601
0.3939,1,6.196842013176177
0.3485,1,6.0077933425130565
0.3333,1,5.944499514449633
0.3333,1,5.944499514449633
0.3485,1,6.0077933425130565
0.3485,1,6.0077933425130565
0.3333,1,5.944499514449633
0.3333,1,5.944499514449633
0.3333,1,5.944499514449633
0.3333,1,5.944499514449633
0.2879,1,5.755450843786512
0.2727,1,5.6921570157230885
0.2273,1,5.503108345059969
0.2121,1,5.439814516996545
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1667,1,5.250765846333425
0.1364,1,5.1245945969701525
0.1364,1,5.1245945969701525
0.1061,1,4.998423347606881
0.1364,1,5.1245945969701525
0.1212,1,5.0613007689067295
0.1364,1,5.1245945969701525
0.1667,1,5.250765846333425
0.1818,1,5.313643267633273
0.2121,1,5.439814516996545
0.2121,1,5.439814516996545
0.2424,1,5.565985766359817
0.2424,1,5.565985766359817
0.2424,1,5.565985766359817
0.2273,1,5.503108345059969
0.2576,1,5.629279594423241
0.2576,1,5.629279594423241
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1515,1,5.187472018270001
0.2121,1,5.439814516996545
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.1515,1,5.187472018270001
0.1818,1,5.313643267633273
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1364,1,5.1245945969701525
0.2121,1,5.439814516996545
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.2576,1,5.629279594423241
0.2727,1,5.6921570157230885
0.2879,1,5.755450843786512
0.2727,1,5.6921570157230885
0.2576,1,5.629279594423241
0.2576,1,5.629279594423241
0.2576,1,5.629279594423241
0.2727,1,5.6921570157230885
0.2576,1,5.629279594423241
0.2273,1,5.503108345059969
0.2576,1,5.629279594423241
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.2576,1,5.629279594423241
0.2879,1,5.755450843786512
0.2879,1,5.755450843786512
0.3182,1,5.881622093149785
0.2273,1,5.503108345059969
0.2424,1,5.565985766359817
0.2576,1,5.629279594423241
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2576,1,5.629279594423241
0.2424,1,5.565985766359817
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1818,1,5.313643267633273
0.1667,1,5.250765846333425
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.2424,1,5.565985766359817
0.2576,1,5.629279594423241
0.2576,1,5.629279594423241
0.2879,1,5.755450843786512
0.2727,1,5.6921570157230885
0.2727,1,5.6921570157230885
0.2727,1,5.6921570157230885
0.2576,1,5.629279594423241
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.2576,1,5.629279594423241
0.2121,1,5.439814516996545
0.2121,1,5.439814516996545
0.2121,1,5.439814516996545
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.2727,1,5.6921570157230885
0.2576,1,5.629279594423241
0.2121,1,5.439814516996545
0.197,1,5.376937095696697
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.2121,1,5.439814516996545
0.2576,1,5.629279594423241
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.2424,1,5.565985766359817
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.1667,1,5.250765846333425
0.1667,1,5.250765846333425
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.1667,1,5.250765846333425
0.1667,1,5.250765846333425
0.1364,1,5.1245945969701525
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1061,1,4.998423347606881
0.1061,1,4.998423347606881
0.0606,1,4.808958270180185
0.0758,1,4.872252098243608
0.0606,1,4.808958270180185
0.0606,1,4.808958270180185
0.0758,1,4.872252098243608
0.0909,1,4.935129519543457
0.0909,1,4.935129519543457
0.0909,1,4.935129519543457
0.0909,1,4.935129519543457
0.0909,1,4.935129519543457
0.0758,1,4.872252098243608
0.1061,1,4.998423347606881
0.1212,1,5.0613007689067295
0.1364,1,5.1245945969701525
0.1667,1,5.250765846333425
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.1667,1,5.250765846333425
0.1515,1,5.187472018270001
0.1364,1,5.1245945969701525
0.1364,1,5.1245945969701525
0.1212,1,5.0613007689067295
0.1061,1,4.998423347606881
0.1212,1,5.0613007689067295
0.1364,1,5.1245945969701525
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1061,1,4.998423347606881
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1212,1,5.0613007689067295
0.1364,1,5.1245945969701525
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.197,1,5.376937095696697
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1667,1,5.250765846333425
0.1667,1,5.250765846333425
0.1364,1,5.1245945969701525
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1667,1,5.250765846333425
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1818,1,5.313643267633273
0.1818,1,5.313643267633273
0.2273,1,5.503108345059969
0.2121,1,5.439814516996545
0.197,1,5.376937095696697
0.2121,1,5.439814516996545
0.2121,1,5.439814516996545
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.2273,1,5.503108345059969
0.197,1,5.376937095696697
0.1515,1,5.187472018270001
0.1515,1,5.187472018270001
0.1818,1,5.313643267633273
