casual,season,Predicted Y
3,1,2.413457122111833
8,1,2.4269505421549624
5,1,2.4188544901290845
3,1,2.413457122111833
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
1,1,2.408059754094581
1,1,2.408059754094581
8,1,2.4269505421549624
12,1,2.4377452781894657
26,1,2.475526854310228
29,1,2.4836229063361053
47,1,2.532199218491371
35,1,2.4998150103878607
40,1,2.51330843043099
41,1,2.5160071144396157
15,1,2.4458413302153432
9,1,2.4296492261635882
6,1,2.4215531741377103
11,1,2.43504659418084
3,1,2.413457122111833
11,1,2.43504659418084
15,1,2.4458413302153432
4,1,2.4161558061204587
1,1,2.408059754094581
1,1,2.408059754094581
2,1,2.410758438103207
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
7,1,2.4242518581463366
16,1,2.448540014223969
20,1,2.459334750258473
11,1,2.43504659418084
4,1,2.4161558061204587
19,1,2.4566360662498465
9,1,2.4296492261635882
7,1,2.4242518581463366
10,1,2.432347910172214
1,1,2.408059754094581
5,1,2.4188544901290845
11,1,2.43504659418084
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
7,1,2.4242518581463366
11,1,2.43504659418084
10,1,2.432347910172214
13,1,2.4404439621980916
8,1,2.4269505421549624
11,1,2.43504659418084
14,1,2.4431426462067174
9,1,2.4296492261635882
11,1,2.43504659418084
9,1,2.4296492261635882
8,1,2.4269505421549624
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
2,1,2.410758438103207
2,1,2.410758438103207
5,1,2.4188544901290845
7,1,2.4242518581463366
12,1,2.4377452781894657
18,1,2.4539373822412207
9,1,2.4296492261635882
17,1,2.451238698232595
15,1,2.4458413302153432
10,1,2.432347910172214
3,1,2.413457122111833
2,1,2.410758438103207
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
3,1,2.413457122111833
6,1,2.4215531741377103
4,1,2.4161558061204587
12,1,2.4377452781894657
5,1,2.4188544901290845
6,1,2.4215531741377103
10,1,2.432347910172214
7,1,2.4242518581463366
4,1,2.4161558061204587
4,1,2.4161558061204587
3,1,2.413457122111833
5,1,2.4188544901290845
7,1,2.4242518581463366
3,1,2.413457122111833
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
3,1,2.413457122111833
6,1,2.4215531741377103
3,1,2.413457122111833
2,1,2.410758438103207
6,1,2.4215531741377103
12,1,2.4377452781894657
11,1,2.43504659418084
8,1,2.4269505421549624
12,1,2.4377452781894657
9,1,2.4296492261635882
5,1,2.4188544901290845
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
1,1,2.408059754094581
4,1,2.4161558061204587
4,1,2.4161558061204587
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
8,1,2.4269505421549624
8,1,2.4269505421549624
20,1,2.459334750258473
9,1,2.4296492261635882
16,1,2.448540014223969
19,1,2.4566360662498465
9,1,2.4296492261635882
9,1,2.4296492261635882
7,1,2.4242518581463366
9,1,2.4296492261635882
5,1,2.4188544901290845
9,1,2.4296492261635882
7,1,2.4242518581463366
3,1,2.413457122111833
1,1,2.408059754094581
0,1,2.4053610700859553
2,1,2.410758438103207
1,1,2.408059754094581
1,1,2.408059754094581
1,1,2.408059754094581
3,1,2.413457122111833
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
5,1,2.4188544901290845
2,1,2.410758438103207
8,1,2.4269505421549624
7,1,2.4242518581463366
12,1,2.4377452781894657
5,1,2.4188544901290845
8,1,2.4269505421549624
5,1,2.4188544901290845
3,1,2.413457122111833
4,1,2.4161558061204587
0,1,2.4053610700859553
2,1,2.410758438103207
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
4,1,2.4161558061204587
6,1,2.4215531741377103
8,1,2.4269505421549624
5,1,2.4188544901290845
13,1,2.4404439621980916
3,1,2.413457122111833
4,1,2.4161558061204587
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
5,1,2.4188544901290845
0,1,2.4053610700859553
2,1,2.410758438103207
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
4,1,2.4161558061204587
2,1,2.410758438103207
0,1,2.4053610700859553
2,1,2.410758438103207
5,1,2.4188544901290845
4,1,2.4161558061204587
0,1,2.4053610700859553
2,1,2.410758438103207
4,1,2.4161558061204587
4,1,2.4161558061204587
1,1,2.408059754094581
3,1,2.413457122111833
1,1,2.408059754094581
1,1,2.408059754094581
2,1,2.410758438103207
0,1,2.4053610700859553
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
3,1,2.413457122111833
3,1,2.413457122111833
3,1,2.413457122111833
4,1,2.4161558061204587
2,1,2.410758438103207
6,1,2.4215531741377103
3,1,2.413457122111833
2,1,2.410758438103207
4,1,2.4161558061204587
6,1,2.4215531741377103
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
5,1,2.4188544901290845
0,1,2.4053610700859553
2,1,2.410758438103207
1,1,2.408059754094581
2,1,2.410758438103207
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
5,1,2.4188544901290845
2,1,2.410758438103207
2,1,2.410758438103207
4,1,2.4161558061204587
3,1,2.413457122111833
2,1,2.410758438103207
3,1,2.413457122111833
5,1,2.4188544901290845
2,1,2.410758438103207
4,1,2.4161558061204587
3,1,2.413457122111833
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
0,1,2.4053610700859553
4,1,2.4161558061204587
6,1,2.4215531741377103
2,1,2.410758438103207
4,1,2.4161558061204587
5,1,2.4188544901290845
9,1,2.4296492261635882
3,1,2.413457122111833
4,1,2.4161558061204587
5,1,2.4188544901290845
3,1,2.413457122111833
0,1,2.4053610700859553
4,1,2.4161558061204587
2,1,2.410758438103207
1,1,2.408059754094581
3,1,2.413457122111833
2,1,2.410758438103207
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
1,1,2.408059754094581
2,1,2.410758438103207
2,1,2.410758438103207
18,1,2.4539373822412207
15,1,2.4458413302153432
21,1,2.4620334342670986
26,1,2.475526854310228
21,1,2.4620334342670986
33,1,2.494417642370609
29,1,2.4836229063361053
15,1,2.4458413302153432
14,1,2.4431426462067174
6,1,2.4215531741377103
6,1,2.4215531741377103
0,1,2.4053610700859553
5,1,2.4188544901290845
6,1,2.4215531741377103
4,1,2.4161558061204587
3,1,2.413457122111833
9,1,2.4296492261635882
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
3,1,2.413457122111833
8,1,2.4269505421549624
23,1,2.4674308022843503
29,1,2.4836229063361053
23,1,2.4674308022843503
22,1,2.4647321182757245
35,1,2.4998150103878607
22,1,2.4647321182757245
23,1,2.4674308022843503
11,1,2.43504659418084
14,1,2.4431426462067174
7,1,2.4242518581463366
6,1,2.4215531741377103
2,1,2.410758438103207
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
4,1,2.4161558061204587
3,1,2.413457122111833
8,1,2.4269505421549624
7,1,2.4242518581463366
9,1,2.4296492261635882
10,1,2.432347910172214
13,1,2.4404439621980916
12,1,2.4377452781894657
21,1,2.4620334342670986
6,1,2.4215531741377103
4,1,2.4161558061204587
7,1,2.4242518581463366
2,1,2.410758438103207
4,1,2.4161558061204587
3,1,2.413457122111833
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
3,1,2.413457122111833
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
2,1,2.410758438103207
1,1,2.408059754094581
5,1,2.4188544901290845
5,1,2.4188544901290845
11,1,2.43504659418084
7,1,2.4242518581463366
4,1,2.4161558061204587
10,1,2.432347910172214
7,1,2.4242518581463366
5,1,2.4188544901290845
4,1,2.4161558061204587
2,1,2.410758438103207
4,1,2.4161558061204587
6,1,2.4215531741377103
1,1,2.408059754094581
5,1,2.4188544901290845
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
2,1,2.410758438103207
3,1,2.413457122111833
1,1,2.408059754094581
5,1,2.4188544901290845
7,1,2.4242518581463366
12,1,2.4377452781894657
6,1,2.4215531741377103
8,1,2.4269505421549624
8,1,2.4269505421549624
8,1,2.4269505421549624
1,1,2.408059754094581
6,1,2.4215531741377103
2,1,2.410758438103207
3,1,2.413457122111833
0,1,2.4053610700859553
3,1,2.413457122111833
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
2,1,2.410758438103207
7,1,2.4242518581463366
7,1,2.4242518581463366
6,1,2.4215531741377103
6,1,2.4215531741377103
11,1,2.43504659418084
8,1,2.4269505421549624
6,1,2.4215531741377103
4,1,2.4161558061204587
0,1,2.4053610700859553
10,1,2.432347910172214
1,1,2.408059754094581
3,1,2.413457122111833
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
3,1,2.413457122111833
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
3,1,2.413457122111833
3,1,2.413457122111833
4,1,2.4161558061204587
10,1,2.432347910172214
12,1,2.4377452781894657
11,1,2.43504659418084
10,1,2.432347910172214
11,1,2.43504659418084
8,1,2.4269505421549624
0,1,2.4053610700859553
6,1,2.4215531741377103
1,1,2.408059754094581
0,1,2.4053610700859553
7,1,2.4242518581463366
2,1,2.410758438103207
2,1,2.410758438103207
1,1,2.408059754094581
3,1,2.413457122111833
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
2,1,2.410758438103207
3,1,2.413457122111833
7,1,2.4242518581463366
22,1,2.4647321182757245
24,1,2.470129486292976
12,1,2.4377452781894657
17,1,2.451238698232595
13,1,2.4404439621980916
9,1,2.4296492261635882
5,1,2.4188544901290845
5,1,2.4188544901290845
5,1,2.4188544901290845
4,1,2.4161558061204587
5,1,2.4188544901290845
5,1,2.4188544901290845
4,1,2.4161558061204587
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
5,1,2.4188544901290845
6,1,2.4215531741377103
4,1,2.4161558061204587
6,1,2.4215531741377103
3,1,2.413457122111833
11,1,2.43504659418084
6,1,2.4215531741377103
2,1,2.410758438103207
7,1,2.4242518581463366
4,1,2.4161558061204587
6,1,2.4215531741377103
8,1,2.4269505421549624
5,1,2.4188544901290845
1,1,2.408059754094581
6,1,2.4215531741377103
3,1,2.413457122111833
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
5,1,2.4188544901290845
5,1,2.4188544901290845
10,1,2.432347910172214
6,1,2.4215531741377103
6,1,2.4215531741377103
21,1,2.4620334342670986
21,1,2.4620334342670986
11,1,2.43504659418084
21,1,2.4620334342670986
14,1,2.4431426462067174
14,1,2.4431426462067174
7,1,2.4242518581463366
13,1,2.4404439621980916
16,1,2.448540014223969
5,1,2.4188544901290845
4,1,2.4161558061204587
3,1,2.413457122111833
3,1,2.413457122111833
0,1,2.4053610700859553
3,1,2.413457122111833
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
3,1,2.413457122111833
3,1,2.413457122111833
2,1,2.410758438103207
6,1,2.4215531741377103
7,1,2.4242518581463366
4,1,2.4161558061204587
0,1,2.4053610700859553
1,1,2.408059754094581
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
2,1,2.410758438103207
3,1,2.413457122111833
3,1,2.413457122111833
4,1,2.4161558061204587
2,1,2.410758438103207
0,1,2.4053610700859553
0,1,2.4053610700859553
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
1,1,2.408059754094581
0,1,2.4053610700859553
0,1,2.4053610700859553
2,1,2.410758438103207
2,1,2.410758438103207
6,1,2.4215531741377103
